Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,4.94%
HDFC Bank Ltd.,Equity,4.44%
Power Finance Corporation Ltd.,Equity,3.77%
ICICI Bank Ltd.,Equity,3.75%
State Bank Of India,Equity,2.39%
Reliance Industries Ltd.,Equity,2.03%
Grasim Industries Ltd.,Equity,1.93%
Kotak Mahindra Bank Ltd.,Equity,1.91%
Infosys Ltd.,Equity,1.91%
The Federal Bank Ltd.,Equity,1.85%
Texmaco Rail & Engineering Ltd.,Equity,1.73%
Apollo Hospitals Enterprise Ltd.,Equity,1.71%
Pitti Engineering Ltd.,Equity,1.69%
Bharat Forge Ltd.,Equity,1.67%
CIE Automotive India Ltd.,Equity,1.63%
K P R Mill Ltd.,Equity,1.62%
Ltimindtree Ltd.,Equity,1.62%
Mahindra & Mahindra Ltd.,Equity,1.61%
Kennametal India Ltd.,Equity,1.59%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.58%
Aditya Birla Fashion & Retail Ltd.,Equity,1.46%
Td Power Systems Ltd.,Equity,1.45%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.44%
Sundaram Finance Ltd.,Equity,1.44%
EIH Ltd.,Equity,1.42%
UNO Minda Ltd.,Equity,1.41%
Hero Motocorp Ltd.,Equity,1.40%
Maruti Suzuki India Ltd.,Equity,1.38%
KEI Industries Ltd.,Equity,1.37%
Emami Ltd.,Equity,1.36%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,1.35%
Mahanagar Gas Ltd.,Equity,1.35%
Axis Bank Ltd.,Equity,1.32%
Ashoka Buildcon Ltd.,Equity,1.32%
Titan Company Ltd.,Equity,1.29%
Hitachi Energy India Ltd.,Equity,1.28%
Avalon Technologies Ltd,Equity,1.28%
Carysil Ltd.,Equity,1.26%
SRF Ltd.,Equity,1.24%
Garware Hi-Tech Films Ltd.,Equity,1.23%
Torrent Pharmaceuticals Ltd.,Equity,1.23%
ITC Ltd.,Equity,1.22%
Coforge Ltd.,Equity,1.21%
L&T Finance Holding Ltd.,Equity,1.20%
Zomato Ltd.,Equity,1.19%
Navin Fluorine International Ltd.,Equity,1.19%
Piramal Pharma Ltd.,Equity,1.16%
Transport Corporation Of India Ltd.,Equity,1.14%
DCB Bank Ltd.,Equity,1.11%
HCL Technologies Ltd.,Equity,1.10%
Gujarat Gas Ltd.,Equity,1.08%
Kajaria Ceramics Ltd.,Equity,1.05%
Kansai Nerolac Paints Ltd.,Equity,1.00%
Cello World Ltd.,Equity,0.99%
Saregama India Ltd.,Equity,0.99%
Ccl Products (India) Ltd.,Equity,0.98%
Divgi Torq Transfer Systems Pvt Ltd,Equity,0.96%
Hindware Home Innovation Ltd.,Equity,0.95%
Sun Pharmaceuticals Ind Ltd.,Equity,0.93%
Balkrishna Industries Ltd.,Equity,0.91%
MM Forgings Ltd.,Equity,0.87%
E.I.D. Parry India Ltd.,Equity,0.82%
Oberoi Realty Ltd.,Equity,0.82%
Indian Bank,Equity,0.80%
Schaeffler India Ltd.,Equity,0.79%
Whirlpool of India Ltd.,Equity,0.77%
Bikaji Foods International Ltd.,Equity,0.49%
Azad Engineering Ltd.,Equity,0.48%
Protean Egov Technologies Ltd.,Equity,0.32%
Bajel Projects Limited (BPL),Equity,0.10%
Digidrive Distributors Ltd.,Equity,0.03%
Net Receivables/(Payable),Others,-0.31%
