Company Name,Asset Type,Percentage Allocation
Coal India Ltd.,Equity,4.35%
National Thermal Power Corporation Ltd.,Equity,3.15%
NMDC Ltd.,Equity,2.95%
Canara Bank,Equity,2.95%
Tata Power Company Ltd.,Equity,2.74%
Tata Consultancy Services Ltd.,Equity,2.68%
Titagarh Railsystems Ltd.,Equity,2.47%
Indusind Bank Ltd.,Equity,2.40%
TVS Motor Company Ltd.,Equity,2.17%
Kaynes Technology India Pvt. Ltd.,Equity,2.02%
Tech Mahindra Ltd.,Equity,1.99%
Dalmia Bharat Ltd.,Equity,1.89%
Divi Laboratories Ltd.,Equity,1.87%
Ltimindtree Ltd.,Equity,1.87%
K P R Mill Ltd.,Equity,1.84%
Steel Authority Of India Ltd.,Equity,1.74%
Tata Motors - DVR - A - ORDY,Equity,1.72%
ICICI Bank Ltd.,Equity,1.68%
Gujarat State Fertilizers & Chemicals Ltd.,Equity,1.68%
Kotak Mahindra Bank Ltd.,Equity,1.61%
Dixon Technologies (India) Ltd.,Equity,1.58%
Orient Cement Ltd.,Equity,1.55%
SJVN Ltd.,Equity,1.54%
Persistent Systems Ltd.,Equity,1.53%
Escorts Kubota Ltd.,Equity,1.53%
Solar Industries India Ltd.,Equity,1.52%
ACC Ltd.,Equity,1.49%
CreditAccess Grameen Ltd.,Equity,1.46%
Kajaria Ceramics Ltd.,Equity,1.45%
Punjab National Bank,Equity,1.44%
PNB Housing Finance Ltd.,Equity,1.44%
Century Textiles & Industries Ltd.,Equity,1.42%
KEI Industries Ltd.,Equity,1.39%
Krishna Institute of Medical Sciences Ltd.,Equity,1.37%
Larsen & Toubro Ltd.,Equity,1.36%
Titan Company Ltd.,Equity,1.35%
Hindustan Petroleum Corporation Ltd.,Equity,1.35%
CRISIL Ltd.,Equity,1.31%
PTC Industries Ltd.,Equity,1.30%
Safari Industries (India) Ltd.,Equity,1.29%
Jio Financial Services Ltd.,Equity,1.27%
Power Mech Projects Ltd.,Equity,1.25%
Balrampur Chini Mills Ltd.,Equity,1.23%
HDFC Asset Management Company Ltd.,Equity,1.20%
Oil India Ltd.,Equity,1.19%
Aditya Vision Ltd.,Equity,1.17%
Gland Pharma Ltd.,Equity,1.16%
Bank Of India,Equity,1.14%
Metro Brands Ltd.,Equity,1.13%
Sula Vineyards Ltd.,Equity,1.13%
Net Receivables/(Payable),Others,1.11%
BEML Ltd.,Equity,1.10%
Wipro Ltd.,Equity,1.06%
Coforge Ltd.,Equity,1.04%
Abbott India Ltd.,Equity,1.03%
Cholamandalam Financial Holdings Ltd.,Equity,0.98%
eClerx Services Ltd.,Equity,0.97%
Engineers India Ltd.,Equity,0.97%
One 97 Communications Ltd.,Equity,0.95%
Triparty Repo,Others,0.94%
Hitachi Energy India Ltd.,Equity,0.94%
Nitin Spinners Ltd.,Equity,0.77%
Cummins India Ltd.,Equity,0.74%
SKF India Ltd.,Equity,0.71%
RITES Ltd.,Equity,0.39%
Bharti Airtel Ltd.,Equity,0.02%
