Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,5.11%
Triparty Repo,Others,2.83%
State Bank Of India,Equity,2.67%
ICICI Bank Ltd.,Equity,2.64%
Larsen & Toubro Ltd.,Equity,2.62%
HCL Technologies Ltd.,Equity,2.32%
Gland Pharma Ltd.,Equity,2.26%
National Thermal Power Corporation Ltd.,Equity,2.22%
Axis Bank Ltd.,Equity,2.06%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.99%
Gujarat State Petronet Ltd.,Equity,1.93%
Teamlease Services Ltd.,Equity,1.93%
The Federal Bank Ltd.,Equity,1.89%
Kotak Mahindra Bank Ltd.,Equity,1.87%
Reliance Industries Ltd.,Equity,1.85%
Wipro Ltd.,Equity,1.76%
Coforge Ltd.,Equity,1.69%
Fortis Healthcare Ltd.,Equity,1.58%
Bayer Cropscience Ltd.,Equity,1.56%
SBI Life Insurance Company Ltd.,Equity,1.56%
Vijaya Diagnostic Centre Ltd.,Equity,1.55%
Dabur India Ltd.,Equity,1.51%
Bharti Airtel Ltd.,Equity,1.49%
Lupin Ltd.,Equity,1.49%
Fsn ECommerce Ventures Ltd.,Equity,1.47%
CARE Ratings Ltd.,Equity,1.45%
Tata Steel Ltd.,Equity,1.41%
NMDC Ltd.,Equity,1.41%
Aurobindo Pharma Ltd.,Equity,1.41%
Bata India Ltd.,Equity,1.35%
Prestige Estates Projects Ltd.,Equity,1.34%
NRB Bearings Ltd.,Equity,1.32%
LIC Housing Finance Ltd.,Equity,1.31%
Delhivery Ltd.,Equity,1.31%
Campus Activewear Ltd.,Equity,1.26%
Jyothy Labs Ltd.,Equity,1.26%
Gateway Distriparks Ltd.,Equity,1.26%
ACC Ltd.,Equity,1.24%
Eicher Motors Ltd.,Equity,1.24%
Nippon Life India Asset Management Ltd.,Equity,1.15%
Century Plyboards Ltd.,Equity,1.15%
Fusion Micro Finance Ltd.,Equity,1.11%
Container Corporation Of India Ltd.,Equity,1.08%
RPG Life Sciences Ltd.,Equity,1.07%
Zomato Ltd.,Equity,1.05%
Kolte Patil Developers Ltd.,Equity,1.03%
Ceat Ltd.,Equity,1.01%
Mahindra & Mahindra Ltd.,Equity,1.00%
Page Industries Ltd.,Equity,1.00%
KFIN Technologies Ltd.,Equity,0.96%
National Aluminium Company Ltd.,Equity,0.96%
Motherson Sumi Wiring India Ltd.,Equity,0.96%
Birlasoft Ltd.,Equity,0.94%
Interglobe Aviation Ltd.,Equity,0.91%
Indian Energy Exchange Ltd.,Equity,0.88%
Indian Bank,Equity,0.87%
ITC Ltd.,Equity,0.84%
Bharat Forge Ltd.,Equity,0.83%
Equitas Small Finance Bank Ltd.,Equity,0.81%
Indigo Paints Ltd.,Equity,0.79%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.79%
Prince Pipes & Fittings Ltd.,Equity,0.78%
Chemplast Sanmar Ltd.,Equity,0.76%
Flair Writing Industries Ltd.,Equity,0.75%
Avalon Technologies Ltd,Equity,0.75%
Navin Fluorine International Ltd.,Equity,0.72%
Whirlpool of India Ltd.,Equity,0.72%
Go Fashion (India) Ltd.,Equity,0.70%
Sona Blw Precision Forgings Ltd.,Equity,0.66%
Aptus Value Housing Finance India Ltd.,Equity,0.64%
Electronics Mart India Ltd.,Equity,0.63%
Sudarshan Chemical Industries Ltd.,Equity,0.63%
Kajaria Ceramics Ltd.,Equity,0.58%
Hindustan Unilever Ltd.,Equity,0.49%
Craftsman Automation Ltd.,Equity,0.49%
Stove Kraft Ltd.,Equity,0.16%
Sun Pharmaceuticals Ind Ltd.,Equity,0.05%
Infosys Ltd.,Equity,0.05%
Net Receivables/(Payable),Others,-1.17%
