Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,4.65%
Cash,Others,3.99%
State Bank Of India,Equity,3.19%
Reliance Industries Ltd.,Equity,2.94%
Axis Bank Ltd.,Equity,2.94%
Derivative,Others,2.91%
National Thermal Power Corporation Ltd.,Equity,2.87%
Bharti Airtel Ltd.,Equity,2.29%
Infosys Ltd.,Equity,2.19%
HCL Technologies Ltd.,Equity,2.08%
Zee Entertainment Enterprises Ltd.,Equity,2.02%
Larsen & Toubro Ltd.,Equity,1.98%
Ashok Leyland Ltd.,Equity,1.95%
Craftsman Automation Ltd.,Equity,1.92%
PNB Housing Finance Ltd.,Equity,1.89%
Canfin Homes Ltd.,Equity,1.88%
Yatra Online Ltd.,Equity,1.88%
Brigade Enterprises Ltd.,Equity,1.82%
The Federal Bank Ltd.,Equity,1.78%
Radico Khaitan Ltd.,Equity,1.77%
Indian Bank,Equity,1.72%
HDFC Asset Management Company Ltd.,Equity,1.71%
Bandhan Bank Ltd.,Equity,1.70%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.67%
Birlasoft Ltd.,Equity,1.67%
SBI Life Insurance Company Ltd.,Equity,1.65%
City Union Bank Ltd.,Equity,1.59%
DLF Ltd.,Equity,1.55%
Kajaria Ceramics Ltd.,Equity,1.54%
The Ramco Cements Ltd.,Equity,1.54%
ITC Ltd.,Equity,1.53%
Equitas Small Finance Bank Ltd.,Equity,1.50%
Kotak Mahindra Bank Ltd.,Equity,1.42%
UNO Minda Ltd.,Equity,1.42%
PVR INOX Ltd.,Equity,1.41%
Voltas Ltd.,Equity,1.39%
Tata Consultancy Services Ltd.,Equity,1.38%
Dabur India Ltd.,Equity,1.33%
RHI Magnesita India Ltd.,Equity,1.28%
GNA Axles Ltd.,Equity,1.27%
Barbeque Nation Hospitality Ltd.,Equity,1.24%
Cipla Ltd.,Equity,1.20%
Cummins India Ltd.,Equity,1.12%
REC Ltd.,Equity,1.11%
Ambuja Cements Ltd.,Equity,1.09%
Lupin Ltd.,Equity,1.09%
Ultratech Cement Ltd.,Equity,1.04%
Aditya Birla Fashion & Retail Ltd.,Equity,1.01%
Apollo Hospitals Enterprise Ltd.,Equity,1.01%
Thermax Ltd.,Equity,0.99%
Usha Martin Ltd.,Equity,0.97%
The Supreme Industries Ltd.,Equity,0.97%
Restaurant Brands Asia Ltd.,Equity,0.96%
Orient Electric Ltd.,Equity,0.93%
KNR Constructions Ltd.,Equity,0.91%
Embassy Office Parks Reit,Others,0.91%
K P R Mill Ltd.,Equity,0.88%
Repo,Others,0.85%
Transport Corporation Of India Ltd.,Equity,0.85%
AIA Engineering Ltd.,Equity,0.83%
Jamna Auto Industries Ltd.,Equity,0.79%
Gujarat Gas Ltd.,Equity,0.71%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.67%
Havells India Ltd.,Equity,0.58%
Piramal Enterprises Ltd.,Equity,0.58%
Rishabh Instruments Ltd.,Equity,0.25%
Jio Financial Services Ltd.,Equity,0.14%
Voltas Ltd.,Equity,-0.46%
Aditya Birla Fashion & Retail Ltd.,Equity,-0.48%
Ashok Leyland Ltd.,Equity,-1.97%
