Company Name,Asset Type,Percentage Allocation
CBLO(CCIL),Others,5.29%
HDFC Bank Ltd.,Equity,4.13%
ICICI Bank Ltd.,Equity,4.13%
Nestle India Ltd.,Equity,2.34%
Titan Company Ltd.,Equity,1.94%
Bharat Electronics Ltd.,Equity,1.67%
CG Power & Industrial Solutions Ltd.,Equity,1.64%
Coforge Ltd.,Equity,1.51%
Ambuja Cements Ltd.,Equity,1.50%
Larsen & Toubro Ltd.,Equity,1.49%
Computer Age Management Services Ltd.,Equity,1.41%
Nifty,Equity,1.41%
Persistent Systems Ltd.,Equity,1.34%
REC Ltd.,Equity,1.32%
Torrent Pharmaceuticals Ltd.,Equity,1.22%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),Equity,1.15%
ABB India Ltd.,Equity,1.13%
Nexus Select Trust,Others,1.11%
Kotak Mahindra Bank Ltd.,Equity,1.10%
Reliance Industries Ltd.,Equity,1.08%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,1.07%
The Indian Hotels Company Ltd.,Equity,1.07%
KSB Ltd.,Equity,1.07%
Treasury Bill (182D),Others,1.01%
Sonata Software Ltd.,Equity,0.99%
Infosys Ltd.,Equity,0.97%
Five-Star Business Finance Ltd.,Equity,0.97%
Bajaj Finance Ltd.,Equity,0.97%
CMS Info Systems Ltd.,Equity,0.96%
KPIT Technologies Ltd.,Equity,0.91%
Maruti Suzuki India Ltd.,Equity,0.87%
Zomato Ltd.,Equity,0.87%
AIA Engineering Ltd.,Equity,0.87%
Global Health Ltd.,Equity,0.86%
Electronics Mart India Ltd.,Equity,0.83%
State Bank Of India,Equity,0.82%
Indian Renewable Energy Development Agency (Ireda),Equity,0.81%
Info Edge (India) Ltd.,Equity,0.80%
Jio Financial Services Ltd.,Equity,0.80%
Rainbow Childrens Medicare Ltd.,Equity,0.79%
Muthoot Finance Ltd.,Equity,0.77%
Neuland Laboratories Ltd.,Equity,0.77%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,0.77%
Ajanta Pharma Ltd.,Equity,0.76%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.75%
Honasa Consumer Ltd.,Equity,0.73%
Trent Ltd.,Equity,0.73%
CreditAccess Grameen Ltd.,Equity,0.72%
Intellect Design Arena Ltd.,Equity,0.72%
Godrej Consumer Products Ltd.,Equity,0.71%
Bajaj Finserv Ltd.,Equity,0.70%
Krishna Institute of Medical Sciences Ltd.,Equity,0.68%
Gandhar Oil Refinery (India) Ltd.,Equity,0.68%
Max Financial Services Ltd.,Equity,0.67%
Brookfield REIT,Others,0.66%
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),Equity,0.65%
Mahindra & Mahindra Ltd.,Equity,0.64%
Grindwell Norton Ltd.,Equity,0.64%
Newgen Software Technologies Ltd.,Equity,0.64%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,0.63%
Gujarat Ambuja Exports Ltd.,Equity,0.63%
Nucleus Software Exports Ltd.,Equity,0.63%
Bank Of India,Equity,0.63%
Kewal Kiran Clothing Ltd.,Equity,0.63%
HDFC Life Insurance Company Ltd.,Equity,0.63%
The Phoenix Mills Ltd.,Equity,0.62%
Fine Organic Industries Ltd.,Equity,0.62%
Mahindra & Mahindra Ltd.,Equity,0.61%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.61%
Tata Consultancy Services Ltd.,Equity,0.59%
Jindal Stainless Ltd.,Equity,0.59%
National Thermal Power Corporation Ltd.,Equity,0.59%
Metro Brands Ltd.,Equity,0.59%
Innova Captab Ltd.,Equity,0.59%
Poly Medicure Ltd.,Equity,0.58%
Ltimindtree Ltd.,Equity,0.58%
Varun Beverages Ltd.,Equity,0.57%
RHI Magnesita India Ltd.,Equity,0.57%
Hindalco Industries Ltd.,Equity,0.55%
The Federal Bank Ltd.,Equity,0.55%
Safari Industries (India) Ltd.,Equity,0.54%
India Shelter Finance Corporation Ltd.,Equity,0.53%
Dixon Technologies (India) Ltd.,Equity,0.53%
The Jammu & Kashmir Bank Ltd.,Equity,0.53%
Bayer Cropscience Ltd.,Equity,0.53%
Oil India Ltd.,Equity,0.52%
Tata Steel Ltd.,Equity,0.52%
Indian Bank,Equity,0.52%
Onward Technologies Ltd.,Equity,0.52%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.51%
SAI Silks (Kalamandir) Ltd.,Equity,0.51%
Treasury Bill (91D),Others,0.51%
Arman Financial Services Ltd.,Equity,0.51%
Arvind Fashions Ltd.,Equity,0.51%
Navin Fluorine International Ltd.,Equity,0.51%
Senco Gold Ltd.,Equity,0.50%
Syngene International Ltd.,Equity,0.50%
Vesuvius India Ltd.,Equity,0.50%
Vijaya Diagnostic Centre Ltd.,Equity,0.49%
Colgate-Palmolive Ltd.,Equity,0.48%
Ashiana Housing Ltd.,Equity,0.48%
Indiamart Intermesh Ltd.,Equity,0.48%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.48%
Century Textiles & Industries Ltd.,Equity,0.48%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,0.48%
Dalmia Bharat Ltd.,Equity,0.47%
Garware Technical Fibres Ltd.,Equity,0.47%
Nesco Ltd.,Equity,0.46%
Radiant Cash Management Services Ltd.,Equity,0.45%
Hindustan Petroleum Corporation Ltd.,Equity,0.43%
Balkrishna Industries Ltd.,Equity,0.42%
Shivalik Bimetal Controls Ltd.,Equity,0.42%
