Company Name,Count,Percentage Allocation,Asset Type,Symbol
HDFC Bank Ltd.,20,78.22,Equity,HDFCBANK
Triparty Repo,18,73.05,Others,
ICICI Bank Ltd.,19,69.24,Equity,ICICIBANK
Reliance Industries Ltd.,20,52.76,Equity,RELIANCE
National Thermal Power Corporation Ltd.,18,37.48,Equity,PNB
Larsen & Toubro Ltd.,19,36.79,Equity,LT
Infosys Ltd.,18,35.82,Equity,INFY
State Bank Of India,16,26.57,Equity,SBIN
Maruti Suzuki India Ltd.,16,25.7,Equity,MARUTI
Bharti Airtel Ltd.,16,24.69,Equity,BHARTIARTL
Power Finance Corporation Ltd.,12,24.21,Equity,POWERGRID
TVS Motor Company Ltd.,11,23.53,Equity,TVSMOTOR
Axis Bank Ltd.,14,23.24,Equity,AXISBANK
Coforge Ltd.,16,23.2,Equity,COFORGE
Sun Pharmaceuticals Ind Ltd.,15,21.5,Equity,SUNPHARMA
Bajaj Finance Ltd.,12,19.53,Equity,BAJFINANCE
CBLO(CCIL),4,19.49,Others,
Tata Consultancy Services Ltd.,11,16.64,Equity,TCS
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),13,16.59,Equity,SHRIRAMFIN
ITC Ltd.,12,16.4,Equity,ITC
The Federal Bank Ltd.,13,15.81,Equity,INDHOTEL
JB Chemicals & Pharmaceuticals Ltd.,12,15.44,Equity,JBCHEPHARM
KEI Industries Ltd.,9,14.67,Equity,KEI
Mahindra & Mahindra Ltd.,12,14.09,Equity,KOTAKBANK
Zomato Ltd.,11,14.01,Equity,ZOMATO
PVR INOX Ltd.,10,13.87,Equity,PVR
Persistent Systems Ltd.,10,13.8,Equity,PERSISTENT
Tata Motors Ltd.,9,13.26,Equity,TCS
K P R Mill Ltd.,7,13.08,Equity,HDFCBANK
Cholamandalam Investment & Finance Company Ltd.,10,13.08,Equity,CHOLAFIN
Indusind Bank Ltd.,9,12.89,Equity,INDUSINDBK
Radico Khaitan Ltd.,8,12.81,Equity,RADICO
Fortis Healthcare Ltd.,7,12.51,Equity,FORTIS
Ltimindtree Ltd.,9,12.22,Equity,LTIM
Birlasoft Ltd.,6,12.07,Equity,BSOFT
Ultratech Cement Ltd.,10,11.84,Equity,ULTRACEMCO
UNO Minda Ltd.,8,11.82,Equity,UNOMINDA
The Phoenix Mills Ltd.,7,11.29,Equity,INDHOTEL
Hindalco Industries Ltd.,10,11.28,Equity,HINDALCO
Brigade Enterprises Ltd.,6,11.03,Equity,BRIGADE
Kotak Mahindra Bank Ltd.,8,10.85,Equity,KOTAKBANK
Bank Of Baroda,8,10.73,Equity,HDFCBANK
HCL Technologies Ltd.,8,10.57,Equity,HCLTECH
Trent Ltd.,6,10.44,Equity,TRENT
The Indian Hotels Company Ltd.,9,10.41,Equity,INDHOTEL
Kajaria Ceramics Ltd.,9,10.4,Equity,KAJARIACER
Tech Mahindra Ltd.,8,10.29,Equity,HCLTECH
Aurobindo Pharma Ltd.,6,10.17,Equity,AUROPHARMA
CreditAccess Grameen Ltd.,8,9.96,Equity,CREDITACC
REC Ltd.,8,9.92,Equity,RECLTD
Jio Financial Services Ltd.,10,9.58,Equity,
Ratnamani Metals & Tubes Ltd.,5,9.55,Equity,RATNAMANI
Dixon Technologies (India) Ltd.,9,9.5,Equity,DIXON
Cummins India Ltd.,8,9.47,Equity,CUMMINSIND
Titan Company Ltd.,8,9.47,Equity,TITAN
Krishna Institute of Medical Sciences Ltd.,7,9.23,Equity,BALKRISIND
Escorts Kubota Ltd.,5,9.1,Equity,ESCORTS
SBI Life Insurance Company Ltd.,8,9.02,Equity,SBILIFE
Varun Beverages Ltd.,6,8.97,Equity,VBL
Sundaram Finance Ltd.,7,8.72,Equity,SUNDARMFIN
Hero Motocorp Ltd.,4,8.67,Equity,HEROMOTOCO
Indian Bank,7,8.65,Equity,IOC
Carborundum Universal Ltd.,7,8.51,Equity,CARBORUNIV
Bharat Electronics Ltd.,9,8.46,Equity,BPCL
Coal India Ltd.,5,8.36,Equity,COALINDIA
United Breweries Ltd.,6,8.31,Equity,MCDOWELL-N
Hitachi Energy India Ltd.,8,8.28,Equity,POWERINDIA
Hindustan Unilever Ltd.,7,8.19,Equity,HINDUNILVR
Metro Brands Ltd.,7,8.09,Equity,METROBRAND
Blue Star Ltd.,6,8.04,Equity,BLUEDART
Bikaji Foods International Ltd.,6,7.98,Equity,BIKAJI
Interglobe Aviation Ltd.,5,7.98,Equity,INDIGO
Canara Bank,5,7.88,Equity,CANBK
Max Financial Services Ltd.,7,7.54,Equity,MAXHEALTH
AIA Engineering Ltd.,9,7.31,Equity,AIAENG
Zee Entertainment Enterprises Ltd.,6,7.28,Equity,ZEEL
Polycab India Ltd.,6,7.26,Equity,POLYCAB
Mahindra & Mahindra Financial Services Ltd.,9,7.2,Equity,KOTAKBANK
NMDC Ltd.,4,6.98,Equity,NMDC
Treasury Bill (91D),9,6.93,Others,
Kaynes Technology India Pvt. Ltd.,6,6.91,Equity,KAYNES
Craftsman Automation Ltd.,6,6.88,Equity,CRAFTSMAN
Balrampur Chini Mills Ltd.,7,6.88,Equity,BALRAMCHIN
BSE Ltd.,4,6.859999999999999,Equity,BSE
Cash,3,6.84,Others,RADIANTCMS
CIE Automotive India Ltd.,7,6.8100000000000005,Equity,ZYDUSLIFE
HDFC Asset Management Company Ltd.,4,6.8,Equity,HDFCBANK
Equitas Small Finance Bank Ltd.,7,6.76,Equity,EQUITASBNK
Sona Blw Precision Forgings Ltd.,7,6.66,Equity,SONACOMS
Linde India Ltd.,3,6.6000000000000005,Equity,LINDEINDIA
PI Industries Ltd.,7,6.6,Equity,PIDILITIND
Ambuja Cements Ltd.,7,6.58,Equity,AMBUJACEM
NHPC Ltd.,4,6.49,Equity,NHPC
