Company Name,Asset Type,Percentage Allocation
4.5 Oil & Natural Gas Corporation Ltd. Feb  9 2024,Debt,21.99%
10.5 Shrem Enterprises Pvt. Ltd. Apr 25 2024,Debt,12.97%
11 DBL Infratech Pvt.Ltd. Apr 15 2024,Debt,12.75%
5.78 National Thermal Power Corporation Ltd. Apr 29 2024,Debt,10.48%
10.25 Resco Global Wind Services Pvt. Ltd. Apr 15 2024,Debt,8.65%
9.25 The Bombay Burmah Trading Corporation Ltd. Apr 23 2024,Debt,8.64%
9.75 Inox Wind Ltd. Apr 21 2024,Debt,8.47%
12.5 Clean Max Enviro Energy Solution Pvt Ltd. Jun  8 2027,Debt,6.07%
9.75 Inox Wind Ltd. Apr 30 2025,Debt,4.32%
9.5 Emami Frank Ross Ltd. Apr 21 2024,Debt,3.74%
Utkarsh Trading & Holdings Ltd.,Debt,1.38%
Bhilangana Hydro Power Ltd.,Debt,0.20%
Bhilangana Hydro Power Ltd.,Debt,0.20%
Triparty Repo,Others,0.07%
Net Receivables/(Payable),Others,0.06%
