Company Name,Asset Type,Percentage Allocation
7.27 GOI Apr  8 2026,Debt,17.44%
7.18 GOI Aug 14 2033,Debt,17.37%
CBLO(CCIL),Others,10.80%
7.26 GOI Feb  6 2033,Debt,7.85%
8.55 HDFC Bank Ltd. Mar 27 2029,Debt,7.13%
8.21 Tamil Nadu SDL Jun 24 2025,Debt,5.27%
6.57 GOI Dec  5 2033,Debt,3.32%
Net Receivables/(Payable),Others,3.23%
7.17 GOI Apr 17 2030,Debt,2.61%
ICICI Bank Ltd.,Equity,2.19%
HDFC Bank Ltd.,Equity,1.76%
Infosys Ltd.,Equity,1.56%
Larsen & Toubro Ltd.,Equity,1.06%
State Bank Of India,Equity,0.99%
Jupiter Life Line Hospitals Ltd.,Equity,0.91%
GOI,Debt,0.91%
Indusind Bank Ltd.,Equity,0.83%
Fortis Healthcare Ltd.,Equity,0.82%
Utkarsh Small Finance Bank Ltd.,Equity,0.75%
Craftsman Automation Ltd.,Equity,0.73%
Ultratech Cement Ltd.,Equity,0.69%
Hindustan Unilever Ltd.,Equity,0.68%
Sun Pharmaceuticals Ind Ltd.,Equity,0.67%
Tata Motors Ltd.,Equity,0.65%
Hindalco Industries Ltd.,Equity,0.64%
Polycab India Ltd.,Equity,0.61%
HDFC Life Insurance Company Ltd.,Equity,0.60%
Axis Bank Ltd.,Equity,0.58%
V-Guard Industries Ltd.,Equity,0.58%
Bharti Airtel Ltd.,Equity,0.54%
Brigade Enterprises Ltd.,Equity,0.53%
Bank Of Baroda,Equity,0.43%
Honeywell Automation India Ltd.,Equity,0.42%
Td Power Systems Ltd.,Equity,0.42%
ITC Ltd.,Equity,0.41%
Bajaj Auto Ltd.,Equity,0.41%
Dixon Technologies (India) Ltd.,Equity,0.41%
Somany Ceramics Ltd.,Equity,0.37%
Flair Writing Industries Ltd.,Equity,0.33%
Strides Pharma Science Ltd.,Equity,0.32%
Westlife Foodworld Ltd.,Equity,0.30%
Torrent Pharmaceuticals Ltd.,Equity,0.29%
ACC Ltd.,Equity,0.27%
Bajaj Finance Ltd.,Equity,0.24%
Cipla Ltd.,Equity,0.23%
Timken India Ltd.,Equity,0.22%
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,Equity,0.22%
S.J.S. Enterprises Ltd.,Equity,0.22%
Container Corporation Of India Ltd.,Equity,0.15%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.07%
