Company Name,Asset Type,Percentage Allocation
7.26 GOI Aug 22 2032,Debt,13.33%
7.84 Bank Of Baroda Jan 15 2035,Debt,10.00%
8.85 REC Ltd. Apr 16 2029,Debt,9.04%
7.33 GOI Sep 22 2033,Debt,6.74%
7.17 GOI Jan  8 2028,Debt,6.66%
8.85 Power Finance Corporation Ltd. May 25 2029,Debt,5.58%
Bajaj Auto Ltd.,Equity,4.55%
CBLO(CCIL),Others,3.69%
Nestle India Ltd.,Equity,3.53%
Net Receivables/(Payable),Others,3.52%
Reliance Industries Ltd.,Equity,3.44%
Asian Paints Ltd.,Equity,3.28%
Tata Consultancy Services Ltd.,Equity,3.02%
Infosys Ltd.,Equity,2.62%
Apollo Hospitals Enterprise Ltd.,Equity,2.27%
HCL Technologies Ltd.,Equity,2.19%
Sun Pharmaceuticals Ind Ltd.,Equity,2.18%
JB Chemicals & Pharmaceuticals Ltd.,Equity,2.16%
Tech Mahindra Ltd.,Equity,1.77%
Sundaram Finance Ltd.,Equity,1.70%
Power Grid Corporation Of India Ltd.,Equity,1.68%
Maruti Suzuki India Ltd.,Equity,1.65%
Hero Motocorp Ltd.,Equity,1.54%
ITC Ltd.,Equity,1.39%
7.25 GOI Jun 12 2063,Debt,1.30%
Jio Financial Services Ltd.,Equity,0.62%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.34%
Avenue Supermarts Ltd.,Equity,0.21%
