Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,5.83%
HDFC Bank Ltd.,Equity,4.41%
Bajaj Finance Ltd.,Equity,4.15%
Reliance Industries Ltd.,Equity,3.81%
Infosys Ltd.,Equity,3.43%
Tata Consultancy Services Ltd.,Equity,3.23%
Torrent Power Ltd.,Equity,3.22%
Pidilite Industries Ltd.,Equity,2.99%
Nestle India Ltd.,Equity,2.40%
Avenue Supermarts Ltd.,Equity,2.15%
Larsen & Toubro Ltd.,Equity,1.92%
CBLO(CCIL),Others,1.87%
Net Receivables/(Payable),Others,1.76%
Sundaram Finance Ltd.,Equity,1.71%
DLF Ltd.,Equity,1.71%
Info Edge (India) Ltd.,Equity,1.64%
7.26 GOI Feb  6 2033,Debt,1.57%
7.84 Bank Of Baroda Jan 15 2035,Debt,1.57%
7.26 GOI Aug 22 2032,Debt,1.57%
7.75 Bank Of Baroda Sep 11 2034,Debt,1.57%
Vijaya Diagnostic Centre Ltd.,Equity,1.56%
Minda Corporation Ltd.,Equity,1.50%
Bajaj Auto Ltd.,Equity,1.49%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.45%
V-Guard Industries Ltd.,Equity,1.43%
Mankind Pharma Ltd.,Equity,1.41%
Canfin Homes Ltd.,Equity,1.39%
Jyothy Labs Ltd.,Equity,1.35%
SBFC Finance Ltd.,Equity,1.34%
Sansera Engineering Ltd.,Equity,1.28%
Tata Motors Ltd.,Equity,1.27%
Dixon Technologies (India) Ltd.,Equity,1.23%
Zomato Ltd.,Equity,1.22%
ICICI Prudential Life Insurance Company Ltd.,Equity,1.19%
Sun Pharmaceuticals Ind Ltd.,Equity,1.18%
Axis Mutual Fund (Axis Long Duration Fund - Direct - Growth),Debt,1.18%
Bharat Electronics Ltd.,Equity,1.15%
Tata Power Company Ltd.,Equity,1.14%
The Phoenix Mills Ltd.,Equity,1.12%
Mahindra & Mahindra Ltd.,Equity,1.08%
Apar Industries Ltd.,Equity,1.08%
Fortis Healthcare Ltd.,Equity,1.05%
Mphasis Ltd.,Equity,1.03%
Apollo Hospitals Enterprise Ltd.,Equity,1.03%
Jio Financial Services Ltd.,Equity,1.02%
Bharat Dynamics Ltd.,Equity,1.02%
Sona Blw Precision Forgings Ltd.,Equity,1.01%
Kaynes Technology India Pvt. Ltd.,Equity,0.98%
Ajanta Pharma Ltd.,Equity,0.98%
Bharti Airtel Ltd.,Equity,0.97%
UNO Minda Ltd.,Equity,0.97%
SBI Life Insurance Company Ltd.,Equity,0.96%
Coforge Ltd.,Equity,0.79%
Brigade Enterprises Ltd.,Equity,0.75%
Abbott India Ltd.,Equity,0.74%
J. K. Cement Ltd.,Equity,0.67%
eClerx Services Ltd.,Equity,0.65%
7.59 GOI Jan 11 2026,Debt,0.63%
Bharat Forge Ltd.,Equity,0.62%
Vardhman Textiles Ltd.,Equity,0.60%
Jubilant Foodworks Ltd.,Equity,0.60%
Jupiter Life Line Hospitals Ltd.,Equity,0.44%
State Bank Of India,Equity,0.40%
RHI Magnesita India Ltd.,Equity,0.38%
Voltas Ltd.,Equity,0.37%
PI Industries Ltd.,Equity,0.33%
KEI Industries Ltd.,Equity,0.31%
RITES Ltd.,Equity,0.28%
Endurance Technologies Ltd.,Equity,0.22%
TTK Prestige Ltd.,Equity,0.21%
Maruti Suzuki India Ltd.,Equity,0.16%
Indian Bank,Equity,0.09%
Astral Ltd. (Erstwhile Astral Poly Technik Ltd.),Equity,0.07%
Nifty,Equity,0.04%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.02%
Kotak Mahindra Bank Ltd.,Equity,0.01%
Nifty,Equity,0.01%
