Company Name,Asset Type,Percentage Allocation
Derivative,Others,19.94%
7.18 GOI Jul 24 2037,Debt,12.73%
7.3 GOI Jun 19 2053,Debt,12.69%
ICICI Bank Ltd.,Equity,4.41%
Larsen & Toubro Ltd.,Equity,3.88%
Bharti Airtel Ltd.,Equity,3.63%
HDFC Bank Ltd.,Equity,3.41%
Reliance Industries Ltd.,Equity,3.39%
Titan Company Ltd.,Equity,3.29%
Infosys Ltd.,Equity,2.80%
Triparty Repo,Others,2.56%
Tech Mahindra Ltd.,Equity,2.41%
Bajaj Auto Ltd.,Equity,2.40%
Axis Bank Ltd.,Equity,2.40%
ITC Ltd.,Equity,2.23%
Kotak Mahindra Bank Ltd.,Equity,2.16%
HCL Technologies Ltd.,Equity,1.98%
Dr Reddys Laboratories Ltd.,Equity,1.82%
Current Assets,Others,1.66%
Maruti Suzuki India Ltd.,Equity,1.59%
Jindal Steel & Power Ltd.,Equity,1.44%
Power Finance Corporation Ltd.,Equity,1.34%
Cash Margin,Debt,1.29%
Hero Motocorp Ltd.,Equity,1.12%
Hindalco Industries Ltd.,Equity,1.11%
TVS Motor Company Ltd.,Equity,1.09%
Macrotech Developers Ltd.,Equity,1.09%
NHPC Ltd.,Equity,1.07%
Info Edge (India) Ltd.,Equity,1.06%
Coal India Ltd.,Equity,1.04%
Bajaj Finserv Ltd.,Equity,1.03%
Interglobe Aviation Ltd.,Equity,1.02%
Apar Industries Ltd.,Equity,1.02%
Tata Motors Ltd.,Equity,1.02%
UNO Minda Ltd.,Equity,1.00%
Au Small Finance Bank Ltd.,Equity,0.97%
Lupin Ltd.,Equity,0.96%
Zomato Ltd.,Equity,0.95%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.91%
Cipla Ltd.,Equity,0.89%
Abbott India Ltd.,Equity,0.89%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,0.70%
Varun Beverages Ltd.,Equity,0.58%
Sobha Ltd.,Equity,0.56%
Jindal Stainless Ltd.,Equity,0.55%
Aurobindo Pharma Ltd.,Equity,0.53%
Union Bank Of India,Equity,0.50%
Hitachi Energy India Ltd.,Equity,0.50%
HDFC Asset Management Company Ltd.,Equity,0.48%
Laurus Labs Ltd.,Equity,0.47%
Vishnu Chemicals Ltd.,Equity,0.46%
Zee Entertainment Enterprises Ltd.,Equity,0.46%
Bandhan Bank Ltd.,Equity,0.46%
Max Financial Services Ltd.,Equity,0.45%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.43%
Aditya Birla Fashion & Retail Ltd.,Equity,0.41%
Net Receivables/(Payable),Others,0.38%
Cash Margin,Debt,0.01%
Cash,Others,0.00%
Bajaj Finserv Ltd.,Equity,-1.04%
Tech Mahindra Ltd.,Equity,-1.48%
Maruti Suzuki India Ltd.,Equity,-1.60%
Dr Reddys Laboratories Ltd.,Equity,-1.83%
HCL Technologies Ltd.,Equity,-1.98%
ICICI Bank Ltd.,Equity,-2.13%
Kotak Mahindra Bank Ltd.,Equity,-2.17%
Bharti Airtel Ltd.,Equity,-2.23%
Titan Company Ltd.,Equity,-2.34%
Larsen & Toubro Ltd.,Equity,-2.40%
Bajaj Auto Ltd.,Equity,-2.42%
