Company Name,Asset Type,Percentage Allocation
Dr Reddys Laboratories Ltd.,Equity,9.04%
6.67 GOI Dec 17 2050,Debt,8.84%
Tata Consultancy Services Ltd.,Equity,8.05%
8.35 Mahindra Rural Housing Finance Ltd. Sep 24 2032,Debt,6.42%
7.7505 TMF Holdings Ltd. Dec 30 2120,Debt,6.31%
6.19 GOI Sep 16 2034,Debt,5.93%
7.57 GOI Jun 17 2033,Debt,4.94%
8.97 GOI Dec  5 2030,Debt,3.88%
Reverse Repo,Others,3.77%
8.4 Indian Railway Finance Corporation Ltd. Jan  8 2029,Debt,3.32%
Current Assets,Others,3.29%
7.5 GOI Aug 10 2034,Debt,3.27%
Triparty Repo,Others,3.16%
Larsen & Toubro Ltd.,Equity,3.04%
6.83 HDFC Bank Ltd. Jan  8 2031,Debt,3.03%
HDFC Bank Ltd.,Equity,2.41%
ICICI Bank Ltd.,Equity,1.92%
9.25 Reliance Industries Ltd. Jun 17 2024,Debt,1.23%
Bharti Airtel Ltd.,Equity,1.10%
Infosys Ltd.,Equity,1.09%
Reliance Industries Ltd.,Equity,1.00%
Axis Bank Ltd.,Equity,0.92%
ITC Ltd.,Equity,0.89%
State Bank Of India,Equity,0.87%
United Spirits Ltd.,Equity,0.68%
9.1 Power Finance Corporation Ltd. Mar 23 2029,Debt,0.68%
Torrent Pharmaceuticals Ltd.,Equity,0.59%
Vesuvius India Ltd.,Equity,0.58%
ICICI Lombard General Insurance Company Ltd.,Equity,0.55%
Hindustan Aeronautics Ltd.,Equity,0.54%
Maruti Suzuki India Ltd.,Equity,0.53%
Transport Corporation Of India Ltd.,Equity,0.53%
SBI Life Insurance Company Ltd.,Equity,0.46%
Anup Engineering Ltd.,Equity,0.44%
Global Health Ltd.,Equity,0.43%
Voltamp Transformers Ltd.,Equity,0.42%
Finolex Cables Ltd.,Equity,0.41%
Gujarat State Petronet Ltd.,Equity,0.39%
Bayer Cropscience Ltd.,Equity,0.39%
Hindustan Petroleum Corporation Ltd.,Equity,0.38%
Apar Industries Ltd.,Equity,0.35%
Goodyear India Ltd.,Equity,0.34%
Gateway Distriparks Ltd.,Equity,0.33%
Gujarat Pipavav Port Ltd.,Equity,0.30%
City Union Bank Ltd.,Equity,0.29%
Symphony Ltd.,Equity,0.28%
Balrampur Chini Mills Ltd.,Equity,0.26%
Sanofi India Ltd.,Equity,0.26%
Power Grid Corporation Of India Ltd.,Equity,0.24%
Lumax Industries Ltd.,Equity,0.24%
Sterling Tools Ltd.,Equity,0.23%
Kalpataru Projects International Ltd.,Equity,0.23%
PVR INOX Ltd.,Equity,0.21%
Insecticides India Ltd.,Equity,0.18%
Redington (India) Ltd.,Equity,0.16%
Alembic Pharmaceuticals Ltd.,Equity,0.15%
Oriental Carbon & Chemicals Ltd.,Equity,0.14%
7.54 GOI May 23 2036,Debt,0.10%
