Company Name,Asset Type,Percentage Allocation
Ultratech Cement Ltd.,Equity,6.10%
Triparty Repo,Others,5.91%
Bharti Airtel Ltd.,Equity,5.36%
4.45 GOI Oct 30 2034,Debt,4.41%
DLF Ltd.,Equity,3.52%
Lupin Ltd.,Equity,3.46%
Inox Wind Ltd.,Equity,3.29%
Tech Mahindra Ltd.,Equity,3.19%
Maruti Suzuki India Ltd.,Equity,2.94%
Jindal Stainless Ltd.,Equity,2.68%
ICICI Bank Ltd.,Equity,2.51%
Interglobe Aviation Ltd.,Equity,2.44%
Bharat Petroleum Corporation Ltd.,Equity,2.33%
NMDC Steel Ltd,Equity,2.21%
JSW Steel Ltd.,Equity,2.19%
Muthoot Finance Ltd.,Equity,2.01%
Ambuja Cements Ltd.,Equity,1.92%
Siemens Ltd.,Equity,1.82%
Hindustan Petroleum Corporation Ltd.,Equity,1.77%
7.18 GOI Aug 14 2033,Debt,1.76%
Sharekhan Ltd. (365D),Others,1.62%
Jindal Steel & Power Ltd.,Equity,1.61%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,1.57%
Hindalco Industries Ltd.,Equity,1.54%
Jio Financial Services Ltd.,Equity,1.45%
RHI Magnesita India Ltd.,Equity,1.41%
Tata Motors - DVR - A - ORDY,Equity,1.38%
Jubilant Foodworks Ltd.,Equity,1.28%
Tata Steel Ltd.,Equity,1.25%
Divgi Torq Transfer Systems Pvt Ltd,Equity,1.21%
Bajaj Auto Ltd.,Equity,1.20%
Axis Bank Ltd.,Equity,1.19%
Gland Pharma Ltd.,Equity,1.18%
AIA Engineering Ltd.,Equity,1.07%
Gujarat Gas Ltd.,Equity,1.05%
7.8 HDFC Bank Ltd. Jun  2 2025,Debt,1.05%
Bharti Airtel Ltd.,Equity,1.05%
Divi Laboratories Ltd.,Equity,1.04%
PI Industries Ltd.,Equity,0.99%
Larsen & Toubro Ltd.,Equity,0.98%
Hero Motocorp Ltd.,Equity,0.93%
EPL Ltd. (Erstwhile Essel Propack Ltd.),Equity,0.88%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.85%
Karnataka Bank Ltd.,Equity,0.83%
Godrej Properties Ltd.,Equity,0.83%
BEML Ltd.,Equity,0.81%
Zee Entertainment Enterprises Ltd.,Equity,0.76%
8.9508 Pipeline Infrastructure Pvt. Ltd. Mar 22 2024,Debt,0.71%
Mangalore Refinery & Petrochemicals Ltd.,Equity,0.69%
8 Yes Bank Ltd. Sep 30 2026,Debt,0.68%
Bank Of Baroda,Equity,0.65%
Titan Company Ltd.,Equity,0.64%
Bharat Electronics Ltd.,Equity,0.58%
Vardhman Textiles Ltd.,Equity,0.57%
Himatsingka Seide Ltd.,Equity,0.49%
Grasim Industries Ltd.,Equity,0.38%
Chalet Hotels Ltd.,Equity,0.37%
Embassy Office Parks Reit,Others,0.30%
Cartrade Tech Ltd.,Equity,0.29%
Syngene International Ltd.,Equity,0.26%
Orient Cement Ltd.,Equity,0.18%
KSB Ltd.,Equity,0.13%
Devyani International Ltd.,Equity,0.12%
Sagar Cements Ltd.,Equity,0.07%
V-Mart Retail Ltd.,Equity,0.06%
UTI Asset Management Company Ltd.,Equity,0.05%
eClerx Services Ltd.,Equity,0.03%
Thyrocare Technologies Ltd.,Equity,0.03%
Current Assets,Others,-0.10%
