Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,8.25%
Reliance Industries Ltd.,Equity,6.69%
ICICI Bank Ltd.,Equity,6.53%
Tata Consultancy Services Ltd.,Equity,3.83%
Bosch Ltd.,Equity,3.83%
Larsen & Toubro Ltd.,Equity,3.34%
Axis Bank Ltd.,Equity,3.23%
Infosys Ltd.,Equity,2.93%
State Bank Of India,Equity,2.55%
Bajaj Finance Ltd.,Equity,2.27%
Dixon Technologies (India) Ltd.,Equity,2.27%
Kaynes Technology India Pvt. Ltd.,Equity,2.25%
National Thermal Power Corporation Ltd.,Equity,2.15%
HDFC Asset Management Company Ltd.,Equity,1.93%
Cyient DLM Ltd.,Equity,1.86%
ICICI Lombard General Insurance Company Ltd.,Equity,1.84%
Zomato Ltd.,Equity,1.71%
Hindustan Unilever Ltd.,Equity,1.61%
Triparty Repo,Others,1.59%
Ltimindtree Ltd.,Equity,1.59%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.58%
Sterling & Wilson Renewable Energy Ltd. (Erstwhile Sterling & Wilson Solar Ltd.),Equity,1.49%
Birla Corporation Ltd.,Equity,1.49%
Indraprastha Gas Ltd.,Equity,1.44%
Ultratech Cement Ltd.,Equity,1.37%
Au Small Finance Bank Ltd.,Equity,1.36%
Sona Blw Precision Forgings Ltd.,Equity,1.33%
PVR INOX Ltd.,Equity,1.29%
Titan Company Ltd.,Equity,1.27%
Dabur India Ltd.,Equity,1.25%
Apollo Hospitals Enterprise Ltd.,Equity,1.24%
Gland Pharma Ltd.,Equity,1.19%
Container Corporation Of India Ltd.,Equity,1.16%
Bikaji Foods International Ltd.,Equity,1.13%
Mishra Dhatu Nigam Ltd.,Equity,1.12%
EIH Ltd.,Equity,1.11%
SBI Life Insurance Company Ltd.,Equity,1.11%
United Breweries Ltd.,Equity,1.02%
Affle (India) Ltd.,Equity,1.01%
IPCA Laboratories Ltd.,Equity,0.99%
Bajaj Finserv Ltd.,Equity,0.99%
Hindustan Aeronautics Ltd.,Equity,0.97%
Praj Industries Ltd.,Equity,0.96%
Brigade Enterprises Ltd.,Equity,0.93%
Clean Science & Technology Ltd.,Equity,0.91%
Bharat Forge Ltd.,Equity,0.85%
K P R Mill Ltd.,Equity,0.83%
Voltas Ltd.,Equity,0.76%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.75%
Fsn ECommerce Ventures Ltd.,Equity,0.72%
Thyrocare Technologies Ltd.,Equity,0.71%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,0.69%
Restaurant Brands Asia Ltd.,Equity,0.62%
Carborundum Universal Ltd.,Equity,0.58%
Zee Entertainment Enterprises Ltd.,Equity,0.57%
Jio Financial Services Ltd.,Equity,0.56%
Current Assets,Others,0.38%
Jupiter Life Line Hospitals Ltd.,Equity,0.02%
Cash Margin,Debt,0.00%
