Company Name,Asset Type,Percentage Allocation
4.04 GOI Oct  4 2028,Debt,7.32%
HDFC Bank Ltd.,Equity,7.13%
ICICI Bank Ltd.,Equity,4.41%
Infosys Ltd.,Equity,4.26%
Axis Bank Ltd.,Equity,3.39%
8.03 GOI Dec 15 2024,Debt,3.20%
Maruti Suzuki India Ltd.,Equity,3.00%
7.59 GOI Jan 11 2026,Debt,2.82%
ABB India Ltd.,Equity,2.81%
Ultratech Cement Ltd.,Equity,2.79%
Endurance Technologies Ltd.,Equity,2.77%
Larsen & Toubro Ltd.,Equity,2.75%
Timken India Ltd.,Equity,2.54%
National Highways Infra Trust,Others,2.45%
Chalet Hotels Ltd.,Equity,2.27%
Esab India Ltd.,Equity,2.21%
L&T Technology Services Ltd.,Equity,2.18%
HDFC Asset Management Company Ltd.,Equity,2.17%
Schaeffler India Ltd.,Equity,2.09%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.09%
Divi Laboratories Ltd.,Equity,2.08%
State Bank Of India,Equity,1.99%
The Indian Hotels Company Ltd.,Equity,1.96%
Grindwell Norton Ltd.,Equity,1.94%
Hindalco Industries Ltd.,Equity,1.90%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,1.89%
Abbott India Ltd.,Equity,1.80%
TVS Motor Company Ltd.,Equity,1.79%
Sona Blw Precision Forgings Ltd.,Equity,1.54%
AIA Engineering Ltd.,Equity,1.41%
Triparty Repo,Others,1.40%
ICICI Lombard General Insurance Company Ltd.,Equity,1.24%
DLF Ltd.,Equity,1.19%
Kotak Mahindra Bank Ltd.,Others,1.17%
Page Industries Ltd.,Equity,1.04%
V-Guard Industries Ltd.,Equity,1.04%
8.16 Karnataka Sdl Nov 26 2025,Debt,1.01%
SBFC Finance Ltd.,Equity,1.01%
Carborundum Universal Ltd.,Equity,0.98%
The Phoenix Mills Ltd.,Equity,0.97%
Teamlease Services Ltd.,Equity,0.92%
9.1 West Bengal SDL Aug 27 2024,Debt,0.89%
Fsn ECommerce Ventures Ltd.,Equity,0.89%
Hawkins Cooker Ltd.,Equity,0.86%
Nuvoco Vistas Corporation Ltd.,Equity,0.60%
8.05 Gujarat SDL Apr 29 2025,Debt,0.40%
7.9 HDFC Bank Ltd. Aug 24 2026,Debt,0.40%
9.75 Gujarat SDL Feb 26 2024,Debt,0.39%
Axis Bank Ltd.,Others,0.39%
Net Receivables/(Payable),Others,0.28%
