Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,9.15%
ICICI Bank Ltd.,Equity,5.77%
Infosys Ltd.,Equity,5.21%
Maruti Suzuki India Ltd.,Equity,4.01%
Axis Bank Ltd.,Equity,3.89%
ABB India Ltd.,Equity,3.69%
Ultratech Cement Ltd.,Equity,3.68%
Larsen & Toubro Ltd.,Equity,3.58%
Endurance Technologies Ltd.,Equity,3.28%
Timken India Ltd.,Equity,3.01%
State Bank Of India,Equity,2.99%
L&T Technology Services Ltd.,Equity,2.82%
HDFC Asset Management Company Ltd.,Equity,2.64%
Chalet Hotels Ltd.,Equity,2.58%
Grindwell Norton Ltd.,Equity,2.57%
Hindalco Industries Ltd.,Equity,2.52%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.43%
The Indian Hotels Company Ltd.,Equity,2.32%
Schaeffler India Ltd.,Equity,2.30%
TVS Motor Company Ltd.,Equity,2.25%
Esab India Ltd.,Equity,2.25%
Divi Laboratories Ltd.,Equity,2.23%
Abbott India Ltd.,Equity,2.18%
Sona Blw Precision Forgings Ltd.,Equity,2.02%
4.04 GOI Oct  4 2028,Debt,1.56%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,1.52%
Page Industries Ltd.,Equity,1.47%
DLF Ltd.,Equity,1.46%
Fsn ECommerce Ventures Ltd.,Equity,1.28%
8.03 GOI Dec 15 2024,Debt,1.22%
The Phoenix Mills Ltd.,Equity,1.22%
ICICI Lombard General Insurance Company Ltd.,Equity,1.20%
SBFC Finance Ltd.,Equity,1.16%
Carborundum Universal Ltd.,Equity,1.13%
AIA Engineering Ltd.,Equity,1.13%
Triparty Repo,Others,1.07%
V-Guard Industries Ltd.,Equity,0.96%
Teamlease Services Ltd.,Equity,0.93%
Nuvoco Vistas Corporation Ltd.,Equity,0.90%
Hawkins Cooker Ltd.,Equity,0.71%
8.16 Karnataka Sdl Nov 26 2025,Debt,0.61%
9.1 West Bengal SDL Aug 27 2024,Debt,0.49%
Axis Bank Ltd.,Others,0.48%
5.86 Tata Capital Housing Finance Ltd. Feb 23 2024,Debt,0.24%
Net Receivables/(Payable),Others,-0.09%
