Company Name,Asset Type,Percentage Allocation
Net Receivables/(Payable),Others,12.13%
7.32 GOI Nov 13 2030,Debt,7.98%
7.18 GOI Aug 14 2033,Debt,6.92%
7.72 Bharat Sanchar Nigam Ltd. Dec 22 2032,Debt,3.98%
7.9 HDFC Bank Ltd. Aug 24 2026,Debt,3.94%
HDFC Bank Ltd.,Equity,3.54%
8.025 LIC Housing Finance Ltd. Mar 23 2033,Debt,3.01%
7.85 Bajaj Housing Finance Ltd. Sep  1 2028,Debt,2.95%
ICICI Bank Ltd.,Equity,2.33%
Infosys Ltd.,Equity,2.13%
8 Mahanagar Telephone Nigam Ltd. Nov 15 2032,Debt,2.01%
7.75 Indian Railway Finance Corporation Ltd. Apr 15 2033,Debt,1.99%
7.77 Power Finance Corporation Ltd. Apr 15 2028,Debt,1.98%
7.65 Indian Railway Finance Corporation Ltd. Dec 30 2032,Debt,1.98%
7.69 REC Ltd. Jan 31 2033,Debt,1.98%
7.98 REC Ltd. Apr 28 2123,Debt,1.98%
8.5 Torrent Power Ltd. Jun  7 2032,Debt,1.97%
7.86 Nexus Select Trust Jun 16 2026,Debt,1.97%
8.15 Godrej Properties Ltd. Jul  3 2026,Debt,1.96%
Axis Bank Ltd.,Equity,1.60%
Ultratech Cement Ltd.,Equity,1.52%
ABB India Ltd.,Equity,1.47%
Larsen & Toubro Ltd.,Equity,1.46%
Maruti Suzuki India Ltd.,Equity,1.38%
Endurance Technologies Ltd.,Equity,1.38%
Chalet Hotels Ltd.,Equity,1.21%
Grindwell Norton Ltd.,Equity,1.15%
State Bank Of India,Equity,1.12%
HDFC Asset Management Company Ltd.,Equity,1.07%
L&T Technology Services Ltd.,Equity,1.06%
The Indian Hotels Company Ltd.,Equity,1.05%
TVS Motor Company Ltd.,Equity,1.04%
Abbott India Ltd.,Equity,1.03%
Divi Laboratories Ltd.,Equity,1.02%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.01%
Esab India Ltd.,Equity,0.98%
Timken India Ltd.,Equity,0.95%
Hindalco Industries Ltd.,Equity,0.94%
Sona Blw Precision Forgings Ltd.,Equity,0.87%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,0.85%
AIA Engineering Ltd.,Equity,0.81%
Schaeffler India Ltd.,Equity,0.80%
8.7 Union Bank Of India Nov 22 2121,Debt,0.79%
Triparty Repo,Others,0.79%
Teamlease Services Ltd.,Equity,0.61%
Fsn ECommerce Ventures Ltd.,Equity,0.59%
DLF Ltd.,Equity,0.59%
The Phoenix Mills Ltd.,Equity,0.58%
Carborundum Universal Ltd.,Equity,0.57%
SBFC Finance Ltd.,Equity,0.57%
ICICI Lombard General Insurance Company Ltd.,Equity,0.53%
V-Guard Industries Ltd.,Equity,0.53%
Page Industries Ltd.,Equity,0.49%
Hawkins Cooker Ltd.,Equity,0.45%
Nuvoco Vistas Corporation Ltd.,Equity,0.44%
