Company Name,Asset Type,Percentage Allocation
7.18 GOI Aug 14 2033,Debt,13.59%
7.32 GOI Nov 13 2030,Debt,9.14%
7.72 Bharat Sanchar Nigam Ltd. Dec 22 2032,Debt,6.08%
Net Receivables/(Payable),Others,5.89%
8.025 LIC Housing Finance Ltd. Mar 23 2033,Debt,4.59%
7.85 Bajaj Housing Finance Ltd. Sep  1 2028,Debt,4.51%
Triparty Repo,Others,3.41%
8 Mahanagar Telephone Nigam Ltd. Nov 15 2032,Debt,3.08%
7.75 Indian Railway Finance Corporation Ltd. Apr 15 2033,Debt,3.04%
7.77 Power Finance Corporation Ltd. Apr 15 2028,Debt,3.03%
7.65 Indian Railway Finance Corporation Ltd. Dec 30 2032,Debt,3.02%
7.69 REC Ltd. Jan 31 2033,Debt,3.02%
7.98 REC Ltd. Apr 28 2123,Debt,3.02%
8.7 Union Bank Of India Nov 22 2121,Debt,3.02%
8.5 Torrent Power Ltd. Jun  7 2032,Debt,3.01%
7.9 HDFC Bank Ltd. Aug 24 2026,Debt,3.01%
7.86 Nexus Select Trust Jun 16 2026,Debt,3.00%
8.15 Godrej Properties Ltd. Jul  3 2026,Debt,2.99%
HDFC Bank Ltd.,Equity,1.73%
ICICI Bank Ltd.,Equity,1.18%
Infosys Ltd.,Equity,1.05%
Axis Bank Ltd.,Equity,0.78%
Ultratech Cement Ltd.,Equity,0.71%
Larsen & Toubro Ltd.,Equity,0.70%
ABB India Ltd.,Equity,0.70%
Maruti Suzuki India Ltd.,Equity,0.65%
Endurance Technologies Ltd.,Equity,0.64%
Grindwell Norton Ltd.,Equity,0.56%
Abbott India Ltd.,Equity,0.55%
Chalet Hotels Ltd.,Equity,0.54%
HDFC Asset Management Company Ltd.,Equity,0.54%
L&T Technology Services Ltd.,Equity,0.54%
Esab India Ltd.,Equity,0.53%
State Bank Of India,Equity,0.53%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.52%
Divi Laboratories Ltd.,Equity,0.51%
TVS Motor Company Ltd.,Equity,0.47%
Hindalco Industries Ltd.,Equity,0.47%
The Indian Hotels Company Ltd.,Equity,0.46%
Timken India Ltd.,Equity,0.46%
Schaeffler India Ltd.,Equity,0.44%
Sona Blw Precision Forgings Ltd.,Equity,0.44%
AIA Engineering Ltd.,Equity,0.41%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,0.40%
Teamlease Services Ltd.,Equity,0.35%
Fsn ECommerce Ventures Ltd.,Equity,0.32%
V-Guard Industries Ltd.,Equity,0.30%
SBFC Finance Ltd.,Equity,0.29%
Carborundum Universal Ltd.,Equity,0.28%
The Phoenix Mills Ltd.,Equity,0.28%
DLF Ltd.,Equity,0.26%
Hawkins Cooker Ltd.,Equity,0.26%
Page Industries Ltd.,Equity,0.26%
ICICI Lombard General Insurance Company Ltd.,Equity,0.24%
Nuvoco Vistas Corporation Ltd.,Equity,0.21%
