Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,6.92%
HDFC Bank Ltd.,Equity,6.45%
ICICI Bank Ltd.,Equity,5.27%
Larsen & Toubro Ltd.,Equity,4.88%
Kesoram Industries Ltd.,Equity,3.00%
Reliance Industries Ltd.,Equity,2.98%
Infosys Ltd.,Equity,2.61%
Tata Motors - DVR - A - ORDY,Equity,2.52%
Bharti Airtel Ltd.,Equity,2.19%
Axis Bank Ltd.,Equity,2.12%
Bharat Electronics Ltd.,Equity,1.89%
Tech Mahindra Ltd.,Equity,1.87%
TVS Motor Company Ltd.,Equity,1.83%
Polycab India Ltd.,Equity,1.67%
Canara Bank,Equity,1.63%
Varun Beverages Ltd.,Equity,1.62%
State Bank Of India,Equity,1.62%
Spandana Sphoorty Financial Ltd.,Equity,1.53%
Tata Consumer Products Ltd.,Equity,1.53%
Nippon Life India Asset Management Ltd.,Equity,1.48%
National Thermal Power Corporation Ltd.,Equity,1.47%
Central Depository Services (India) Ltd.,Equity,1.41%
Solar Industries India Ltd.,Equity,1.41%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,1.39%
Zomato Ltd.,Equity,1.35%
Oberoi Realty Ltd.,Equity,1.32%
Electronics Mart India Ltd.,Equity,1.28%
Brigade Enterprises Ltd.,Equity,1.27%
Hitachi Energy India Ltd.,Equity,1.23%
Sona Blw Precision Forgings Ltd.,Equity,1.13%
Ltimindtree Ltd.,Equity,1.13%
Dixon Technologies (India) Ltd.,Equity,1.10%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.09%
HCL Technologies Ltd.,Equity,1.07%
Coal India Ltd.,Equity,1.07%
Bajaj Auto Ltd.,Equity,1.06%
CG Power & Industrial Solutions Ltd.,Equity,1.04%
Eureka Forbes Ltd.,Equity,1.04%
Endurance Technologies Ltd.,Equity,1.02%
Mankind Pharma Ltd.,Equity,1.02%
Hindalco Industries Ltd.,Equity,1.01%
UNO Minda Ltd.,Equity,0.97%
Max Healthcare Institute Ltd.,Equity,0.97%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.96%
PVR INOX Ltd.,Equity,0.96%
Escorts Kubota Ltd.,Equity,0.95%
Kaynes Technology India Pvt. Ltd.,Equity,0.93%
Gabriel India Ltd.,Equity,0.92%
PB Fintech Ltd.,Equity,0.92%
REC Ltd.,Equity,0.92%
Jio Financial Services Ltd.,Equity,0.91%
Gokaldas Exports Ltd.,Equity,0.91%
Hindustan Petroleum Corporation Ltd.,Equity,0.91%
Bajaj Finance Ltd.,Equity,0.90%
Power Finance Corporation Ltd.,Equity,0.89%
S.J.S. Enterprises Ltd.,Equity,0.88%
Sonata Software Ltd.,Equity,0.86%
The Phoenix Mills Ltd.,Equity,0.82%
SBI Life Insurance Company Ltd.,Equity,0.79%
Neogen Chemicals Ltd.,Equity,0.77%
Tata Consultancy Services Ltd.,Equity,0.68%
ABB India Ltd.,Equity,0.64%
Tata Power Company Ltd.,Equity,0.58%
Ethos Ltd.,Equity,0.57%
Sun Pharmaceuticals Ind Ltd.,Equity,0.53%
Syrma SGS Technology Ltd.,Equity,0.46%
Treasury Bill (182D),Others,0.05%
Net Receivables/(Payable),Others,-1.18%
