Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,17.51%
ICICI Bank Ltd.,Equity,15.93%
Axis Bank Ltd.,Equity,6.12%
Bajaj Finance Ltd.,Equity,6.07%
State Bank Of India,Equity,4.93%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,3.45%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,2.78%
Repco Home Finance Ltd.,Equity,2.69%
Bank Of India,Equity,2.37%
Computer Age Management Services Ltd.,Equity,2.35%
The Federal Bank Ltd.,Equity,2.28%
Cholamandalam Financial Holdings Ltd.,Equity,2.27%
CBLO(CCIL),Others,2.19%
LIC Housing Finance Ltd.,Equity,1.98%
Ujjivan Financial Services Ltd.,Equity,1.97%
RBL Bank Ltd.,Equity,1.94%
IDFC Ltd.,Equity,1.77%
Union Bank Of India,Equity,1.71%
Kotak Mahindra Bank Ltd.,Equity,1.68%
Bajaj Finserv Ltd.,Equity,1.50%
SBI Life Insurance Company Ltd.,Equity,1.50%
ICICI Lombard General Insurance Company Ltd.,Equity,1.42%
Fusion Micro Finance Ltd.,Equity,1.40%
Central Depository Services (India) Ltd.,Equity,1.33%
SBFC Finance Ltd.,Equity,1.32%
Manappuram Finance Ltd.,Equity,1.23%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.00%
Utkarsh Small Finance Bank Ltd.,Equity,0.85%
Bank Of Baroda,Equity,0.79%
Max Financial Services Ltd.,Equity,0.78%
Au Small Finance Bank Ltd.,Equity,0.78%
Indusind Bank Ltd.,Equity,0.77%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.74%
Bandhan Bank Ltd.,Equity,0.64%
Home First Finance Company India Ltd.,Equity,0.56%
HDFC Life Insurance Company Ltd.,Equity,0.43%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Liquid Fund - Direct - Growth),Debt,0.42%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.38%
One 97 Communications Ltd.,Equity,0.20%
The Jammu & Kashmir Bank Ltd.,Equity,0.19%
Net Receivables/(Payable),Others,-0.19%
