Company Name,Asset Type,Percentage Allocation
Infosys Ltd.,Equity,22.34%
Tata Consultancy Services Ltd.,Equity,10.27%
HCL Technologies Ltd.,Equity,8.72%
Ltimindtree Ltd.,Equity,6.58%
Bharti Airtel Ltd.,Equity,6.46%
Cyient Ltd.,Equity,5.76%
Coforge Ltd.,Equity,3.73%
CBLO(CCIL),Others,3.22%
Tech Mahindra Ltd.,Equity,3.12%
Wipro Ltd.,Equity,2.59%
Sonata Software Ltd.,Equity,2.48%
Rategain Travel Technologies Ltd.,Equity,2.02%
Zomato Ltd.,Equity,1.83%
Birlasoft Ltd.,Equity,1.77%
Zee Entertainment Enterprises Ltd.,Equity,1.61%
CMS Info Systems Ltd.,Equity,1.53%
Cognizant Technology Solutions Corp,Equity,1.44%
Fsn ECommerce Ventures Ltd.,Equity,1.35%
Persistent Systems Ltd.,Equity,1.24%
Adobe Sys Inc,Equity,1.24%
Latent View Analytics Ltd.,Equity,1.17%
Tanla Platforms Ltd.,Equity,1.07%
Microsoft Corporation,Equity,1.02%
Indiamart Intermesh Ltd.,Equity,0.92%
Honeywell Automation India Ltd.,Equity,0.91%
Apple Inc,Equity,0.91%
KPIT Technologies Ltd.,Equity,0.81%
Tata Communications Ltd.,Equity,0.67%
First Source Solutions Ltd.,Equity,0.65%
Cyient DLM Ltd.,Equity,0.59%
One 97 Communications Ltd.,Equity,0.59%
Accenture Plc,Equity,0.42%
Aditya Birla Sun Life Mutual Fund (Aditya Birla Sun Life Nifty IT ETF),Equity,0.39%
Bharti Airtel Ltd.,Equity,0.31%
Netweb Technologies India Ltd.,Equity,0.28%
Other Margin,Debt,0.11%
Cash,Others,0.00%
Net Receivables/(Payable),Others,-0.11%
