Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,14.98%
ICICI Bank Ltd.,Equity,14.89%
Triparty Repo,Others,5.29%
State Bank Of India,Equity,5.04%
REC Ltd.,Equity,3.55%
Indusind Bank Ltd.,Equity,3.51%
Axis Bank Ltd.,Equity,3.50%
Power Finance Corporation Ltd.,Equity,3.49%
Kotak Mahindra Bank Ltd.,Equity,3.24%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,3.02%
General Insurance Corporation of India Ltd.,Equity,2.38%
Manappuram Finance Ltd.,Equity,2.01%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.97%
Multi Commodity Exchange of India Ltd.,Equity,1.94%
Five-Star Business Finance Ltd.,Equity,1.90%
Bajaj Finserv Ltd.,Equity,1.86%
Indian Renewable Energy Development Agency (Ireda),Equity,1.74%
Repco Home Finance Ltd.,Equity,1.40%
Prudent Corporate Advisory Services Ltd.,Equity,1.29%
India Shelter Finance Corporation Ltd.,Equity,1.17%
Satin Creditcare Network Ltd.,Equity,1.13%
KFIN Technologies Ltd.,Equity,1.09%
Spandana Sphoorty Financial Ltd.,Equity,1.08%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,1.06%
Life Insurance Corporation of India,Equity,1.03%
L&T Finance Holding Ltd.,Equity,1.03%
UTI Asset Management Company Ltd.,Equity,1.02%
City Union Bank Ltd.,Equity,0.98%
HDFC Asset Management Company Ltd.,Equity,0.98%
Motilal Oswal Financial Services Ltd.,Equity,0.97%
Karur Vysya Bank Ltd.,Equity,0.95%
SBI Life Insurance Company Ltd.,Equity,0.92%
Central Depository Services (India) Ltd.,Equity,0.92%
HDFC Life Insurance Company Ltd.,Equity,0.90%
PB Fintech Ltd.,Equity,0.89%
Home First Finance Company India Ltd.,Equity,0.88%
CRISIL Ltd.,Equity,0.88%
CreditAccess Grameen Ltd.,Equity,0.87%
SBI Cards & Payment Services Pvt. Ltd.,Equity,0.87%
BSE Ltd.,Equity,0.82%
Cholamandalam Financial Holdings Ltd.,Equity,0.78%
Cash Margin,Debt,0.66%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),Equity,0.62%
ICICI Lombard General Insurance Company Ltd.,Equity,0.49%
Jio Financial Services Ltd.,Equity,0.48%
Cash Margin,Debt,0.03%
Cash,Others,0.00%
Net Receivables/(Payable),Others,-0.50%
