Company Name,Asset Type,Percentage Allocation
Larsen & Toubro Ltd.,Equity,9.56%
Ultratech Cement Ltd.,Equity,6.17%
Bharat Electronics Ltd.,Equity,5.56%
Kirloskar Brothers Ltd.,Equity,4.69%
Torrent Power Ltd.,Equity,4.69%
J. K. Cement Ltd.,Equity,4.16%
Ahluwalia Contracts Ltd.,Equity,3.79%
ABB India Ltd.,Equity,3.26%
ITD Cementation India Ltd.,Equity,3.15%
Jindal Steel & Power Ltd.,Equity,3.11%
PNC Infratech Ltd.,Equity,3.08%
Thermax Ltd.,Equity,3.02%
Transport Corporation Of India Ltd.,Equity,2.98%
H.G. Infra Engineering Ltd.,Equity,2.72%
GPT Infraprojects Ltd.,Equity,2.70%
NCC Ltd.,Equity,2.42%
Container Corporation Of India Ltd.,Equity,2.33%
Gujarat State Petronet Ltd.,Equity,2.16%
Bharti Airtel Ltd.,Equity,2.14%
Engineers India Ltd.,Equity,2.02%
Power Grid Corporation Of India Ltd.,Equity,1.99%
Minda Corporation Ltd.,Equity,1.93%
Carborundum Universal Ltd.,Equity,1.83%
Gateway Distriparks Ltd.,Equity,1.62%
Sterling & Wilson Renewable Energy Ltd. (Erstwhile Sterling & Wilson Solar Ltd.),Equity,1.51%
Isgec Heavy Engineering Ltd.,Equity,1.28%
National Thermal Power Corporation Ltd.,Equity,1.24%
Dalmia Bharat Ltd.,Equity,1.18%
Cummins India Ltd.,Equity,1.11%
Azad Engineering Ltd.,Equity,1.05%
Praj Industries Ltd.,Equity,1.05%
Gujarat Gas Ltd.,Equity,1.00%
Adani Ports and Special Economic Zone Ltd.,Equity,1.00%
Swan Energy Ltd.,Equity,0.99%
Sagar Cements Ltd.,Equity,0.98%
GMR Airports Infrastructure Ltd.,Equity,0.85%
Triparty Repo,Others,0.60%
3M India Ltd.,Equity,0.58%
GAIL (India) Ltd.,Equity,0.54%
Hitachi Energy India Ltd.,Equity,0.52%
Solar Industries India Ltd.,Equity,0.51%
PTC India Financial Services Ltd.,Equity,0.49%
Current Assets,Others,0.47%
Titagarh Railsystems Ltd.,Equity,0.38%
KSB Ltd.,Equity,0.32%
Bharat Dynamics Ltd.,Equity,0.28%
Mishra Dhatu Nigam Ltd.,Equity,0.26%
Indus Towers Ltd. (Erstwhile Bharti Infratel Limited),Equity,0.25%
Bosch Ltd.,Equity,0.25%
Bharti Airtel Ltd.,Equity,0.22%
Cash Margin,Debt,0.00%
