Company Name,Asset Type,Percentage Allocation
Tata Motors Ltd.,Equity,8.58%
Maruti Suzuki India Ltd.,Equity,7.33%
Bajaj Auto Ltd.,Equity,6.16%
Mahindra & Mahindra Ltd.,Equity,5.59%
Hero Motocorp Ltd.,Equity,5.36%
Bosch Ltd.,Equity,5.17%
MRF Ltd.,Equity,4.19%
Interglobe Aviation Ltd.,Equity,3.07%
VRL Logistics Ltd.,Equity,2.77%
Triparty Repo,Others,2.77%
Escorts Kubota Ltd.,Equity,2.70%
Sandhar Technologies Ltd.,Equity,2.55%
L G Balakrishnan & Bros Ltd.,Equity,2.51%
Exide Industries Ltd.,Equity,2.47%
Container Corporation Of India Ltd.,Equity,2.22%
Gateway Distriparks Ltd.,Equity,2.17%
Bharat Forge Ltd.,Equity,2.08%
Jamna Auto Industries Ltd.,Equity,2.02%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.85%
Rane Holdings Ltd.,Equity,1.83%
Motherson Sumi Wiring India Ltd.,Equity,1.68%
Steel Strip Wheels Ltd.,Equity,1.68%
Automotive Axles Ltd.,Equity,1.67%
Alicon Castalloy Ltd.,Equity,1.64%
Eicher Motors Ltd.,Equity,1.61%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,1.61%
Yatra Online Ltd.,Equity,1.50%
JK Tyre & Industries Ltd.,Equity,1.49%
Lumax Industries Ltd.,Equity,1.48%
TVS Holdings Ltd.,Equity,1.40%
Lumax Auto Technologies Ltd.,Equity,1.35%
UNO Minda Ltd.,Equity,1.33%
Blue Dart Express Ltd.,Equity,1.27%
SKF India Ltd.,Equity,1.19%
The Great Eastern Shipping Company Ltd.,Equity,1.14%
Subros Ltd.,Equity,1.12%
Transport Corporation Of India Ltd.,Equity,1.06%
Shipping Corporation of India Ltd.,Equity,1.05%
CIE Automotive India Ltd.,Equity,0.91%
Rishabh Instruments Ltd.,Equity,0.60%
Sundaram Clayton Dcd Ltd,Equity,0.19%
Cash Margin,Debt,0.02%
Current Assets,Others,-0.36%
