Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,27.54%
ICICI Bank Ltd.,Equity,15.13%
Axis Bank Ltd.,Equity,6.15%
Bajaj Finance Ltd.,Equity,5.95%
State Bank Of India,Equity,5.50%
Kotak Mahindra Bank Ltd.,Equity,3.99%
Indusind Bank Ltd.,Equity,3.21%
Triparty Repo,Others,2.86%
Indian Renewable Energy Development Agency (Ireda),Equity,2.58%
Power Finance Corporation Ltd.,Equity,1.88%
Nippon Life India Asset Management Ltd.,Equity,1.80%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.69%
BSE Ltd.,Equity,1.69%
Punjab National Bank,Equity,1.62%
The Jammu & Kashmir Bank Ltd.,Equity,1.37%
Karur Vysya Bank Ltd.,Equity,1.36%
Five-Star Business Finance Ltd.,Equity,1.35%
Indian Bank,Equity,1.32%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,1.27%
Mahindra & Mahindra Financial Services Ltd.,Equity,1.17%
HDFC Life Insurance Company Ltd.,Equity,1.15%
Max Financial Services Ltd.,Equity,1.15%
Equitas Small Finance Bank Ltd.,Equity,1.13%
RBL Bank Ltd.,Equity,1.12%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,1.09%
PNB Housing Finance Ltd.,Equity,1.08%
DCB Bank Ltd.,Equity,1.07%
Protean Egov Technologies Ltd.,Equity,1.04%
HDFC Bank Ltd.,Equity,1.01%
Canfin Homes Ltd.,Equity,0.97%
Home First Finance Company India Ltd.,Equity,0.96%
Treasury Bill (364D),Others,0.44%
Net Receivables/(Payable),Others,-0.64%
Derivative,Others,-1.01%
