Company Name,Asset Type,Percentage Allocation
CBLO(CCIL),Others,7.87%
Birlasoft Ltd.,Equity,4.25%
Narayana Hrudayalaya Ltd.,Equity,4.06%
Brigade Enterprises Ltd.,Equity,3.82%
Cholamandalam Financial Holdings Ltd.,Equity,2.98%
Blue Star Ltd.,Equity,2.59%
Krishna Institute of Medical Sciences Ltd.,Equity,2.58%
Galaxy Surfactants Ltd.,Equity,2.54%
Ccl Products (India) Ltd.,Equity,2.50%
JB Chemicals & Pharmaceuticals Ltd.,Equity,2.33%
JK Lakshmi Cement Ltd.,Equity,2.32%
Fine Organic Industries Ltd.,Equity,2.31%
Canfin Homes Ltd.,Equity,2.19%
Nifty,Equity,1.96%
RHI Magnesita India Ltd.,Equity,1.91%
Persistent Systems Ltd.,Equity,1.82%
CIE Automotive India Ltd.,Equity,1.81%
Kaynes Technology India Pvt. Ltd.,Equity,1.69%
Ahluwalia Contracts Ltd.,Equity,1.64%
CreditAccess Grameen Ltd.,Equity,1.57%
Chemplast Sanmar Ltd.,Equity,1.56%
Tata Motors Ltd.,Equity,1.52%
Craftsman Automation Ltd.,Equity,1.49%
KPIT Technologies Ltd.,Equity,1.45%
Grindwell Norton Ltd.,Equity,1.42%
City Union Bank Ltd.,Equity,1.41%
The Phoenix Mills Ltd.,Equity,1.40%
Vesuvius India Ltd.,Equity,1.33%
Rolex Rings Ltd.,Equity,1.33%
Coforge Ltd.,Equity,1.31%
MTAR Technologies Ltd.,Equity,1.27%
Minda Corporation Ltd.,Equity,1.20%
Mrs Bectors Food Specialities Ltd.,Equity,1.16%
PB Fintech Ltd.,Equity,1.03%
Carborundum Universal Ltd.,Equity,0.99%
Neogen Chemicals Ltd.,Equity,0.97%
Sundaram Finance Ltd.,Equity,0.91%
J. K. Cement Ltd.,Equity,0.87%
Orient Electric Ltd.,Equity,0.82%
Data Patterns (India) Ltd.,Equity,0.78%
Jyothy Labs Ltd.,Equity,0.72%
Sudarshan Chemical Industries Ltd.,Equity,0.72%
Treasury Bill (182D),Others,0.72%
PNC Infratech Ltd.,Equity,0.72%
Sona Blw Precision Forgings Ltd.,Equity,0.69%
R R Kabel Ltd.,Equity,0.66%
BSE Ltd.,Equity,0.65%
Sansera Engineering Ltd.,Equity,0.63%
Heidelberg Cement India Ltd.,Equity,0.63%
MAS Financial Services Ltd.,Equity,0.57%
Tata Elxsi Ltd.,Equity,0.57%
Deepak Fertilizers & Petrochemicals Corporation Ltd.,Equity,0.56%
UNO Minda Ltd.,Equity,0.55%
KNR Constructions Ltd.,Equity,0.53%
Apar Industries Ltd.,Equity,0.51%
IPCA Laboratories Ltd.,Equity,0.51%
Multi Commodity Exchange of India Ltd.,Equity,0.51%
Global Health Ltd.,Equity,0.50%
Rainbow Childrens Medicare Ltd.,Equity,0.49%
Fortis Healthcare Ltd.,Equity,0.48%
Vijaya Diagnostic Centre Ltd.,Equity,0.48%
Alicon Castalloy Ltd.,Equity,0.47%
Balrampur Chini Mills Ltd.,Equity,0.46%
S.J.S. Enterprises Ltd.,Equity,0.46%
Go Fashion (India) Ltd.,Equity,0.45%
SRF Ltd.,Equity,0.42%
J M Financial Ltd.,Equity,0.39%
Navin Fluorine International Ltd.,Equity,0.38%
Computer Age Management Services Ltd.,Equity,0.38%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.37%
Laurus Labs Ltd.,Equity,0.37%
Bharat Dynamics Ltd.,Equity,0.35%
Jamna Auto Industries Ltd.,Equity,0.35%
Suven Pharmaceuticals Ltd.,Equity,0.34%
VST Industries Ltd.,Equity,0.32%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.31%
India Shelter Finance Corporation Ltd.,Equity,0.30%
Timken India Ltd.,Equity,0.30%
Container Corporation Of India Ltd.,Equity,0.29%
Vedant Fashions Pvt. Ltd.,Equity,0.28%
Aether Industries Ltd.,Equity,0.28%
Suryoday Small Finance Bank Ltd.,Equity,0.23%
The Ramco Cements Ltd.,Equity,0.22%
EPL Ltd. (Erstwhile Essel Propack Ltd.),Equity,0.19%
Ltimindtree Ltd.,Equity,0.18%
Mahindra Lifespace Developers Ltd.,Equity,0.18%
ICICI Securities Ltd.,Equity,0.18%
KEI Industries Ltd.,Equity,0.17%
KFIN Technologies Ltd.,Equity,0.17%
Mphasis Ltd.,Equity,0.16%
TCNS Clothing Company Ltd.,Equity,0.15%
Teamlease Services Ltd.,Equity,0.14%
Mankind Pharma Ltd.,Equity,0.14%
Treasury Bill (364D),Others,0.13%
Honasa Consumer Ltd.,Equity,0.13%
Treasury Bill (364D),Others,0.13%
Jupiter Life Line Hospitals Ltd.,Equity,0.12%
Alembic Pharmaceuticals Ltd.,Equity,0.10%
K P R Mill Ltd.,Equity,0.09%
Treasury Bill (364D),Others,0.08%
Aarti Pharmalabs Ltd,Equity,0.06%
Tata Technologies Ltd.,Equity,0.05%
Motherson Sumi Wiring India Ltd.,Equity,0.05%
Doms Industries Ltd.,Equity,0.04%
Inox India Ltd.,Equity,0.03%
Happy Forgings Ltd.,Equity,0.02%
SBFC Finance Ltd.,Equity,0.01%
Netweb Technologies India Ltd.,Equity,0.01%
V-Guard Industries Ltd.,Equity,0.01%
Suprajit Engineering Ltd.,Equity,0.00%
Sundram Fasteners Ltd.,Equity,0.00%
Net Receivables/(Payable),Others,-1.85%
