Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,8.62%
REC Ltd.,Equity,2.25%
Arvind Ltd.,Equity,2.20%
Apar Industries Ltd.,Equity,2.12%
Cholamandalam Financial Holdings Ltd.,Equity,1.93%
Power Finance Corporation Ltd.,Equity,1.73%
Manappuram Finance Ltd.,Equity,1.67%
Shaily Engineering Plastics Ltd.,Equity,1.54%
eClerx Services Ltd.,Equity,1.52%
TVS Holdings Ltd.,Equity,1.43%
Kirloskar Ferrous Industries Ltd.,Equity,1.35%
Nitin Spinners Ltd.,Equity,1.33%
Radico Khaitan Ltd.,Equity,1.23%
Computer Age Management Services Ltd.,Equity,1.20%
Motilal Oswal Financial Services Ltd.,Equity,1.14%
PNB Housing Finance Ltd.,Equity,1.13%
Karnataka Bank Ltd.,Equity,1.11%
Angel One Ltd. (Erstwhile Angel Broking Ltd.),Equity,1.11%
Birlasoft Ltd.,Equity,1.07%
Cyient Ltd.,Equity,1.06%
Godrej Industries Ltd.,Equity,1.04%
Info Edge (India) Ltd.,Equity,1.04%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,1.03%
NLC India Ltd.,Equity,1.01%
Senco Gold Ltd.,Equity,1.00%
Triveni Engineering & Industries Ltd.,Equity,0.98%
JK Lakshmi Cement Ltd.,Equity,0.97%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.95%
Jindal Stainless Ltd.,Equity,0.94%
Mayur Uniquoters Ltd.,Equity,0.92%
Multi Commodity Exchange of India Ltd.,Equity,0.91%
Kolte Patil Developers Ltd.,Equity,0.90%
Quess Corp Ltd.,Equity,0.89%
Oil India Ltd.,Equity,0.89%
The Great Eastern Shipping Company Ltd.,Equity,0.87%
Updater Services Ltd.,Equity,0.85%
Wheels India Ltd.,Equity,0.81%
Piramal Pharma Ltd.,Equity,0.80%
Sobha Ltd.,Equity,0.80%
RHI Magnesita India Ltd.,Equity,0.79%
Hindustan Petroleum Corporation Ltd.,Equity,0.77%
Abbott India Ltd.,Equity,0.77%
Fedbank Financial Services Ltd.,Equity,0.75%
Grasim Industries Ltd.,Equity,0.74%
Greenply Industries Ltd.,Equity,0.72%
Zomato Ltd.,Equity,0.72%
Coal India Ltd.,Equity,0.71%
Bank Of India,Equity,0.71%
BSE Ltd.,Equity,0.70%
VRL Logistics Ltd.,Equity,0.69%
Signatureglobal (India) Ltd.,Equity,0.68%
Satin Creditcare Network Ltd.,Equity,0.67%
MOIL Ltd.,Equity,0.67%
Bharat Dynamics Ltd.,Equity,0.67%
Kaynes Technology India Pvt. Ltd.,Equity,0.66%
Lumax Auto Technologies Ltd.,Equity,0.64%
Zee Entertainment Enterprises Ltd.,Equity,0.64%
Alicon Castalloy Ltd.,Equity,0.63%
Godawari Power & Ispat Ltd.,Equity,0.63%
Carborundum Universal Ltd.,Equity,0.62%
Exide Industries Ltd.,Equity,0.62%
DCB Bank Ltd.,Equity,0.61%
Kirloskar Brothers Ltd.,Equity,0.61%
National Aluminium Company Ltd.,Equity,0.61%
Vishnu Chemicals Ltd.,Equity,0.60%
Graphite India Ltd.,Equity,0.60%
Ujjivan Financial Services Ltd.,Equity,0.59%
Chemplast Sanmar Ltd.,Equity,0.56%
Century Textiles & Industries Ltd.,Equity,0.56%
Suven Pharmaceuticals Ltd.,Equity,0.56%
Indian Bank,Equity,0.55%
Neuland Laboratories Ltd.,Equity,0.54%
