Company Name,Asset Type,Percentage Allocation
Cyient Ltd.,Equity,5.59%
Triparty Repo,Others,5.45%
eClerx Services Ltd.,Equity,2.96%
Suprajit Engineering Ltd.,Equity,2.80%
IPCA Laboratories Ltd.,Equity,2.68%
Ratnamani Metals & Tubes Ltd.,Equity,2.60%
Triveni Engineering & Industries Ltd.,Equity,2.55%
Jubilant Ingrevia Ltd.,Equity,2.40%
Welspun Corporation Ltd.,Equity,2.39%
Nilkamal Ltd.,Equity,2.14%
Engineers India Ltd.,Equity,2.09%
Prince Pipes & Fittings Ltd.,Equity,2.03%
Techno Electric & Engineering Company Ltd.,Equity,2.00%
Voltamp Transformers Ltd.,Equity,1.90%
Atul Ltd.,Equity,1.84%
Dodla Dairy Ltd.,Equity,1.82%
La Opala RG Ltd.,Equity,1.75%
Safari Industries (India) Ltd.,Equity,1.73%
Narayana Hrudayalaya Ltd.,Equity,1.60%
LT Foods Ltd.,Equity,1.59%
Westlife Foodworld Ltd.,Equity,1.57%
Dhanuka Agritech Ltd.,Equity,1.50%
Swaraj Engines Ltd.,Equity,1.49%
Thangamayil Jewellery Ltd.,Equity,1.48%
Kirloskar Oil Engines Ltd.,Equity,1.39%
Aarti Drugs Ltd.,Equity,1.38%
Kalyani Steels Ltd.,Equity,1.35%
Prudent Corporate Advisory Services Ltd.,Equity,1.31%
DCB Bank Ltd.,Equity,1.29%
Kajaria Ceramics Ltd.,Equity,1.29%
Moldtek Packaging Ltd.,Equity,1.29%
Vardhman Textiles Ltd.,Equity,1.28%
Lumax Auto Technologies Ltd.,Equity,1.25%
Sharda Cropchem Ltd.,Equity,1.20%
Paradeep Phosphates Ltd.,Equity,1.19%
Rolex Rings Ltd.,Equity,1.19%
Sheela Foam Ltd.,Equity,1.12%
Archean Chemical Industries Ltd.,Equity,1.10%
Rainbow Childrens Medicare Ltd.,Equity,1.10%
Heritage Foods Ltd.,Equity,1.09%
Greenlam Industries Ltd.,Equity,1.08%
Ghcl Ltd.,Equity,1.06%
TTK Prestige Ltd.,Equity,1.03%
Equitas Small Finance Bank Ltd.,Equity,1.01%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),Equity,0.98%
S.P. Apparels Ltd.,Equity,0.97%
Manappuram Finance Ltd.,Equity,0.96%
HLE Glascoat Ltd.,Equity,0.96%
Shoppers Stop Ltd.,Equity,0.94%
TCPL Packaging Ltd.,Equity,0.91%
Graphite India Ltd.,Equity,0.89%
Just Dial Ltd.,Equity,0.89%
Sandhar Technologies Ltd.,Equity,0.86%
APL Apollo Tubes Ltd.,Equity,0.85%
VST Industries Ltd.,Equity,0.83%
K P R Mill Ltd.,Equity,0.82%
Anand Rathi Wealth Ltd.,Equity,0.81%
Chambal Fertilisers & Chemicals Ltd.,Equity,0.81%
Finolex Industries Ltd.,Equity,0.79%
Apar Industries Ltd.,Equity,0.73%
Hindware Home Innovation Ltd.,Equity,0.72%
KNR Constructions Ltd.,Equity,0.67%
Amrutanjan Health Care Ltd.,Equity,0.65%
Amber Enterprises India Ltd.,Equity,0.64%
Century Plyboards Ltd.,Equity,0.62%
Alembic Pharmaceuticals Ltd.,Equity,0.49%
R R Kabel Ltd.,Equity,0.48%
IRM Energy Ltd.,Equity,0.44%
Happy Forgings Ltd.,Equity,0.39%
Borosil Ltd.,Equity,0.38%
GHCL TEXTILES LTD.,Equity,0.20%
Harsha Engineers International Ltd.,Equity,0.19%
Siyaram Silk Mills Ltd.,Equity,0.14%
Campus Activewear Ltd.,Equity,0.10%
Borosil Scientific Ltd.,Equity,0.09%
Net Receivables/(Payable),Others,-0.12%
