Company Name,Asset Type,Percentage Allocation
Cash,Others,6.49%
Equitas Small Finance Bank Ltd.,Equity,4.45%
Brigade Enterprises Ltd.,Equity,4.22%
Deepak Nitrite Ltd.,Equity,3.02%
Kalyan Jewellers India Ltd.,Equity,2.72%
Multi Commodity Exchange of India Ltd.,Equity,2.68%
KPIT Technologies Ltd.,Equity,2.49%
Jyothy Labs Ltd.,Equity,2.40%
Karur Vysya Bank Ltd.,Equity,2.28%
JB Chemicals & Pharmaceuticals Ltd.,Equity,2.26%
ICICI Bank Ltd.,Equity,1.98%
Cyient Ltd.,Equity,1.83%
Carborundum Universal Ltd.,Equity,1.77%
Sobha Ltd.,Equity,1.76%
JK Lakshmi Cement Ltd.,Equity,1.70%
Syrma SGS Technology Ltd.,Equity,1.62%
Ccl Products (India) Ltd.,Equity,1.62%
Ahluwalia Contracts Ltd.,Equity,1.56%
HDFC Bank Ltd.,Equity,1.55%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,1.53%
Tube Investments Of India Ltd.,Equity,1.51%
K P R Mill Ltd.,Equity,1.49%
Aster DM Healthcare Ltd.,Equity,1.48%
DCB Bank Ltd.,Equity,1.42%
Techno Electric & Engineering Company Ltd.,Equity,1.40%
Eris Lifesciences Ltd.,Equity,1.37%
Blue Star Ltd.,Equity,1.33%
Finolex Cables Ltd.,Equity,1.31%
Zensar Technologies Ltd.,Equity,1.25%
Kirloskar Oil Engines Ltd.,Equity,1.21%
Intellect Design Arena Ltd.,Equity,1.20%
KNR Constructions Ltd.,Equity,1.19%
Ion Exchange (India) Ltd.,Equity,1.19%
Exide Industries Ltd.,Equity,1.15%
Chemplast Sanmar Ltd.,Equity,1.11%
Teamlease Services Ltd.,Equity,1.06%
Metropolis Healthcare Ltd.,Equity,1.05%
Gateway Distriparks Ltd.,Equity,1.04%
Nesco Ltd.,Equity,1.01%
Quess Corp Ltd.,Equity,1.00%
Lemon Tree Hotels Ltd.,Equity,0.99%
Mrs Bectors Food Specialities Ltd.,Equity,0.97%
Sapphire Foods India Ltd.,Equity,0.97%
Westlife Foodworld Ltd.,Equity,0.96%
Finolex Industries Ltd.,Equity,0.94%
Gujarat State Petronet Ltd.,Equity,0.94%
City Union Bank Ltd.,Equity,0.88%
Cholamandalam Financial Holdings Ltd.,Equity,0.87%
Praj Industries Ltd.,Equity,0.86%
Data Patterns (India) Ltd.,Equity,0.81%
Ujjivan Small Finance Bank Ltd.,Equity,0.81%
Ghcl Ltd.,Equity,0.74%
VIP Industries Ltd.,Equity,0.70%
Shankara Building Products Ltd.,Equity,0.67%
Tega Industries Ltd.,Equity,0.67%
Birlasoft Ltd.,Equity,0.66%
MTAR Technologies Ltd.,Equity,0.61%
S.J.S. Enterprises Ltd.,Equity,0.60%
Apollo Pipes Ltd.,Equity,0.55%
TTK Prestige Ltd.,Equity,0.53%
Hindustan Petroleum Corporation Ltd.,Equity,0.52%
Elecon Engineering Company Ltd.,Equity,0.52%
Anand Rathi Wealth Ltd.,Equity,0.50%
PB Fintech Ltd.,Equity,0.49%
Kirloskar Pneumatic Company Ltd.,Equity,0.48%
Pricol Ltd.,Equity,0.48%
Indoco Remedies Ltd.,Equity,0.47%
Titagarh Railsystems Ltd.,Equity,0.47%
TV Today Network Ltd.,Equity,0.46%
Fusion Micro Finance Ltd.,Equity,0.46%
Hitachi Energy India Ltd.,Equity,0.42%
Vishnu Chemicals Ltd.,Equity,0.36%
Affle (India) Ltd.,Equity,0.35%
Amara Raja Batteries Ltd.,Equity,0.34%
NCC Ltd.,Equity,0.33%
First Source Solutions Ltd.,Equity,0.32%
Concord Biotech Ltd.,Equity,0.30%
MM Forgings Ltd.,Equity,0.27%
Symphony Ltd.,Equity,0.22%
Treasury Bill (91D),Others,0.22%
Global Health Ltd.,Equity,0.20%
Tracxn Technologies Ltd.,Equity,0.19%
Music Broadcast Ltd.,Equity,0.16%
Gulf Oil Lubricants India Ltd.,Equity,0.16%
S.P. Apparels Ltd.,Equity,0.15%
TVS Supply Chain Solutions Ltd.,Equity,0.15%
Kirloskar Brothers Ltd.,Equity,0.14%
SBFC Finance Ltd.,Equity,0.14%
Campus Activewear Ltd.,Equity,0.13%
Updater Services Ltd.,Equity,0.11%
Indiamart Intermesh Ltd.,Equity,0.10%
