Company Name,Asset Type,Percentage Allocation
K P R Mill Ltd.,Equity,3.36%
Apar Industries Ltd.,Equity,3.11%
Sonata Software Ltd.,Equity,2.60%
KPIT Technologies Ltd.,Equity,2.56%
Ratnamani Metals & Tubes Ltd.,Equity,2.54%
Brigade Enterprises Ltd.,Equity,2.42%
Birlasoft Ltd.,Equity,2.26%
KEI Industries Ltd.,Equity,2.22%
Cera Sanitaryware Ltd.,Equity,2.04%
Triparty Repo,Others,1.99%
Maharashtra Seamless Ltd.,Equity,1.98%
EIH Ltd.,Equity,1.86%
APL Apollo Tubes Ltd.,Equity,1.84%
RHI Magnesita India Ltd.,Equity,1.81%
Carborundum Universal Ltd.,Equity,1.80%
Polycab India Ltd.,Equity,1.80%
Mahindra Lifespace Developers Ltd.,Equity,1.75%
Gokaldas Exports Ltd.,Equity,1.74%
Grindwell Norton Ltd.,Equity,1.67%
Tube Investments Of India Ltd.,Equity,1.61%
JK Lakshmi Cement Ltd.,Equity,1.57%
Krishna Institute of Medical Sciences Ltd.,Equity,1.54%
Finolex Industries Ltd.,Equity,1.50%
Finolex Cables Ltd.,Equity,1.50%
Supreme Petrochem Ltd.,Equity,1.50%
IIFL Finance Ltd. (Erstwhile India Infoline Finance Limited),Equity,1.48%
Techno Electric & Engineering Company Ltd.,Equity,1.43%
Trent Ltd.,Equity,1.41%
Indian Bank,Equity,1.34%
Century Textiles & Industries Ltd.,Equity,1.27%
Karur Vysya Bank Ltd.,Equity,1.20%
Welspun India Ltd.,Equity,1.18%
Suven Pharmaceuticals Ltd.,Equity,1.17%
VRL Logistics Ltd.,Equity,1.17%
KEC International Ltd.,Equity,1.16%
Lakshmi Machine Works Ltd.,Equity,1.12%
H.G. Infra Engineering Ltd.,Equity,1.08%
Persistent Systems Ltd.,Equity,1.04%
NCC Ltd.,Equity,1.02%
Apollo Pipes Ltd.,Equity,1.01%
Sobha Ltd.,Equity,1.01%
Amber Enterprises India Ltd.,Equity,1.00%
GMM Pfaudler Ltd.,Equity,0.97%
Canfin Homes Ltd.,Equity,0.97%
E.I.D. Parry India Ltd.,Equity,0.96%
Dixon Technologies (India) Ltd.,Equity,0.95%
Aegis Logistics Ltd.,Equity,0.93%
Jamna Auto Industries Ltd.,Equity,0.89%
Kajaria Ceramics Ltd.,Equity,0.88%
Sunteck Realty Ltd.,Equity,0.86%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.82%
Somany Ceramics Ltd.,Equity,0.80%
Lemon Tree Hotels Ltd.,Equity,0.79%
The Federal Bank Ltd.,Equity,0.76%
Ccl Products (India) Ltd.,Equity,0.75%
The Supreme Industries Ltd.,Equity,0.75%
Concord Biotech Ltd.,Equity,0.75%
The Ramco Cements Ltd.,Equity,0.75%
Timken India Ltd.,Equity,0.74%
Balrampur Chini Mills Ltd.,Equity,0.72%
Rolex Rings Ltd.,Equity,0.71%
Jindal Saw Ltd.,Equity,0.71%
UNO Minda Ltd.,Equity,0.70%
PNC Infratech Ltd.,Equity,0.70%
Sumitomo Chemical India Ltd.,Equity,0.67%
Jyothy Labs Ltd.,Equity,0.65%
eClerx Services Ltd.,Equity,0.60%
Kirloskar Pneumatic Company Ltd.,Equity,0.59%
Asahi India Glass Ltd.,Equity,0.58%
Motherson Sumi Wiring India Ltd.,Equity,0.55%
MM Forgings Ltd.,Equity,0.52%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,0.51%
Prudent Corporate Advisory Services Ltd.,Equity,0.50%
Century Plyboards Ltd.,Equity,0.50%
City Union Bank Ltd.,Equity,0.50%
Isgec Heavy Engineering Ltd.,Equity,0.45%
Sterling Tools Ltd.,Equity,0.45%
Alkyl Amines Chemicals Ltd.,Equity,0.42%
VST Tillers Tractors Ltd.,Equity,0.41%
Cholamandalam Financial Holdings Ltd.,Equity,0.41%
Nitin Spinners Ltd.,Equity,0.37%
Electronics Mart India Ltd.,Equity,0.35%
Greenply Industries Ltd.,Equity,0.35%
Fine Organic Industries Ltd.,Equity,0.29%
Gujarat Fluorochemicals Ltd.,Equity,0.28%
Rainbow Childrens Medicare Ltd.,Equity,0.27%
IDEAForge Technology Ltd.,Equity,0.27%
Emami Paper Mills Ltd.,Equity,0.26%
SAI Silks (Kalamandir) Ltd.,Equity,0.23%
NIIT Learning Systems Ltd.,Equity,0.21%
Wim Plast Ltd.,Equity,0.21%
Sundaram Finance Ltd.,Equity,0.20%
Orient Paper & Industries Ltd.,Equity,0.19%
Radico Khaitan Ltd.,Equity,0.14%
Tata Technologies Ltd.,Equity,0.03%
Current Assets,Others,-0.54%
