Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,11.76%
Cyient Ltd.,Equity,3.37%
Rolex Rings Ltd.,Equity,3.01%
Brigade Enterprises Ltd.,Equity,2.44%
Vijaya Diagnostic Centre Ltd.,Equity,2.27%
Cummins India Ltd.,Equity,2.20%
EPL Ltd. (Erstwhile Essel Propack Ltd.),Equity,2.18%
Krishna Institute of Medical Sciences Ltd.,Equity,2.04%
Ultratech Cement Ltd.,Equity,2.00%
Bharat Forge Ltd.,Equity,1.93%
Larsen & Toubro Ltd.,Equity,1.92%
PNC Infratech Ltd.,Equity,1.83%
Kalpataru Projects International Ltd.,Equity,1.79%
Gateway Distriparks Ltd.,Equity,1.77%
Arvind Fashions Ltd.,Equity,1.72%
Ccl Products (India) Ltd.,Equity,1.67%
V-Mart Retail Ltd.,Equity,1.64%
Orient Electric Ltd.,Equity,1.56%
Mahindra Lifespace Developers Ltd.,Equity,1.55%
Jyothy Labs Ltd.,Equity,1.53%
Sapphire Foods India Ltd.,Equity,1.52%
Moldtek Packaging Ltd.,Equity,1.48%
Cholamandalam Financial Holdings Ltd.,Equity,1.46%
Minda Corporation Ltd.,Equity,1.43%
Birla Corporation Ltd.,Equity,1.37%
Syngene International Ltd.,Equity,1.36%
Td Power Systems Ltd.,Equity,1.31%
Schaeffler India Ltd.,Equity,1.28%
Jamna Auto Industries Ltd.,Equity,1.28%
Sansera Engineering Ltd.,Equity,1.25%
Cyient DLM Ltd.,Equity,1.24%
CMS Info Systems Ltd.,Equity,1.21%
VRL Logistics Ltd.,Equity,1.16%
Sagar Cements Ltd.,Equity,1.09%
Sudarshan Chemical Industries Ltd.,Equity,1.09%
VST Tillers Tractors Ltd.,Equity,1.07%
Indoco Remedies Ltd.,Equity,1.05%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.02%
S.J.S. Enterprises Ltd.,Equity,1.01%
Sundram Fasteners Ltd.,Equity,1.00%
Divgi Torq Transfer Systems Pvt Ltd,Equity,0.98%
ICICI Bank Ltd.,Equity,0.92%
Aster DM Healthcare Ltd.,Equity,0.90%
FDC Ltd.,Equity,0.90%
Camlin Fine Sciences Ltd.,Equity,0.88%
Astec Lifesciences Ltd.,Equity,0.82%
Nuvoco Vistas Corporation Ltd.,Equity,0.81%
EIH Ltd.,Equity,0.79%
Tatva Chintan Pharma Chem Ltd.,Equity,0.77%
Multi Commodity Exchange of India Ltd.,Equity,0.77%
Carborundum Universal Ltd.,Equity,0.73%
Bharti Airtel Ltd.,Equity,0.71%
Windlas Biotech Ltd.,Equity,0.69%
Birlasoft Ltd.,Equity,0.69%
Finolex Cables Ltd.,Equity,0.68%
JK Lakshmi Cement Ltd.,Equity,0.67%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,0.65%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,0.65%
Maruti Suzuki India Ltd.,Equity,0.62%
Equitas Small Finance Bank Ltd.,Equity,0.62%
Mangalore Refinery & Petrochemicals Ltd.,Equity,0.56%
Treasury Bill (364D),Others,0.53%
Tracxn Technologies Ltd.,Equity,0.52%
First Source Solutions Ltd.,Equity,0.50%
Gujarat Gas Ltd.,Equity,0.49%
Tech Mahindra Ltd.,Equity,0.48%
Oil India Ltd.,Equity,0.47%
Atul Ltd.,Equity,0.47%
Timken India Ltd.,Equity,0.46%
Gujarat Pipavav Port Ltd.,Equity,0.45%
DCB Bank Ltd.,Equity,0.44%
S.P. Apparels Ltd.,Equity,0.40%
Matrimony.Com Ltd.,Equity,0.38%
Tamil Nadu Newsprint & Papers Ltd.,Equity,0.37%
Teamlease Services Ltd.,Equity,0.37%
UNO Minda Ltd.,Equity,0.36%
KEI Industries Ltd.,Equity,0.33%
Supreme Petrochem Ltd.,Equity,0.28%
CIE Automotive India Ltd.,Equity,0.28%
Barbeque Nation Hospitality Ltd.,Equity,0.24%
BASF India Ltd.,Equity,0.22%
Go Fashion (India) Ltd.,Equity,0.22%
Andhra Paper Ltd.,Equity,0.21%
Galaxy Surfactants Ltd.,Equity,0.16%
Heidelberg Cement India Ltd.,Equity,0.13%
Nippon Life India Asset Management Ltd.,Equity,0.10%
Grindwell Norton Ltd.,Equity,0.10%
Godrej Agrovet Ltd.,Equity,0.09%
Universal Cables Ltd.,Equity,0.09%
Krsnaa Diagnostics Ltd.,Equity,0.07%
Aarti Industries Ltd.,Equity,0.05%
Cash Margin,Debt,0.05%
TVS Holdings Ltd.,Equity,0.04%
Nesco Ltd.,Equity,0.04%
Current Assets,Others,-0.08%
