Company Name,Asset Type,Percentage Allocation
Net Receivables/(Payable),Others,2.97%
Jindal Stainless Ltd.,Equity,2.52%
Triparty Repo,Others,2.12%
KPIT Technologies Ltd.,Equity,2.05%
NCC Ltd.,Equity,1.77%
Kirloskar Oil Engines Ltd.,Equity,1.64%
Canara Bank,Equity,1.54%
Cyient Ltd.,Equity,1.51%
Welspun Corporation Ltd.,Equity,1.46%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,1.46%
Arvind Ltd.,Equity,1.43%
BSE Ltd.,Equity,1.42%
Inox Wind Ltd.,Equity,1.40%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.39%
ITC Ltd.,Equity,1.37%
Brigade Enterprises Ltd.,Equity,1.35%
Praj Industries Ltd.,Equity,1.33%
Wonderla Holidays Ltd.,Equity,1.31%
Kaynes Technology India Pvt. Ltd.,Equity,1.28%
Bharat Dynamics Ltd.,Equity,1.27%
Central Depository Services (India) Ltd.,Equity,1.27%
NLC India Ltd.,Equity,1.26%
Titagarh Railsystems Ltd.,Equity,1.26%
CreditAccess Grameen Ltd.,Equity,1.25%
Birlasoft Ltd.,Equity,1.24%
Exide Industries Ltd.,Equity,1.23%
Indusind Bank Ltd.,Equity,1.22%
IDFC Ltd.,Equity,1.19%
PNC Infratech Ltd.,Equity,1.19%
Sun Pharmaceuticals Ind Ltd.,Equity,1.17%
KSB Ltd.,Equity,1.16%
Radico Khaitan Ltd.,Equity,1.15%
Ingersoll-Rand  Ltd.,Equity,1.15%
Zomato Ltd.,Equity,1.14%
Multi Commodity Exchange of India Ltd.,Equity,1.13%
Suven Pharmaceuticals Ltd.,Equity,1.12%
Suzlon Energy Ltd.,Equity,1.11%
REC Ltd.,Equity,1.09%
PG Electroplast Ltd.,Equity,1.07%
Solar Industries India Ltd.,Equity,1.07%
Mazagon Dock Shipbuilders Ltd.,Equity,1.06%
J. K. Cement Ltd.,Equity,1.05%
Balrampur Chini Mills Ltd.,Equity,1.04%
Dalmia Bharat Ltd.,Equity,1.04%
Century Textiles & Industries Ltd.,Equity,1.03%
Mankind Pharma Ltd.,Equity,1.03%
Karur Vysya Bank Ltd.,Equity,1.03%
Global Health Ltd.,Equity,1.03%
Blue Star Ltd.,Equity,1.03%
Union Bank Of India,Equity,1.01%
PI Industries Ltd.,Equity,1.01%
Rajratan Global Wire Ltd.,Equity,1.01%
Bank Of Maharashtra,Equity,1.01%
Ganesha Ecosphere Ltd.,Equity,1.00%
RBL Bank Ltd.,Equity,1.00%
Gujarat Fluorochemicals Ltd.,Equity,1.00%
The Federal Bank Ltd.,Equity,0.98%
Maruti Suzuki India Ltd.,Equity,0.98%
Dixon Technologies (India) Ltd.,Equity,0.98%
HI TECH PIPES LTD.,Equity,0.98%
Tata Coffee Ltd.,Equity,0.98%
Sundram Fasteners Ltd.,Equity,0.97%
APL Apollo Tubes Ltd.,Equity,0.96%
Karnataka Bank Ltd.,Equity,0.95%
Taj G V K Hotels & Resorts Ltd.,Equity,0.94%
Westlife Foodworld Ltd.,Equity,0.93%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,0.93%
Aster DM Healthcare Ltd.,Equity,0.93%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.93%
Computer Age Management Services Ltd.,Equity,0.93%
Vishnu Chemicals Ltd.,Equity,0.93%
Blue Dart Express Ltd.,Equity,0.93%
DCB Bank Ltd.,Equity,0.92%
Route Mobile Ltd.,Equity,0.92%
Timken India Ltd.,Equity,0.90%
Ujjivan Financial Services Ltd.,Equity,0.89%
VRL Logistics Ltd.,Equity,0.89%
Ami Organics Ltd.,Equity,0.88%
Kajaria Ceramics Ltd.,Equity,0.88%
Kirloskar Pneumatic Company Ltd.,Equity,0.88%
Home First Finance Company India Ltd.,Equity,0.87%
Carborundum Universal Ltd.,Equity,0.87%
Equitas Small Finance Bank Ltd.,Equity,0.85%
NMDC Ltd.,Equity,0.84%
MRF Ltd.,Equity,0.79%
Apar Industries Ltd.,Equity,0.78%
Mayur Uniquoters Ltd.,Equity,0.70%
La Opala RG Ltd.,Equity,0.67%
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),Equity,0.55%
Raymond Ltd.,Equity,0.55%
REC Ltd.,Equity,0.37%
ITI Mutual Fund (ITI Dynamic Bond Fund - Direct - Growth),Debt,0.24%
ITI Mutual Fund (ITI Banking & PSU Debt Fund - Direct - Growth),Debt,0.18%
Tata Technologies Ltd.,Equity,0.01%
Derivative,Others,-3.07%
