Company Name,Asset Type,Percentage Allocation
Garware Hi-Tech Films Ltd.,Equity,4.79%
BSE Ltd.,Equity,4.07%
Triparty Repo,Others,3.91%
Kennametal India Ltd.,Equity,3.49%
Grindwell Norton Ltd.,Equity,3.47%
KEI Industries Ltd.,Equity,3.31%
Kirloskar Oil Engines Ltd.,Equity,2.91%
KSB Ltd.,Equity,2.55%
Lemon Tree Hotels Ltd.,Equity,2.54%
Blue Star Ltd.,Equity,2.42%
Hitachi Energy India Ltd.,Equity,2.36%
Ratnamani Metals & Tubes Ltd.,Equity,2.35%
Carborundum Universal Ltd.,Equity,2.29%
Avalon Technologies Ltd,Equity,2.24%
Td Power Systems Ltd.,Equity,2.17%
Texmaco Rail & Engineering Ltd.,Equity,2.11%
Elgi Equipments Ltd.,Equity,2.06%
Timken India Ltd.,Equity,1.93%
Bharat Bijlee Ltd.,Equity,1.86%
Carysil Ltd.,Equity,1.78%
Greenpanel Industries Ltd.,Equity,1.78%
Huhtamaki India Ltd.,Equity,1.71%
Galaxy Surfactants Ltd.,Equity,1.70%
DCB Bank Ltd.,Equity,1.68%
Global Health Ltd.,Equity,1.66%
Sanofi India Ltd.,Equity,1.66%
Mahanagar Gas Ltd.,Equity,1.59%
Birlasoft Ltd.,Equity,1.59%
Bajaj Electricals Ltd.,Equity,1.58%
Divgi Torq Transfer Systems Pvt Ltd,Equity,1.52%
Century Plyboards Ltd.,Equity,1.50%
Navin Fluorine International Ltd.,Equity,1.48%
Equitas Small Finance Bank Ltd.,Equity,1.46%
Deepak Nitrite Ltd.,Equity,1.43%
CIE Automotive India Ltd.,Equity,1.43%
E.I.D. Parry India Ltd.,Equity,1.42%
Cera Sanitaryware Ltd.,Equity,1.41%
Piramal Pharma Ltd.,Equity,1.37%
Metropolis Healthcare Ltd.,Equity,1.34%
Campus Activewear Ltd.,Equity,1.34%
Bank Of Baroda,Equity,1.28%
Hindware Home Innovation Ltd.,Equity,1.23%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,1.15%
Sheela Foam Ltd.,Equity,1.12%
Cyient Ltd.,Equity,1.10%
PNC Infratech Ltd.,Equity,1.07%
Zaggle Prepaid Ocean Services Ltd.,Equity,1.04%
Artemis Medicare Services Ltd.,Equity,1.03%
Orient Electric Ltd.,Equity,0.92%
Birla Corporation Ltd.,Equity,0.87%
GMM Pfaudler Ltd.,Equity,0.85%
Protean Egov Technologies Ltd.,Equity,0.83%
Bajaj Consumer Care Ltd.,Equity,0.77%
S.P. Apparels Ltd.,Equity,0.70%
Bikaji Foods International Ltd.,Equity,0.60%
Shoppers Stop Ltd.,Equity,0.54%
Bajel Projects Limited (BPL),Equity,0.12%
Indian Renewable Energy Development Agency (Ireda),Equity,0.05%
Net Receivables/(Payable),Others,-0.49%
