Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,3.76%
Tube Investments Of India Ltd.,Equity,2.68%
HDFC Bank Ltd.,Equity,1.84%
KPIT Technologies Ltd.,Equity,1.74%
Apar Industries Ltd.,Equity,1.52%
Bharat Heavy Electricals Ltd.,Equity,1.51%
Multi Commodity Exchange of India Ltd.,Equity,1.44%
CreditAccess Grameen Ltd.,Equity,1.40%
Karur Vysya Bank Ltd.,Equity,1.20%
Elantas Beck India Ltd.,Equity,1.17%
Voltamp Transformers Ltd.,Equity,1.17%
Cyient Ltd.,Equity,1.17%
Hindustan Aeronautics Ltd.,Equity,1.16%
Tejas Networks Ltd.,Equity,1.12%
NIIT Learning Systems Ltd.,Equity,1.09%
Larsen & Toubro Ltd.,Equity,1.08%
Balrampur Chini Mills Ltd.,Equity,1.07%
eClerx Services Ltd.,Equity,1.07%
Interglobe Aviation Ltd.,Equity,1.07%
Kirloskar Brothers Ltd.,Equity,1.05%
Jyothy Labs Ltd.,Equity,1.04%
Ion Exchange (India) Ltd.,Equity,1.02%
Gokaldas Exports Ltd.,Equity,0.98%
Ajanta Pharma Ltd.,Equity,0.97%
Carborundum Universal Ltd.,Equity,0.95%
Pfizer Ltd.,Equity,0.94%
Central Depository Services (India) Ltd.,Equity,0.93%
Rategain Travel Technologies Ltd.,Equity,0.90%
K P R Mill Ltd.,Equity,0.90%
Jio Financial Services Ltd.,Equity,0.89%
Birla Corporation Ltd.,Equity,0.88%
Praj Industries Ltd.,Equity,0.85%
Zydus Wellness Ltd.,Equity,0.84%
Radico Khaitan Ltd.,Equity,0.82%
Timken India Ltd.,Equity,0.81%
CIE Automotive India Ltd.,Equity,0.81%
State Bank Of India,Equity,0.81%
Vardhman Textiles Ltd.,Equity,0.77%
Td Power Systems Ltd.,Equity,0.76%
Procter & Gamble Health Ltd.,Equity,0.75%
Bajaj Electricals Ltd.,Equity,0.74%
Dixon Technologies (India) Ltd.,Equity,0.74%
Linde India Ltd.,Equity,0.73%
Gland Pharma Ltd.,Equity,0.73%
Astrazeneca Pharma India Ltd.,Equity,0.73%
Fusion Micro Finance Ltd.,Equity,0.73%
Fine Organic Industries Ltd.,Equity,0.73%
Finolex Cables Ltd.,Equity,0.71%
Tata Consumer Products Ltd.,Equity,0.71%
Affle (India) Ltd.,Equity,0.70%
