Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,58.43%
Net Receivables/(Payable),Others,4.08%
Equitas Small Finance Bank Ltd.,Equity,2.41%
Birlasoft Ltd.,Equity,2.22%
Crompton Greaves Consumer Electrcials Ltd.,Equity,2.19%
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),Equity,2.16%
Gujarat State Petronet Ltd.,Equity,2.11%
Karur Vysya Bank Ltd.,Equity,2.02%
Ujjivan Financial Services Ltd.,Equity,1.97%
Teamlease Services Ltd.,Equity,1.97%
Nuvoco Vistas Corporation Ltd.,Equity,1.96%
CMS Info Systems Ltd.,Equity,1.85%
IDFC Ltd.,Equity,1.85%
Canfin Homes Ltd.,Equity,1.83%
Sansera Engineering Ltd.,Equity,1.75%
Mastek Ltd.,Equity,1.71%
Carysil Ltd.,Equity,1.68%
PVR INOX Ltd.,Equity,1.44%
UTI Asset Management Company Ltd.,Equity,1.42%
Genus Power Infrastructures Ltd.,Equity,1.26%
Ccl Products (India) Ltd.,Equity,1.25%
Cyient Ltd.,Equity,1.19%
MPS Ltd.,Equity,0.78%
Indian Renewable Energy Development Agency (Ireda),Equity,0.47%
