Company Name,Asset Type,Percentage Allocation
Triparty Repo,Others,15.73%
Nifty,Equity,9.74%
Blue Star Ltd.,Equity,4.11%
SBFC Finance Ltd.,Equity,2.75%
CMS Info Systems Ltd.,Equity,2.65%
Kalpataru Projects International Ltd.,Equity,2.61%
Carborundum Universal Ltd.,Equity,2.57%
Chalet Hotels Ltd.,Equity,2.50%
SJVN Ltd.,Equity,2.50%
Lemon Tree Hotels Ltd.,Equity,2.50%
Esab India Ltd.,Equity,2.33%
Elgi Equipments Ltd.,Equity,2.32%
Chemplast Sanmar Ltd.,Equity,2.26%
V-Guard Industries Ltd.,Equity,2.24%
Other Margin,Debt,2.18%
Finolex Industries Ltd.,Equity,2.11%
Krishna Institute of Medical Sciences Ltd.,Equity,2.11%
Vedant Fashions Pvt. Ltd.,Equity,2.10%
Triveni Turbine Ltd.,Equity,2.06%
Go Fashion (India) Ltd.,Equity,2.01%
TTK Prestige Ltd.,Equity,1.99%
CSB Bank Ltd. (Formerly The Catholic Syrian Bank Ltd.),Equity,1.86%
ZF Commercial Vehicle Control Systems India Ltd.,Equity,1.80%
PVR INOX Ltd.,Equity,1.78%
Westlife Foodworld Ltd.,Equity,1.73%
LIC Housing Finance Ltd.,Equity,1.65%
Ahluwalia Contracts Ltd.,Equity,1.61%
Sheela Foam Ltd.,Equity,1.58%
GE T&D India Ltd.,Equity,1.57%
City Union Bank Ltd.,Equity,1.53%
Hatsun Agro Product Ltd.,Equity,1.40%
Ratnamani Metals & Tubes Ltd.,Equity,1.39%
Grindwell Norton Ltd.,Equity,1.32%
Dodla Dairy Ltd.,Equity,1.31%
Fine Organic Industries Ltd.,Equity,1.29%
Brigade Enterprises Ltd.,Equity,1.22%
Rajratan Global Wire Ltd.,Equity,1.22%
G R Infraprojects Ltd.,Equity,1.22%
Hawkins Cooker Ltd.,Equity,1.20%
Navin Fluorine International Ltd.,Equity,1.13%
Archean Chemical Industries Ltd.,Equity,1.12%
Star Cement Ltd.,Equity,1.01%
VST Industries Ltd.,Equity,0.99%
KNR Constructions Ltd.,Equity,0.98%
Indian Energy Exchange Ltd.,Equity,0.96%
Relaxo Footwears Ltd.,Equity,0.72%
Thangamayil Jewellery Ltd.,Equity,0.69%
Divi Laboratories Ltd.,Equity,0.64%
Rossari Biotech Ltd.,Equity,0.64%
Anand Rathi Wealth Ltd.,Equity,0.63%
V-Mart Retail Ltd.,Equity,0.57%
Gujarat State Petronet Ltd.,Equity,0.56%
Nuvoco Vistas Corporation Ltd.,Equity,0.53%
Zydus Wellness Ltd.,Equity,0.38%
SAI Silks (Kalamandir) Ltd.,Equity,0.14%
Graphite India Ltd.,Equity,0.14%
Shreno Ltd.,Equity,0.07%
Net Receivables/(Payable),Others,-0.20%
Derivative,Others,-9.74%
