Company Name,Asset Type,Percentage Allocation
Current Assets,Others,3.62%
Brigade Enterprises Ltd.,Equity,2.58%
Karur Vysya Bank Ltd.,Equity,2.17%
CreditAccess Grameen Ltd.,Equity,2.07%
Carborundum Universal Ltd.,Equity,2.04%
Chalet Hotels Ltd.,Equity,2.04%
KPIT Technologies Ltd.,Equity,1.89%
Cera Sanitaryware Ltd.,Equity,1.84%
Cholamandalam Financial Holdings Ltd.,Equity,1.82%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,1.78%
Techno Electric & Engineering Company Ltd.,Equity,1.73%
Multi Commodity Exchange of India Ltd.,Equity,1.71%
Canfin Homes Ltd.,Equity,1.65%
Krishna Institute of Medical Sciences Ltd.,Equity,1.64%
Ratnamani Metals & Tubes Ltd.,Equity,1.60%
Suven Pharmaceuticals Ltd.,Equity,1.59%
Timken India Ltd.,Equity,1.57%
Coforge Ltd.,Equity,1.55%
Praj Industries Ltd.,Equity,1.55%
First Source Solutions Ltd.,Equity,1.53%
City Union Bank Ltd.,Equity,1.50%
Metro Brands Ltd.,Equity,1.48%
MTAR Technologies Ltd.,Equity,1.47%
APL Apollo Tubes Ltd.,Equity,1.46%
Persistent Systems Ltd.,Equity,1.44%
Indiamart Intermesh Ltd.,Equity,1.44%
eClerx Services Ltd.,Equity,1.37%
CIE Automotive India Ltd.,Equity,1.37%
Computer Age Management Services Ltd.,Equity,1.36%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.34%
Route Mobile Ltd.,Equity,1.30%
Eris Lifesciences Ltd.,Equity,1.28%
Equitas Small Finance Bank Ltd.,Equity,1.27%
Td Power Systems Ltd.,Equity,1.25%
Vardhman Textiles Ltd.,Equity,1.22%
Affle (India) Ltd.,Equity,1.22%
Greenpanel Industries Ltd.,Equity,1.19%
Dr Lal PathLabs Ltd.,Equity,1.14%
Sheela Foam Ltd.,Equity,1.11%
Teamlease Services Ltd.,Equity,1.10%
Suzlon Energy Ltd.,Equity,1.10%
J. K. Cement Ltd.,Equity,1.08%
Metropolis Healthcare Ltd.,Equity,1.08%
RHI Magnesita India Ltd.,Equity,1.05%
Tube Investments Of India Ltd.,Equity,1.05%
Narayana Hrudayalaya Ltd.,Equity,1.03%
Prince Pipes & Fittings Ltd.,Equity,1.03%
La Opala RG Ltd.,Equity,1.03%
Ashoka Buildcon Ltd.,Equity,1.01%
Subros Ltd.,Equity,1.00%
Navin Fluorine International Ltd.,Equity,1.00%
Isgec Heavy Engineering Ltd.,Equity,1.00%
Asahi India Glass Ltd.,Equity,0.99%
Avanti Feeds Ltd.,Equity,0.99%
VIP Industries Ltd.,Equity,0.95%
Kajaria Ceramics Ltd.,Equity,0.91%
Nesco Ltd.,Equity,0.86%
Rossari Biotech Ltd.,Equity,0.85%
Indoco Remedies Ltd.,Equity,0.85%
Ami Organics Ltd.,Equity,0.82%
Birlasoft Ltd.,Equity,0.82%
V-Mart Retail Ltd.,Equity,0.82%
Grindwell Norton Ltd.,Equity,0.80%
KFIN Technologies Ltd.,Equity,0.80%
Jamna Auto Industries Ltd.,Equity,0.77%
Escorts Kubota Ltd.,Equity,0.77%
KEC International Ltd.,Equity,0.75%
SAI Silks (Kalamandir) Ltd.,Equity,0.75%
Hawkins Cooker Ltd.,Equity,0.75%
Orchid Pharma Ltd.,Equity,0.73%
Whirlpool of India Ltd.,Equity,0.70%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,0.70%
DCB Bank Ltd.,Equity,0.68%
Borosil Renewables Ltd.,Equity,0.64%
Dixon Technologies (India) Ltd.,Equity,0.62%
TCI Express Ltd.,Equity,0.60%
Concord Biotech Ltd.,Equity,0.60%
Aarti Industries Ltd.,Equity,0.57%
Fine Organic Industries Ltd.,Equity,0.57%
Kewal Kiran Clothing Ltd.,Equity,0.56%
Mahindra Logistics Ltd.,Equity,0.55%
Johnson Controls - Hitachi Air Conditioning India Ltd.,Equity,0.52%
GMM Pfaudler Ltd.,Equity,0.48%
KNR Constructions Ltd.,Equity,0.42%
Treasury Bill (364D),Others,0.10%
CBLO(CCIL),Others,0.02%
