Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,6.61%
ICICI Bank Ltd.,Equity,5.78%
Sun Pharmaceuticals Ind Ltd.,Equity,4.83%
Reliance Industries Ltd.,Equity,4.79%
Infosys Ltd.,Equity,4.72%
Larsen & Toubro Ltd.,Equity,4.21%
Nippon India Mutual Fund (CPSE ETF),Equity,4.10%
HCL Technologies Ltd.,Equity,3.54%
Bajaj Finance Ltd.,Equity,3.19%
Bharti Airtel Ltd.,Equity,3.16%
Ultratech Cement Ltd.,Equity,2.98%
CMS Info Systems Ltd.,Equity,2.96%
Apollo Hospitals Enterprise Ltd.,Equity,2.83%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,2.78%
Mahindra & Mahindra Ltd.,Equity,2.51%
State Bank Of India,Equity,2.28%
Bharat Forge Ltd.,Equity,2.23%
United Spirits Ltd.,Equity,2.20%
Kajaria Ceramics Ltd.,Equity,2.18%
Axis Bank Ltd.,Equity,2.13%
Ltimindtree Ltd.,Equity,1.96%
DLF Ltd.,Equity,1.94%
Radico Khaitan Ltd.,Equity,1.82%
Whirlpool of India Ltd.,Equity,1.77%
AIA Engineering Ltd.,Equity,1.64%
CIE Automotive India Ltd.,Equity,1.51%
Britannia Industries Ltd.,Equity,1.38%
Grasim Industries Ltd.,Equity,1.38%
Heritage Foods Ltd.,Equity,1.37%
CBLO(CCIL),Others,1.32%
Other Margin,Debt,1.29%
GMM Pfaudler Ltd.,Equity,1.22%
Bharat Electronics Ltd.,Equity,1.19%
Happy Forgings Ltd.,Equity,1.17%
Manappuram Finance Ltd.,Equity,1.08%
Aarti Industries Ltd.,Equity,1.05%
Schaeffler India Ltd.,Equity,1.03%
National Thermal Power Corporation Ltd.,Equity,1.00%
Zee Entertainment Enterprises Ltd.,Equity,0.97%
Kotak Mahindra Bank Ltd.,Equity,0.86%
V-Guard Industries Ltd.,Equity,0.82%
Zomato Ltd.,Equity,0.79%
Blue Star Ltd.,Equity,0.79%
Interglobe Aviation Ltd.,Equity,0.72%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.28%
Doms Industries Ltd.,Equity,0.03%
Cash,Others,0.00%
Net Receivables/(Payable),Others,-0.41%
