Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,9.17%
Infosys Ltd.,Equity,7.84%
HDFC Bank Ltd.,Equity,7.27%
Ltimindtree Ltd.,Equity,5.87%
ABB India Ltd.,Equity,3.56%
Bajaj Finance Ltd.,Equity,3.54%
Mahindra & Mahindra Ltd.,Equity,3.52%
Titan Company Ltd.,Equity,3.40%
TVS Motor Company Ltd.,Equity,3.19%
HCL Technologies Ltd.,Equity,3.12%
Tata Consultancy Services Ltd.,Equity,2.93%
Sona Blw Precision Forgings Ltd.,Equity,2.83%
Blue Star Ltd.,Equity,2.62%
Axis Bank Ltd.,Equity,2.50%
J. K. Cement Ltd.,Equity,2.40%
Coforge Ltd.,Equity,2.39%
CBLO(CCIL),Others,2.19%
Kajaria Ceramics Ltd.,Equity,2.18%
Birlasoft Ltd.,Equity,1.98%
Hindustan Unilever Ltd.,Equity,1.97%
Bharti Airtel Ltd.,Equity,1.93%
State Bank Of India,Equity,1.87%
Polycab India Ltd.,Equity,1.75%
Page Industries Ltd.,Equity,1.68%
Au Small Finance Bank Ltd.,Equity,1.63%
Aditya Birla Fashion & Retail Ltd.,Equity,1.46%
Hero Motocorp Ltd.,Equity,1.40%
V-Mart Retail Ltd.,Equity,1.28%
Oberoi Realty Ltd.,Equity,1.26%
Avenue Supermarts Ltd.,Equity,1.21%
Endurance Technologies Ltd.,Equity,1.19%
SBI Life Insurance Company Ltd.,Equity,1.19%
RBL Bank Ltd.,Equity,1.15%
Kotak Mahindra Bank Ltd.,Equity,1.09%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.08%
Teamlease Services Ltd.,Equity,1.02%
Syngene International Ltd.,Equity,0.99%
Metropolis Healthcare Ltd.,Equity,0.73%
Schaeffler India Ltd.,Equity,0.71%
Whirlpool of India Ltd.,Equity,0.44%
Rolex Rings Ltd.,Equity,0.32%
Cholamandalam Investment & Finance Company Ltd.,Equity,0.29%
One 97 Communications Ltd.,Equity,0.24%
Net Receivables/(Payable),Others,-0.35%
