Company Name,Asset Type,Percentage Allocation
ITC Ltd.,Equity,5.86%
ICICI Bank Ltd.,Equity,4.83%
HDFC Bank Ltd.,Equity,4.65%
Bharti Airtel Ltd.,Equity,3.53%
Hindustan Unilever Ltd.,Equity,3.26%
Tata Motors - DVR - A - ORDY,Equity,2.77%
Axis Bank Ltd.,Equity,2.61%
Maruti Suzuki India Ltd.,Equity,2.43%
TVS Motor Company Ltd.,Equity,2.41%
United Spirits Ltd.,Equity,2.41%
Trent Ltd.,Equity,2.33%
Nestle India Ltd.,Equity,2.19%
Avenue Supermarts Ltd.,Equity,2.10%
Tata Consumer Products Ltd.,Equity,2.06%
Mahindra & Mahindra Ltd.,Equity,1.93%
Sun Pharmaceuticals Ind Ltd.,Equity,1.61%
Radico Khaitan Ltd.,Equity,1.57%
Bajaj Finserv Ltd.,Equity,1.47%
Ultratech Cement Ltd.,Equity,1.46%
Godrej Consumer Products Ltd.,Equity,1.44%
SBI Life Insurance Company Ltd.,Equity,1.36%
The Phoenix Mills Ltd.,Equity,1.36%
Procter & Gamble Hygiene & Healthcare Ltd.,Equity,1.36%
Kotak Mahindra Bank Ltd.,Equity,1.27%
Indusind Bank Ltd.,Equity,1.23%
Fortis Healthcare Ltd.,Equity,1.22%
Titan Company Ltd.,Equity,1.22%
Britannia Industries Ltd.,Equity,1.19%
Hero Motocorp Ltd.,Equity,1.17%
Sanofi India Ltd.,Equity,1.14%
Torrent Pharmaceuticals Ltd.,Equity,1.12%
Info Edge (India) Ltd.,Equity,1.09%
Dabur India Ltd.,Equity,1.09%
United Breweries Ltd.,Equity,1.08%
Voltas Ltd.,Equity,1.03%
Go Fashion (India) Ltd.,Equity,1.02%
Gillette India Ltd.,Equity,0.99%
CBLO(CCIL),Others,0.98%
Emami Ltd.,Equity,0.98%
Fsn ECommerce Ventures Ltd.,Equity,0.97%
MRF Ltd.,Equity,0.95%
Metro Brands Ltd.,Equity,0.89%
Century Textiles & Industries Ltd.,Equity,0.89%
Bata India Ltd.,Equity,0.88%
Cholamandalam Financial Holdings Ltd.,Equity,0.84%
Aditya Birla Fashion & Retail Ltd.,Equity,0.83%
Zee Entertainment Enterprises Ltd.,Equity,0.83%
Au Small Finance Bank Ltd.,Equity,0.83%
The Indian Hotels Company Ltd.,Equity,0.82%
Bajaj Finance Ltd.,Equity,0.82%
Apollo Hospitals Enterprise Ltd.,Equity,0.81%
Zomato Ltd.,Equity,0.81%
Havells India Ltd.,Equity,0.76%
ACC Ltd.,Equity,0.73%
Devyani International Ltd.,Equity,0.72%
Polycab India Ltd.,Equity,0.71%
ICICI Lombard General Insurance Company Ltd.,Equity,0.70%
Whirlpool of India Ltd.,Equity,0.69%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.68%
Interglobe Aviation Ltd.,Equity,0.67%
V-Guard Industries Ltd.,Equity,0.66%
Campus Activewear Ltd.,Equity,0.66%
Cello World Ltd.,Equity,0.65%
Bikaji Foods International Ltd.,Equity,0.65%
VIP Industries Ltd.,Equity,0.63%
Prince Pipes & Fittings Ltd.,Equity,0.61%
Zydus Wellness Ltd.,Equity,0.57%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.54%
Other Margin,Debt,0.51%
Jubilant Foodworks Ltd.,Equity,0.50%
PB Fintech Ltd.,Equity,0.44%
Page Industries Ltd.,Equity,0.43%
R R Kabel Ltd.,Equity,0.39%
Honasa Consumer Ltd.,Equity,0.38%
Butterfly Gandhimathi Appliances Ltd.,Equity,0.30%
Vedant Fashions Pvt. Ltd.,Equity,0.27%
State Bank Of India,Equity,0.21%
Aditya Birla Capital Ltd.,Equity,0.06%
5.5 Britannia Industries Ltd. Jun  3 2024,Debt,0.00%
Cash,Others,0.00%
Net Receivables/(Payable),Others,-0.15%
