Company Name,Asset Type,Percentage Allocation
State Street Corp,Equity,2.17%
London Stock Exchange Group PLC,Equity,2.16%
Assa Abloy,Equity,2.16%
Sanofi S.A.,Equity,2.14%
Emerson Electric ORD.,Equity,2.10%
Ecolab Inc,Equity,2.10%
Agilent Technologies Inc.,Equity,2.09%
Safran SA,Equity,2.08%
Airbus Se,Equity,2.08%
Bank of New York Mellon Corp.,Equity,2.08%
Wells Fargo ORD SHS,Equity,2.06%
Experian PLC,Equity,2.06%
Polaris Industries Inc.,Equity,2.04%
Comcast Corp - Class - A,Equity,2.02%
Equifax Inc,Equity,2.01%
Allegion PLC.,Equity,2.01%
Taiwan Semiconductor Manufacturing Company Ltd.,Equity,1.99%
Teradyne Inc,Equity,1.99%
BlackRock Inc.,Equity,1.98%
Anheuser Busch Inbev SA,Equity,1.97%
Constellation Brands Inc.,Equity,1.97%
Imperial Brands PLC,Equity,1.96%
Singapore Exchange Ltd.,Equity,1.95%
Zimmer Biomet Holdings Inc.,Equity,1.93%
MarketAxess Holdings Inc.,Equity,1.91%
Yum China Holdings Inc.,Equity,1.86%
Gilead Sciences Inc Com,Equity,1.85%
ASML Holding NV,Equity,1.84%
Nike Inc.,Equity,1.81%
Ambev Sa,Equity,1.79%
Elekta AB,Equity,1.78%
Tencent Holdings,Equity,1.73%
Guidewire Software Inc.,Equity,1.33%
Masco Corp,Equity,1.20%
Tyler Technologies INC.,Equity,1.19%
CBLO(CCIL),Others,1.16%
Intercontinental Exchange.,Equity,1.15%
TRADEWEB MARKETS,Equity,1.15%
Alphabet Inc,Equity,1.13%
Australia &  New Zealand Bank,Equity,1.12%
Roper Technologies Inc.,Equity,1.11%
Medtronic Plc.,Equity,1.04%
GEA Group AG,Equity,1.03%
Westpac Banking Corporation,Equity,1.03%
Harley Davidson Inc.,Equity,1.02%
Veeva Systems Inc.,Equity,1.02%
Berkshire Hathway Inc.B,Equity,1.02%
Rockwell Automation Inc.,Equity,1.01%
DAIFUKU CO LTD,Equity,1.00%
Bayer AG,Equity,1.00%
Chr. Hansen AS,Equity,0.99%
Kellogg Company,Equity,0.96%
Microchip Technology Inc,Equity,0.95%
Roche Holding AG Gen,Equity,0.95%
Biogen Idec Inc,Equity,0.95%
GSK Plc,Equity,0.95%
Brp Inc.,Equity,0.93%
Unilever PLC,Equity,0.92%
Raytheon Technologies Corp,Equity,0.92%
Philip Morris Intl Inc.,Equity,0.92%
Fortinet Inc.,Equity,0.90%
British American Tobacco,Equity,0.90%
Corteva Inc.,Equity,0.88%
Nabtesco Corp,Equity,0.87%
Alibaba Group Holding Ltd.ADR,Equity,0.85%
The Walt Disney Company,Equity,0.84%
Etsy Inc.,Equity,0.76%
Baidu.Com Inc Adr,Equity,0.73%
Barry Callebaut,Equity,0.69%
Net Receivables/(Payable),Others,-0.22%
