Company Name,Asset Type,Percentage Allocation
Infosys Ltd.,Equity,5.75%
Bharti Airtel Ltd.,Equity,5.29%
ICICI Bank Ltd.,Equity,4.75%
HDFC Bank Ltd.,Equity,3.72%
Tata Motors - DVR - A - ORDY,Equity,3.06%
Sun Pharmaceuticals Ind Ltd.,Equity,2.91%
Tata Consumer Products Ltd.,Equity,2.55%
Fortis Healthcare Ltd.,Equity,2.40%
Bharat Forge Ltd.,Equity,2.36%
Coforge Ltd.,Equity,2.18%
Bajaj Finserv Ltd.,Equity,2.18%
Axis Bank Ltd.,Equity,2.17%
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,2.05%
Reliance Industries Ltd.,Equity,2.02%
Sobha Ltd.,Equity,1.94%
Container Corporation Of India Ltd.,Equity,1.88%
Indusind Bank Ltd.,Equity,1.86%
Apollo Hospitals Enterprise Ltd.,Equity,1.75%
Ambuja Cements Ltd.,Equity,1.71%
Hero Motocorp Ltd.,Equity,1.69%
Birlasoft Ltd.,Equity,1.68%
Zomato Ltd.,Equity,1.67%
United Spirits Ltd.,Equity,1.63%
State Bank Of India,Equity,1.61%
The Phoenix Mills Ltd.,Equity,1.61%
Hindalco Industries Ltd.,Equity,1.57%
RBL Bank Ltd.,Equity,1.56%
Mahindra & Mahindra Ltd.,Equity,1.51%
Manappuram Finance Ltd.,Equity,1.50%
IDFC First Bank Ltd. (Erstwhile IDFC Bank Ltd.),Equity,1.50%
Mphasis Ltd.,Equity,1.45%
United Breweries Ltd.,Equity,1.45%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.43%
UTI Asset Management Company Ltd.,Equity,1.43%
Aditya Birla Fashion & Retail Ltd.,Equity,1.42%
Aarti Industries Ltd.,Equity,1.39%
Strides Pharma Science Ltd.,Equity,1.30%
Grasim Industries Ltd.,Equity,1.24%
Bajaj Electricals Ltd.,Equity,1.24%
Kalpataru Projects International Ltd.,Equity,1.24%
ICICI Lombard General Insurance Company Ltd.,Equity,1.22%
Eicher Motors Ltd.,Equity,1.21%
AIA Engineering Ltd.,Equity,1.08%
Ceat Ltd.,Equity,1.06%
CBLO(CCIL),Others,1.05%
Atul Ltd.,Equity,1.04%
Bajaj Finance Ltd.,Equity,0.98%
Carborundum Universal Ltd.,Equity,0.98%
Fsn ECommerce Ventures Ltd.,Equity,0.93%
Sundram Fasteners Ltd.,Equity,0.91%
Zee Entertainment Enterprises Ltd.,Equity,0.89%
Marico Ltd.,Equity,0.80%
Max Financial Services Ltd.,Equity,0.80%
The Ramco Cements Ltd.,Equity,0.69%
Wipro Ltd.,Equity,0.69%
Orient Electric Ltd.,Equity,0.65%
City Union Bank Ltd.,Equity,0.55%
SAI Silks (Kalamandir) Ltd.,Equity,0.55%
Steel Strip Wheels Ltd.,Equity,0.27%
Bajel Projects Limited (BPL),Equity,0.17%
Net Receivables/(Payable),Others,-0.20%
