Company Name,Asset Type,Percentage Allocation
Tata Motors Ltd.,Equity,11.75%
Mahindra & Mahindra Ltd.,Equity,10.05%
CBLO(CCIL),Others,9.77%
Maruti Suzuki India Ltd.,Equity,9.40%
Hero Motocorp Ltd.,Equity,6.68%
Bajaj Auto Ltd.,Equity,5.86%
Interglobe Aviation Ltd.,Equity,4.68%
TVS Motor Company Ltd.,Equity,4.18%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,3.79%
Adani Ports and Special Economic Zone Ltd.,Equity,3.40%
Zomato Ltd.,Equity,3.34%
Indian Railway Catering & Tourism Corporation Ltd.,Equity,3.27%
Tata Technologies Ltd.,Equity,2.93%
Container Corporation Of India Ltd.,Equity,2.85%
Other Margin,Debt,2.70%
Tube Investments Of India Ltd.,Equity,2.67%
Sona Blw Precision Forgings Ltd.,Equity,2.54%
Minda Corporation Ltd.,Equity,2.46%
Happy Forgings Ltd.,Equity,2.18%
Exide Industries Ltd.,Equity,1.09%
Ceat Ltd.,Equity,1.07%
Schaeffler India Ltd.,Equity,0.77%
Tata Motors - DVR - A - ORDY,Equity,0.74%
UNO Minda Ltd.,Equity,0.74%
CIE Automotive India Ltd.,Equity,0.54%
Rolex Rings Ltd.,Equity,0.34%
Net Receivables/(Payable),Others,0.19%
Cash,Others,0.00%
