Company Name,Asset Type,Percentage Allocation
State Bank Of India,Equity,4.15%
Reliance Industries Ltd.,Equity,3.91%
Sona Blw Precision Forgings Ltd.,Equity,3.86%
CreditAccess Grameen Ltd.,Equity,3.79%
Tata Consultancy Services Ltd.,Equity,3.70%
Ultratech Cement Ltd.,Equity,3.09%
ICICI Bank Ltd.,Equity,2.98%
National Thermal Power Corporation Ltd.,Equity,2.91%
HDFC Bank Ltd.,Equity,2.81%
Solar Industries India Ltd.,Equity,2.60%
RHI Magnesita India Ltd.,Equity,2.59%
Cholamandalam Financial Holdings Ltd.,Equity,2.43%
Bharat Electronics Ltd.,Equity,2.41%
CBLO(CCIL),Others,2.27%
CIE Automotive India Ltd.,Equity,2.26%
Brigade Enterprises Ltd.,Equity,2.24%
DLF Ltd.,Equity,2.22%
Infosys Ltd.,Equity,2.21%
Tata Motors Ltd.,Equity,2.12%
Ltimindtree Ltd.,Equity,2.09%
K P R Mill Ltd.,Equity,2.07%
SRF Ltd.,Equity,2.04%
Tech Mahindra Ltd.,Equity,1.89%
Treasury Bill (182D),Others,1.88%
Schaeffler India Ltd.,Equity,1.84%
Jindal Steel & Power Ltd.,Equity,1.79%
Data Patterns (India) Ltd.,Equity,1.76%
Tata Steel Ltd.,Equity,1.74%
Power Grid Corporation Of India Ltd.,Equity,1.74%
Balrampur Chini Mills Ltd.,Equity,1.70%
Shree Cement Ltd.,Equity,1.68%
Kaynes Technology India Pvt. Ltd.,Equity,1.65%
Bharat Petroleum Corporation Ltd.,Equity,1.59%
Coal India Ltd.,Equity,1.58%
Jio Financial Services Ltd.,Equity,1.41%
Delhivery Ltd.,Equity,1.35%
Hindalco Industries Ltd.,Equity,1.31%
Voltas Ltd.,Equity,1.27%
Asian Paints Ltd.,Equity,1.24%
Interglobe Aviation Ltd.,Equity,1.24%
Aether Industries Ltd.,Equity,1.19%
Marico Ltd.,Equity,1.18%
Jindal Stainless Ltd.,Equity,1.15%
Hindustan Unilever Ltd.,Equity,1.12%
Chemplast Sanmar Ltd.,Equity,1.02%
Grasim Industries Ltd.,Equity,0.95%
L&T Finance Holding Ltd.,Equity,0.94%
Hero Motocorp Ltd.,Equity,0.78%
Hindalco Industries Ltd.,Equity,0.75%
Minda Corporation Ltd.,Equity,0.73%
HCL Technologies Ltd.,Equity,0.73%
Ceat Ltd.,Equity,0.63%
Inox India Ltd.,Equity,0.61%
Vedant Fashions Pvt. Ltd.,Equity,0.60%
BSE Ltd.,Equity,0.51%
Apar Industries Ltd.,Equity,0.43%
Zee Entertainment Enterprises Ltd.,Equity,0.36%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.35%
Indraprastha Gas Ltd.,Equity,0.19%
Net Receivables/(Payable),Others,-3.64%
