Company Name,Asset Type,Percentage Allocation
Torrent Power Ltd.,Equity,6.67%
Tata Consultancy Services Ltd.,Equity,4.68%
Infosys Ltd.,Equity,4.47%
Nestle India Ltd.,Equity,3.85%
Bajaj Finance Ltd.,Equity,3.72%
HDFC Bank Ltd.,Equity,3.56%
ICICI Bank Ltd.,Equity,3.43%
Avenue Supermarts Ltd.,Equity,3.08%
Titan Company Ltd.,Equity,2.53%
Trent Ltd.,Equity,2.43%
Tech Mahindra Ltd.,Equity,2.35%
Craftsman Automation Ltd.,Equity,2.28%
Tata Motors Ltd.,Equity,2.27%
Coforge Ltd.,Equity,2.15%
Cholamandalam Investment & Finance Company Ltd.,Equity,2.14%
Microsoft Corporation,Equity,2.06%
Go Fashion (India) Ltd.,Equity,2.01%
Kotak Mahindra Bank Ltd.,Equity,1.64%
Zomato Ltd.,Equity,1.61%
Ultratech Cement Ltd.,Equity,1.58%
Sona Blw Precision Forgings Ltd.,Equity,1.46%
Tata Elxsi Ltd.,Equity,1.36%
Mphasis Ltd.,Equity,1.34%
Tata Consumer Products Ltd.,Equity,1.34%
Alphabet Inc,Equity,1.32%
Rainbow Childrens Medicare Ltd.,Equity,1.28%
TVS Motor Company Ltd.,Equity,1.26%
Eicher Motors Ltd.,Equity,1.26%
Info Edge (India) Ltd.,Equity,1.23%
CreditAccess Grameen Ltd.,Equity,1.21%
Mahindra & Mahindra Ltd.,Equity,1.13%
Anthem Inc.,Equity,0.95%
ICICI Prudential Life Insurance Company Ltd.,Equity,0.93%
Polycab India Ltd.,Equity,0.90%
Banco Bilbao Vizcaya,Equity,0.88%
Bunzl plc,Equity,0.86%
Raia Drogasil,Equity,0.84%
Relx Plc,Equity,0.83%
Hitachi Ltd.,Equity,0.80%
SBI Life Insurance Company Ltd.,Equity,0.79%
Jyothy Labs Ltd.,Equity,0.77%
AstraZeneca Plc.,Equity,0.73%
ABB India Ltd.,Equity,0.72%
Unilever PLC,Equity,0.72%
Booking Holdings Inc.,Equity,0.70%
Mastercard. Inc.,Equity,0.70%
Salesforce.Com,Equity,0.70%
Adobe Sys Inc,Equity,0.69%
Taiwan Semiconductor Manufacturing Company Ltd.,Equity,0.69%
Visa Inc,Equity,0.66%
ASML Holding NV,Equity,0.66%
AIA Group Ltd.,Equity,0.66%
Thermo Fisher Scientific Inc.,Equity,0.66%
Intuit Inc.,Equity,0.61%
Net Receivables/(Payable),Others,0.59%
DBS Group Holdings Ltd.,Equity,0.59%
Vedant Fashions Pvt. Ltd.,Equity,0.58%
JB Chemicals & Pharmaceuticals Ltd.,Equity,0.53%
Symphony Ltd.,Equity,0.53%
Sap Se.,Equity,0.52%
Mankind Pharma Ltd.,Equity,0.52%
Roche Holdings Ltd.-ADR,Equity,0.51%
Lowe S Companies Inc,Equity,0.51%
CBLO(CCIL),Others,0.49%
Minda Corporation Ltd.,Equity,0.48%
Reckitt Benckiser Ltd.,Equity,0.46%
Intel Corp,Equity,0.43%
Texas Instrs INC Com,Equity,0.43%
Dr Reddys Laboratories Ltd.,Equity,0.42%
Lululemon Athletica Inc,Equity,0.41%
Spirax-Sarco Engineering PLC,Equity,0.38%
Greggs PLC,Equity,0.37%
Teamlease Services Ltd.,Equity,0.36%
Kingfisher Plc,Equity,0.27%
ARM Holdings PLC,Equity,0.21%
Norsk Hydro As,Equity,0.19%
Maruti Suzuki India Ltd.,Equity,0.09%
