Company Name,Asset Type,Percentage Allocation
ICICI Bank Ltd.,Equity,4.88%
CBLO(CCIL),Others,4.05%
Reliance Industries Ltd.,Equity,3.61%
Infosys Ltd.,Equity,3.18%
HDFC Bank Ltd.,Equity,3.07%
Bajaj Holdings & Investment Ltd.,Equity,3.04%
Larsen & Toubro Ltd.,Equity,2.78%
National Thermal Power Corporation Ltd.,Equity,2.76%
Minda Corporation Ltd.,Equity,2.52%
Sun Pharmaceuticals Ind Ltd.,Equity,2.20%
Netweb Technologies India Ltd.,Equity,2.12%
Tata Motors Ltd.,Equity,2.06%
Bajaj Auto Ltd.,Equity,2.06%
JB Chemicals & Pharmaceuticals Ltd.,Equity,1.98%
Sansera Engineering Ltd.,Equity,1.88%
Fortis Healthcare Ltd.,Equity,1.86%
Bajaj Finserv Ltd.,Equity,1.82%
The Federal Bank Ltd.,Equity,1.82%
Ultratech Cement Ltd.,Equity,1.77%
Mahindra & Mahindra Ltd.,Equity,1.72%
Bharat Electronics Ltd.,Equity,1.72%
DLF Ltd.,Equity,1.69%
Bharti Airtel Ltd.,Equity,1.68%
State Bank Of India,Equity,1.65%
Jyothy Labs Ltd.,Equity,1.54%
Mrs Bectors Food Specialities Ltd.,Equity,1.54%
Cholamandalam Investment & Finance Company Ltd.,Equity,1.51%
Hindalco Industries Ltd.,Equity,1.50%
Birlasoft Ltd.,Equity,1.49%
Tech Mahindra Ltd.,Equity,1.48%
Teamlease Services Ltd.,Equity,1.48%
CreditAccess Grameen Ltd.,Equity,1.45%
Canfin Homes Ltd.,Equity,1.31%
CG Power & Industrial Solutions Ltd.,Equity,1.30%
Mphasis Ltd.,Equity,1.28%
ICICI Prudential Life Insurance Company Ltd.,Equity,1.25%
Coforge Ltd.,Equity,1.24%
R R Kabel Ltd.,Equity,1.23%
Vijaya Diagnostic Centre Ltd.,Equity,1.21%
Apar Industries Ltd.,Equity,1.21%
Power Grid Corporation Of India Ltd.,Equity,1.12%
Coal India Ltd.,Equity,1.09%
Torrent Pharmaceuticals Ltd.,Equity,1.07%
Tata Steel Ltd.,Equity,1.07%
Dixon Technologies (India) Ltd.,Equity,1.07%
Jindal Steel & Power Ltd.,Equity,1.01%
Brigade Enterprises Ltd.,Equity,1.00%
Tata Power Company Ltd.,Equity,0.95%
Go Fashion (India) Ltd.,Equity,0.87%
BSE Ltd.,Equity,0.83%
Tata Communications Ltd.,Equity,0.83%
Net Receivables/(Payable),Others,0.80%
Bharat Dynamics Ltd.,Equity,0.80%
Cummins India Ltd.,Equity,0.78%
Jupiter Life Line Hospitals Ltd.,Equity,0.77%
J. K. Cement Ltd.,Equity,0.74%
Eureka Forbes Ltd.,Equity,0.74%
UNO Minda Ltd.,Equity,0.72%
RHI Magnesita India Ltd.,Equity,0.71%
L&T Finance Holding Ltd.,Equity,0.65%
eClerx Services Ltd.,Equity,0.60%
RITES Ltd.,Equity,0.60%
Voltas Ltd.,Equity,0.57%
Vardhman Textiles Ltd.,Equity,0.30%
CIE Automotive India Ltd.,Equity,0.23%
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.14%
