Company Name,Asset Type,Percentage Allocation
HDFC Bank Ltd.,Equity,7.50%
ICICI Bank Ltd.,Equity,5.68%
Infosys Ltd.,Equity,4.67%
National Thermal Power Corporation Ltd.,Equity,4.49%
Reliance Industries Ltd.,Equity,3.93%
Triparty Repo,Others,3.34%
ITC Ltd.,Equity,3.22%
CreditAccess Grameen Ltd.,Equity,2.92%
Brigade Enterprises Ltd.,Equity,2.74%
Bharti Airtel Ltd.,Equity,2.73%
Larsen & Toubro Ltd.,Equity,2.66%
REC Ltd.,Equity,2.46%
Axis Bank Ltd.,Equity,2.39%
KEI Industries Ltd.,Equity,2.33%
Varun Beverages Ltd.,Equity,2.18%
Bajaj Auto Ltd.,Equity,2.15%
Bharat Electronics Ltd.,Equity,2.13%
JB Chemicals & Pharmaceuticals Ltd.,Equity,2.02%
State Bank Of India,Equity,1.99%
Sun Pharmaceuticals Ind Ltd.,Equity,1.96%
HCL Technologies Ltd.,Equity,1.95%
The Federal Bank Ltd.,Equity,1.90%
Tata Motors Ltd.,Equity,1.60%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.60%
Equitas Small Finance Bank Ltd.,Equity,1.59%
Coforge Ltd.,Equity,1.52%
Indusind Bank Ltd.,Equity,1.43%
SBI Life Insurance Company Ltd.,Equity,1.41%
Sundaram Finance Ltd.,Equity,1.39%
ICICI Lombard General Insurance Company Ltd.,Equity,1.33%
Bharat Dynamics Ltd.,Equity,1.32%
Vijaya Diagnostic Centre Ltd.,Equity,1.29%
Max Healthcare Institute Ltd.,Equity,1.19%
K P R Mill Ltd.,Equity,1.19%
Interglobe Aviation Ltd.,Equity,1.04%
Cera Sanitaryware Ltd.,Equity,1.01%
Mankind Pharma Ltd.,Equity,0.98%
Deepak Nitrite Ltd.,Equity,0.98%
Ccl Products (India) Ltd.,Equity,0.96%
KEC International Ltd.,Equity,0.94%
Jyothy Labs Ltd.,Equity,0.93%
Bharat Petroleum Corporation Ltd.,Equity,0.93%
AIA Engineering Ltd.,Equity,0.90%
Tech Mahindra Ltd.,Equity,0.89%
Dabur India Ltd.,Equity,0.87%
Sumitomo Chemical India Ltd.,Equity,0.85%
Innova Captab Ltd.,Equity,0.76%
VIP Industries Ltd.,Equity,0.73%
E.I.D. Parry India Ltd.,Equity,0.70%
Maruti Suzuki India Ltd.,Equity,0.67%
Cipla Ltd.,Equity,0.43%
VRL Logistics Ltd.,Equity,0.39%
Jio Financial Services Ltd.,Equity,0.37%
Tata Technologies Ltd.,Equity,0.36%
Bharti Airtel Ltd.,Equity,0.06%
Net Receivables/(Payable),Others,0.04%
