Company Name,Asset Type,Percentage Allocation
National Thermal Power Corporation Ltd.,Equity,4.86%
ICICI Bank Ltd.,Equity,4.06%
Jindal Stainless Ltd.,Equity,3.92%
State Bank Of India,Equity,3.44%
The Federal Bank Ltd.,Equity,3.12%
Larsen & Toubro Ltd.,Equity,2.51%
Mahindra & Mahindra Ltd.,Equity,2.39%
Axis Bank Ltd.,Equity,2.38%
ITC Ltd.,Equity,2.37%
Sun Pharmaceuticals Ind Ltd.,Equity,2.30%
Multi Commodity Exchange of India Ltd.,Equity,2.27%
Canara Bank,Equity,2.25%
Hindustan Aeronautics Ltd.,Equity,2.20%
Birlasoft Ltd.,Equity,2.15%
KEC International Ltd.,Equity,2.13%
Karur Vysya Bank Ltd.,Equity,2.07%
Zensar Technologies Ltd.,Equity,2.00%
HDFC Bank Ltd.,Equity,1.97%
Reliance Industries Ltd.,Equity,1.95%
Brigade Enterprises Ltd.,Equity,1.93%
Indian Bank,Equity,1.92%
Ratnamani Metals & Tubes Ltd.,Equity,1.86%
JK Lakshmi Cement Ltd.,Equity,1.76%
Infosys Ltd.,Equity,1.72%
Kirloskar Oil Engines Ltd.,Equity,1.68%
Bharti Airtel Ltd.,Equity,1.62%
Sonata Software Ltd.,Equity,1.61%
Bosch Ltd.,Equity,1.56%
K P R Mill Ltd.,Equity,1.55%
Tech Mahindra Ltd.,Equity,1.51%
Finolex Cables Ltd.,Equity,1.50%
Oberoi Realty Ltd.,Equity,1.48%
Power Mech Projects Ltd.,Equity,1.44%
Power Finance Corporation Ltd.,Equity,1.43%
Escorts Kubota Ltd.,Equity,1.40%
Canfin Homes Ltd.,Equity,1.34%
Birla Corporation Ltd.,Equity,1.29%
Zee Entertainment Enterprises Ltd.,Equity,1.27%
PNC Infratech Ltd.,Equity,1.23%
J K Paper Ltd.,Equity,1.16%
Coromandel International Ltd. (Coromandel Fertilisers Ltd.),Equity,1.13%
The Ramco Cements Ltd.,Equity,1.09%
The Indian Hotels Company Ltd.,Equity,1.08%
Triparty Repo,Others,1.04%
Varun Beverages Ltd.,Equity,1.02%
KNR Constructions Ltd.,Equity,1.00%
Sobha Ltd.,Equity,0.94%
Bajaj Auto Ltd.,Equity,0.89%
Jindal Steel & Power Ltd.,Equity,0.89%
Vardhman Textiles Ltd.,Equity,0.75%
Maruti Suzuki India Ltd.,Equity,0.75%
GE T&D India Ltd.,Equity,0.73%
Persistent Systems Ltd.,Equity,0.67%
Century Textiles & Industries Ltd.,Equity,0.66%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.62%
Jindal Saw Ltd.,Equity,0.59%
Emami Ltd.,Equity,0.56%
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Equity,0.48%
Hindustan Petroleum Corporation Ltd.,Equity,0.41%
Supreme Petrochem Ltd.,Equity,0.40%
HCL Technologies Ltd.,Equity,0.40%
Ccl Products (India) Ltd.,Equity,0.37%
Hindalco Industries Ltd.,Equity,0.36%
Balkrishna Industries Ltd.,Equity,0.30%
Somany Ceramics Ltd.,Equity,0.24%
Eureka Forbes Ltd.,Equity,0.14%
Paradeep Phosphates Ltd.,Equity,0.08%
Zuari Agro Chemicals Ltd.,Equity,0.07%
Current Assets,Others,-0.28%
