Company Name,Asset Type,Percentage Allocation
Reliance Industries Ltd.,Equity,7.87%
ICICI Bank Ltd.,Equity,6.64%
Bharti Airtel Ltd.,Equity,6.42%
Sun Pharmaceuticals Ind Ltd.,Equity,6.12%
Infosys Ltd.,Equity,6.09%
Triparty Repo,Others,6.07%
HDFC Bank Ltd.,Equity,6.04%
Oil & Natural Gas Corporation Ltd.,Equity,4.51%
National Thermal Power Corporation Ltd.,Equity,4.23%
Axis Bank Ltd.,Equity,2.36%
Maruti Suzuki India Ltd.,Equity,2.03%
Tata Motors - DVR - A - ORDY,Equity,1.79%
Vodafone Group Plc Adr,Equity,1.69%
Viatris Inc,Equity,1.67%
Lupin Ltd.,Equity,1.57%
Hindustan Unilever Ltd.,Equity,1.55%
Bharat Petroleum Corporation Ltd.,Equity,1.41%
Life Insurance Corporation of India,Equity,1.35%
TVS Motor Company Ltd.,Equity,1.30%
ICICI Lombard General Insurance Company Ltd.,Equity,1.29%
SBI Cards & Payment Services Pvt. Ltd.,Equity,1.06%
Larsen & Toubro Ltd.,Equity,1.04%
Hero Motocorp Ltd.,Equity,0.99%
State Bank Of India,Equity,0.98%
Zee Entertainment Enterprises Ltd.,Equity,0.97%
HCL Technologies Ltd.,Equity,0.95%
LIC Housing Finance Ltd.,Equity,0.91%
UPL Ltd. (Erstwhile United Phosphorus Ltd.),Equity,0.89%
British American Tobacco,Equity,0.85%
Bharti Airtel Ltd.,Equity,0.81%
Interglobe Aviation Ltd.,Equity,0.78%
Derivative,Others,0.75%
SBI Life Insurance Company Ltd.,Equity,0.74%
Mankind Pharma Ltd.,Equity,0.74%
Tata Steel Ltd.,Equity,0.72%
Muthoot Finance Ltd.,Equity,0.68%
The Great Eastern Shipping Company Ltd.,Equity,0.68%
Hindalco Industries Ltd.,Equity,0.67%
Coal India Ltd.,Equity,0.67%
360 ONE WAM LTD.(Erstwhile IIFL WEALTH MANAGEMENT LIMITED),Equity,0.66%
ITC Ltd.,Equity,0.64%
Dabur India Ltd.,Equity,0.61%
Grasim Industries Ltd.,Equity,0.56%
Mahindra & Mahindra Ltd.,Equity,0.52%
Gateway Distriparks Ltd.,Equity,0.52%
ACC Ltd.,Equity,0.51%
Aurobindo Pharma Ltd.,Equity,0.48%
Exide Industries Ltd.,Equity,0.47%
Max Financial Services Ltd.,Equity,0.42%
Piramal Pharma Ltd.,Equity,0.41%
TVS Holdings Ltd.,Equity,0.40%
Zydus Wellness Ltd.,Equity,0.38%
Zydus Lifesciences Ltd.,Equity,0.36%
Cholamandalam Financial Holdings Ltd.,Equity,0.36%
Bata India Ltd.,Equity,0.36%
Kalpataru Projects International Ltd.,Equity,0.33%
Alkem Laboratories Ltd.,Equity,0.32%
Tech Mahindra Ltd.,Equity,0.32%
Cummins India Ltd.,Equity,0.31%
Power Grid Corporation Of India Ltd.,Equity,0.30%
NHPC Ltd.,Equity,0.30%
J M Financial Ltd.,Equity,0.28%
Mahindra & Mahindra Financial Services Ltd.,Equity,0.27%
Avanti Feeds Ltd.,Equity,0.27%
Treasury Bill (182D),Others,0.27%
Treasury Bill (91D),Others,0.26%
Muthoot Finance Ltd.,Equity,0.23%
Mphasis Ltd.,Equity,0.23%
TTK Prestige Ltd.,Equity,0.22%
Natco Pharma Ltd.,Equity,0.21%
Cash Margin,Debt,0.21%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,0.20%
Treasury Bill (364D),Others,0.20%
CESC Ltd.,Equity,0.18%
Gujarat Gas Ltd.,Equity,0.17%
Treasury Bill (91D),Others,0.17%
City Union Bank Ltd.,Equity,0.17%
Glaxo Smithkline Pharmaceuticals Ltd.,Equity,0.17%
Aster DM Healthcare Ltd.,Equity,0.09%
Samhi Hotels Ltd.,Equity,0.08%
Sundaram Clayton Dcd Ltd,Equity,0.08%
Treasury Bill (182D),Others,0.07%
UTI Asset Management Company Ltd.,Equity,0.06%
Current Assets,Others,-0.23%
Tata Motors Ltd.,Equity,-1.25%
