Company Name,Asset Type,Percentage Allocation
National Thermal Power Corporation Ltd.,Equity,3.58%
Larsen & Toubro Ltd.,Equity,3.48%
REC Ltd.,Equity,3.27%
ITC Ltd.,Equity,3.24%
Hero Motocorp Ltd.,Equity,3.06%
Sobha Ltd.,Equity,2.99%
HDFC Bank Ltd.,Equity,2.93%
Spandana Sphoorty Financial Ltd.,Equity,2.71%
ICICI Bank Ltd.,Equity,2.65%
Jyothy Labs Ltd.,Equity,2.48%
Ultratech Cement Ltd.,Equity,2.42%
State Bank Of India,Equity,2.37%
Bank Of Baroda,Equity,2.36%
Kalpataru Projects International Ltd.,Equity,2.23%
Dhanuka Agritech Ltd.,Equity,2.21%
Amara Raja Batteries Ltd.,Equity,2.11%
Infosys Ltd.,Equity,2.06%
Arvind Ltd.,Equity,2.00%
HEG Ltd.,Equity,1.93%
Tata Motors - DVR - A - ORDY,Equity,1.92%
Equitas Small Finance Bank Ltd.,Equity,1.77%
Triparty Repo,Others,1.73%
Aurobindo Pharma Ltd.,Equity,1.71%
Coal India Ltd.,Equity,1.65%
CESC Ltd.,Equity,1.63%
National Aluminium Company Ltd.,Equity,1.63%
Steel Authority Of India Ltd.,Equity,1.59%
One 97 Communications Ltd.,Equity,1.55%
Birlasoft Ltd.,Equity,1.55%
Voltas Ltd.,Equity,1.50%
Gokaldas Exports Ltd.,Equity,1.48%
Gulf Oil Lubricants India Ltd.,Equity,1.41%
E.I.D. Parry India Ltd.,Equity,1.39%
Kirloskar Oil Engines Ltd.,Equity,1.39%
Thomas Cook (India) Ltd.,Equity,1.37%
The Phoenix Mills Ltd.,Equity,1.36%
Poonawalla Fincorp Ltd. (Erstwhile Magma Fincorp Ltd.),Equity,1.35%
Birla Corporation Ltd.,Equity,1.35%
Fortis Healthcare Ltd.,Equity,1.34%
SKF India Ltd.,Equity,1.33%
Zomato Ltd.,Equity,1.27%
HCL Technologies Ltd.,Equity,1.23%
Timken India Ltd.,Equity,1.20%
Prince Pipes & Fittings Ltd.,Equity,1.14%
First Source Solutions Ltd.,Equity,1.13%
Finolex Industries Ltd.,Equity,1.12%
Tech Mahindra Ltd.,Equity,1.10%
Amber Enterprises India Ltd.,Equity,1.08%
Welspun India Ltd.,Equity,1.07%
Biocon Ltd.,Equity,1.06%
Kalyani Steels Ltd.,Equity,1.03%
Hindustan Petroleum Corporation Ltd.,Equity,0.98%
Karnataka Bank Ltd.,Equity,0.98%
Suven Pharmaceuticals Ltd.,Equity,0.98%
Kirloskar Ferrous Industries Ltd.,Equity,0.96%
Jagran Prakashan Ltd.,Equity,0.89%
Vardhman Textiles Ltd.,Equity,0.48%
Credo Brands Marketing Ltd.,Equity,0.13%
Current Assets,Others,0.06%
