Company Name,Asset Type,Percentage Allocation
State Bank Of India,Equity,8.22%
HDFC Bank Ltd.,Equity,7.86%
ICICI Bank Ltd.,Equity,6.18%
Reliance Industries Ltd.,Equity,5.57%
Infosys Ltd.,Equity,4.59%
Varun Beverages Ltd.,Equity,3.96%
Bharat Forge Ltd.,Equity,3.89%
Triparty Repo,Others,3.83%
Bank Of Baroda,Equity,3.54%
Persistent Systems Ltd.,Equity,3.48%
Sun Pharmaceuticals Ind Ltd.,Equity,2.96%
Hindalco Industries Ltd.,Equity,2.68%
Maruti Suzuki India Ltd.,Equity,2.54%
Axis Bank Ltd.,Equity,2.39%
PCBL Ltd. (Erstwhile Phillips Carbon Black Ltd.),Equity,2.15%
Ultratech Cement Ltd.,Equity,2.04%
Piramal Pharma Ltd.,Equity,2.03%
ITC Ltd.,Equity,1.96%
Coforge Ltd.,Equity,1.95%
HCL Technologies Ltd.,Equity,1.93%
Bajaj Finance Ltd.,Equity,1.90%
Samvardhana Motherson International Ltd. (Erstwhile Motherson Sumi Systems Ltd.),Equity,1.87%
KNR Constructions Ltd.,Equity,1.83%
Bank Of India,Equity,1.80%
United Spirits Ltd.,Equity,1.74%
Power Finance Corporation Ltd.,Equity,1.72%
Bharti Airtel Ltd.,Equity,1.69%
Oberoi Realty Ltd.,Equity,1.62%
PVR INOX Ltd.,Equity,1.57%
Aditya Birla Fashion & Retail Ltd.,Equity,1.42%
PI Industries Ltd.,Equity,1.41%
Amber Enterprises India Ltd.,Equity,1.23%
Piramal Enterprises Ltd.,Equity,1.22%
Mahindra & Mahindra Ltd.,Equity,1.12%
Crompton Greaves Consumer Electrcials Ltd.,Equity,1.12%
Gujarat Gas Ltd.,Equity,1.02%
S.P. Apparels Ltd.,Equity,0.96%
Kotak Mahindra Bank Ltd.,Equity,0.95%
Net Receivables/(Payable),Others,0.04%
