Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %
P I Industries,3621.1,40.69,54938.65,0.28,382.9,45.92,1910.4,23.79,21.69,Agro Chemicals,7.63,15.11,0.01,18.46,46.09,3.04,0,28.91,52742.25,15.17,474.47,2.65,2.78,0,9,5,0.8,1.13,46.09,20.65,43.4,3.09,,71.26,18.91,974.67,100.9,86.1,43.4,143.59,10.77,19.17,0.58,23.8,-0.26
UPL,603,16.65,45261.64,1.66,102,-102.45,8963,-17.17,15.7,Agro Chemicals,1.52,5.42,0.8,13.41,32.35,11.56,0,28.91,63149.64,75.06,397.6,2.1,0.96,0,7,3,0.64,2.79,32.35,12.93,124.16,3.09,,67.91,8.48,583.73,75.6,235.66,124.16,187.11,14.44,37.96,-0.73,15.24,0.85
Sumitomo Chemi.,438.95,51.33,21910,0.27,61.78,-55.36,724.24,-26.53,30.24,Agro Chemicals,9.21,15.79,0.01,23.39,75,2.61,0,28.91,21641.45,49.91,47.68,2.31,1.78,0,7,3,1.1,1.34,75,24.67,98.35,3.09,,138.01,16.75,95.78,168.29,86.84,98.35,156.78,16.96,2.51,0.11,5.5,0
Bayer Crop Sci.,4790.45,30.42,21529.28,2.71,328.5,8.56,1739.6,4.33,33.66,Agro Chemicals,7.94,15.02,0.03,25.91,71.43,4.52,0,34.23,20734.78,4.49,603.47,1.49,1.15,0,8,3,1.14,1.67,71.43,26.98,69.28,6.43,,88.55,20.01,1539.13,207.66,129.37,69.28,267.74,12.32,3.18,0,13.06,0.32
Rallis India,235.25,52.22,4574.88,1.28,63,-4.92,782,-9.39,7.77,Agro Chemicals,2.64,3.25,0.08,5.37,50.09,2.92,0,28.91,4665.53,19.45,88.96,2.23,0.64,0,6,1,1.05,1.63,50.09,7.8,61.34,3.09,,61.89,4.86,94.96,102.05,117.03,61.34,157.74,28.28,7.69,0.6,13.51,-0.96
Sharda Cropchem,449.7,17.59,4057.22,1.33,-88.64,-491.52,637.75,-22.65,20.75,Agro Chemicals,1.82,8.15,0,15.89,74.82,8.08,0,28.91,3878.31,9.02,247.4,2.82,1.06,0,6,3,1,1.81,74.82,17.93,165.42,3.09,,97.16,7.21,377.25,134.39,175.76,165.42,144.73,10.44,2,-0.14,12.75,-0.18
Bharat Rasayan,9435.65,40,3920.77,0.02,7.09,-81.2,239.2,-26.94,19.81,Agro Chemicals,4.39,11.85,0.03,15.38,74.99,3.6,0.64,28.91,3915.07,0.42,2149.81,2.89,2.57,0,6,2,1.14,1.21,74.51,15.69,96.14,3.09,,172.91,13.13,3308.62,204.15,32.54,96.14,140.56,,,,,
Dhanuka Agritech,789.1,16.55,3596.59,0.25,32.94,-32.93,369.07,-6.02,27.01,Agro Chemicals,3.39,15.86,0.03,21.32,70.18,7.91,0,28.91,3625.83,4.56,232.85,2.98,1.53,0,6,4,1.25,1.28,70.18,32.21,72.78,3.09,,108.63,20.42,496.87,133.08,62.22,72.78,122.52,9.03,3.55,-0.5,17.24,0.61
India Pesticides,296.55,28.7,3415.17,0.25,15.89,-61.59,201.44,-7.79,27.8,Agro Chemicals,4.41,16.99,0.01,20.43,67.2,4.93,0,28.91,3361.69,11.52,67.3,2.79,2.85,54.2,5,3,1.04,1.1,67.2,21.41,108.09,3.09,,165.26,18.1,125.08,203.04,80.4,108.09,175.35,30.61,0.39,-0.06,1.81,0
Best Agrolife,1187.1,11.57,2806.87,0.17,90.5,125.52,612.23,32.03,34.43,Agro Chemicals,5.32,15.63,1.08,44.83,50.1,10.9,0,28.91,3286.72,2.36,223.03,2.15,0.56,0,5,4,1.42,2.33,50.1,21.27,72.94,3.09,,157.01,24.28,717.43,191.36,88.19,72.94,206.61,36.5,10.84,-0.64,2.55,-0.03
Astec Lifescienc,1405.1,459.22,2755.29,0.11,-8.18,-171.75,142.85,-22.48,7.82,Agro Chemicals,6.57,2.77,0.81,6.36,66.76,1.03,0,28.91,3094.31,1.96,213.9,1.86,0.39,60.86,3,1,0.67,2.24,66.76,6.62,90.01,3.09,,174.79,3.26,121.17,197.05,161.18,90.01,268.22,21.13,1.95,-0.34,10.15,-0.43
Meghmani Organi.,83.7,26.96,2128.61,1.67,-34.5,-131.63,425.78,-45.65,16.13,Agro Chemicals,1.28,7.45,0.49,14.25,49.5,5.82,0,28.91,2919.87,25.43,65.64,2.67,0.76,0,4,6,0.85,1.8,49.5,13.7,74.84,3.09,,113.46,5.31,73.94,124.17,108.31,74.84,157.64,48.51,1.5,-0.03,0.45,0
NACL Industries,82.25,39.04,1635.47,0.85,-38.06,-355.09,375.91,-20.92,15.17,Agro Chemicals,2.85,5.54,1.26,17.86,63.83,5.04,0,28.91,2286,19.88,28.86,3.54,0.83,0,2,2,1.24,2.98,63.83,10.52,133.11,3.09,,128.22,6.01,37.04,134.6,110.71,133.11,112.19,34.2,1.16,-0.04,0.81,0.34
Insecticid.India,506,27.72,1497.65,0.59,29.03,-23.61,639.95,14.14,9.71,Agro Chemicals,1.64,4.08,0.18,7.07,72.16,5.34,0,28.91,1640.9,2.96,309.38,1.86,0.49,0,3,2,1.17,1.69,72.16,8.14,60.03,3.09,,123.95,5.18,356.44,168.94,118.08,60.03,226.99,11.3,6.02,-0.44,10.53,-0.24
Heranba Inds,366.5,22.45,1466.49,0.34,-5.61,-116.78,275.21,-23.96,,Agro Chemicals,1.81,,0.11,,74.94,6.7,0,28.91,1440.06,4,202.52,,1.59,40.56,0,2,,,74.94,13.69,106.88,3.09,,131.41,8.3,272.76,154.17,78.35,106.88,125.64,24.21,0,0,0.85,-0.36
Punjab Chemicals,1149.4,22.47,1409.16,0.26,21.86,7.9,281.36,3.4,30.93,Agro Chemicals,5.02,10.46,0.33,24.24,39.22,7.3,0,28.91,1491.68,1.23,228.85,4.39,0.79,0,6,4,1.72,2.09,39.22,20.02,51.97,3.09,,48.92,17.67,513.12,68.77,79.73,51.97,96.53,57.6,2.97,-0.02,0.2,-0.78
Bhagiradha Chem.,1206.1,34.26,1255.01,0.33,2.2,-81.64,100.01,-17.84,22.04,Agro Chemicals,3.99,11.77,0.16,18.38,23.52,4.42,0,28.91,1301.87,1.04,302.54,4.41,1.37,0,6,3,1.27,1.25,23.52,15.34,93.61,3.09,,115.33,12.89,489.52,132.15,69.15,93.61,107.69,76.37,0.12,0.02,0,0
Shivalik Rasayan,767.05,64.39,1143.61,0.07,6.48,-34.48,64.47,11.48,9.68,Agro Chemicals,3.08,5.6,0.16,6.56,50.05,2.97,0,28.91,1170.65,1.49,248.72,2.03,1.3,0,3,0,0.44,1.48,50.05,8.91,131.97,3.09,,205.55,6,261.04,162.04,208.53,131.97,238.59,49.6,0.35,0.34,0,0
Dharmaj Crop,217,19.59,733.4,0,14.51,42.39,161.94,18.14,18.87,Agro Chemicals,2.28,10.06,0.16,16.29,70.4,6.72,0,28.91,785.39,3.38,95.11,6.39,2.7,5.69,4,6,1.6,1.02,70.4,13.06,51.27,3.09,,156.65,12.03,165.77,66.12,46.69,51.27,61.54,24.58,5.02,-0.02,0,0
Kilpest India,601.05,18.12,451.27,0.42,7.21,55.56,14.28,22.16,21.6,Agro Chemicals,2.64,12.77,0.01,16,38.43,9.76,0,28.91,394.09,0.75,228.05,0.02,7.49,0,6,5,0.3,1.19,38.43,23.94,200.33,3.09,,247.72,17.96,412.6,200.33,,200.33,,58.5,3.06,0.52,0,0
Aimco Pesticides,118.25,,113.31,0.85,-5.94,-316,45.92,-34.94,-0.39,Agro Chemicals,2.47,-1.29,0.28,-4.19,53.5,-8.96,0,28.91,124.57,0.96,47.9,2.06,0.37,0,2,3,1.32,3.39,53.5,-0.27,43.55,3.09,,50.6,-7.68,,44.48,176.15,43.55,177.08,46.43,0.04,0,0.03,0
Sikko Industries,65.25,36.91,109.62,0.23,0.48,20,14.59,-16.25,16.26,Agro Chemicals,4.6,7.03,0.36,12.85,71.44,3.97,0,28.91,117.74,1.68,14.17,4.3,1.59,0,4,1,1.2,1.73,71.44,9.92,179.57,3.09,,200.64,10.29,23.74,208.47,62.67,179.57,91.57,,,,,
Crop Life Scienc,48,29.59,82.27,0,,,,,10.65,Agro Chemicals,,3.07,0.6,8.04,70.01,5.7,0,28.91,101.73,1.71,,2.33,1.07,0,3,1,1.04,2.51,70.01,7.61,143.05,3.09,,168.94,6.13,,143.23,136.51,143.05,136.69,,,,,
Aristo Bio-Tech,87.2,16.67,59.36,0,1,,88.81,,18.57,Agro Chemicals,1.97,4.62,0.75,23.97,73.37,9.36,0,28.91,80,0.68,44.3,8.04,0.88,0,5,3,2.83,5.19,73.37,13.95,55.62,3.09,,42.81,7.5,72.2,35.39,65.65,55.62,45.42,26.62,0,,0,
Super Crop Safe,8.2,21.84,32.98,0,0.18,148.65,5.81,35.43,6.25,Agro Chemicals,1.28,1.72,0.66,4,38.71,6.96,0,28.91,49.88,4.02,6.4,0.54,0.84,0,9,3,0.38,2.28,38.71,6.14,439.81,3.09,,619.24,5.82,7.35,847.26,302.13,439.81,709.57,61.29,0,0,0,0
Phyto Chem (I),44.1,632,18.96,0,-1.76,-12.1,0.64,-54.61,7.55,Agro Chemicals,1.79,0.51,1.84,1.9,40.4,5.42,0,28.91,38.36,0.43,24.67,1.26,0.85,0,8,0,0.68,3.7,40.4,6.46,275.66,3.09,,377.55,5.2,6.22,467.62,122.87,275.66,314.83,54.78,0,0,0.19,0
Bhaskar Agrochem,34.71,129.14,18.08,0,-2.03,-4.64,7.33,36.75,12.22,Agro Chemicals,1.5,0.5,1.49,1.76,62.2,6,0,28.91,36.03,0.52,23.17,3.2,0.62,0,6,2,1.21,3.78,62.2,1.44,110.77,3.09,,89.3,4.57,11.84,115.82,100.12,110.77,105.18,37.8,0,0,0,0
