Name,CMP  Rs.,P/E,Mar Cap  Rs.Cr.,Div Yld  %,NP Qtr  Rs.Cr.,Qtr Profit Var  %,Sales Qtr  Rs.Cr.,Qtr Sales Var  %,ROCE  %,Sector,CMP / BV,ROA 12M  %,Debt / Eq,ROE  %,Prom. Hold.  %,Earnings Yield  %,Pledged  %,Ind PE,EV  Rs.Cr.,No. Eq. Shares  Cr.,B.V.  Rs.,Inven TO,Quick Rat,Export  %,Piotski Scr,G Factor,Asset Turnover,Leverage,Unpledged Prom Hold  %,ROIC  %,Debtor days,Ind PBV,Credit Rate,WC Days,BEP  %,Graham's Number  Rs.,Cash Cycle,Days Payable,Days Receivable,Inventory Days,Public Hold  %,FII Hold  %,Chg in FII Hold  %,DII Hold  %,Chg in DII Hold  %,Symbol
P I Industries,3621.1,40.69,54938.65,0.28,382.9,45.92,1910.4,23.79,21.69,Agro Chemicals,7.63,15.11,0.01,18.46,46.09,3.04,0.0,28.91,52742.25,15.17,474.47,2.65,2.78,0.0,9,5,0.8,1.13,46.09,20.65,43.4,3.09,,71.26,18.91,974.67,100.9,86.1,43.4,143.59,10.77,19.17,0.58,23.8,-0.26,NSE : PIIND
UPL,603.0,16.65,45261.64,1.66,102.0,-102.45,8963.0,-17.17,15.7,Agro Chemicals,1.52,5.42,0.8,13.41,32.35,11.56,0.0,28.91,63149.64,75.06,397.6,2.1,0.96,0.0,7,3,0.64,2.79,32.35,12.93,124.16,3.09,,67.91,8.48,583.73,75.6,235.66,124.16,187.11,14.44,37.96,-0.73,15.24,0.85,NSE : UPL
Sumitomo Chemi.,438.95,51.33,21910.0,0.27,61.78,-55.36,724.24,-26.53,30.24,Agro Chemicals,9.21,15.79,0.01,23.39,75.0,2.61,0.0,28.91,21641.45,49.91,47.68,2.31,1.78,0.0,7,3,1.1,1.34,75.0,24.67,98.35,3.09,,138.01,16.75,95.78,168.29,86.84,98.35,156.78,16.96,2.51,0.11,5.5,0.0,NSE : SUMICHEM
Bayer Crop Sci.,4790.45,30.42,21529.28,2.71,328.5,8.56,1739.6,4.33,33.66,Agro Chemicals,7.94,15.02,0.03,25.91,71.43,4.52,0.0,34.23,20734.78,4.49,603.47,1.49,1.15,0.0,8,3,1.14,1.67,71.43,26.98,69.28,6.43,,88.55,20.01,1539.13,207.66,129.37,69.28,267.74,12.32,3.18,0.0,13.06,0.32,NSE : BAYERCROP
Rallis India,235.25,52.22,4574.88,1.28,63.0,-4.92,782.0,-9.39,7.77,Agro Chemicals,2.64,3.25,0.08,5.37,50.09,2.92,0.0,28.91,4665.53,19.45,88.96,2.23,0.64,0.0,6,1,1.05,1.63,50.09,7.8,61.34,3.09,,61.89,4.86,94.96,102.05,117.03,61.34,157.74,28.28,7.69,0.6,13.51,-0.96,NSE : RALLIS
Sharda Cropchem,449.7,17.59,4057.22,1.33,-88.64,-491.52,637.75,-22.65,20.75,Agro Chemicals,1.82,8.15,0.0,15.89,74.82,8.08,0.0,28.91,3878.31,9.02,247.4,2.82,1.06,0.0,6,3,1.0,1.81,74.82,17.93,165.42,3.09,,97.16,7.21,377.25,134.39,175.76,165.42,144.73,10.44,2.0,-0.14,12.75,-0.18,NSE : SHARDACROP
Bharat Rasayan,9435.65,40.0,3920.77,0.02,7.09,-81.2,239.2,-26.94,19.81,Agro Chemicals,4.39,11.85,0.03,15.38,74.99,3.6,0.64,28.91,3915.07,0.42,2149.81,2.89,2.57,0.0,6,2,1.14,1.21,74.51,15.69,96.14,3.09,,172.91,13.13,3308.62,204.15,32.54,96.14,140.56,,,,,,NSE : BHARATRAS
Dhanuka Agritech,789.1,16.55,3596.59,0.25,32.94,-32.93,369.07,-6.02,27.01,Agro Chemicals,3.39,15.86,0.03,21.32,70.18,7.91,0.0,28.91,3625.83,4.56,232.85,2.98,1.53,0.0,6,4,1.25,1.28,70.18,32.21,72.78,3.09,,108.63,20.42,496.87,133.08,62.22,72.78,122.52,9.03,3.55,-0.5,17.24,0.61,NSE : DHANUKA
India Pesticides,296.55,28.7,3415.17,0.25,15.89,-61.59,201.44,-7.79,27.8,Agro Chemicals,4.41,16.99,0.01,20.43,67.2,4.93,0.0,28.91,3361.69,11.52,67.3,2.79,2.85,54.2,5,3,1.04,1.1,67.2,21.41,108.09,3.09,,165.26,18.1,125.08,203.04,80.4,108.09,175.35,30.61,0.39,-0.06,1.81,0.0,NSE : INDIANB
Best Agrolife,1187.1,11.57,2806.87,0.17,90.5,125.52,612.23,32.03,34.43,Agro Chemicals,5.32,15.63,1.08,44.83,50.1,10.9,0.0,28.91,3286.72,2.36,223.03,2.15,0.56,0.0,5,4,1.42,2.33,50.1,21.27,72.94,3.09,,157.01,24.28,717.43,191.36,88.19,72.94,206.61,36.5,10.84,-0.64,2.55,-0.03,BSE: 539660
SpiceJet,31.06,,1869.33,0.0,204.56,125.93,2001.74,-18.52,-24.45,Air Transport Service,,-15.18,,,58.98,-0.12,0.0,22.01,9183.94,60.18,-53.69,32.26,0.2,0.0,6,3,0.9,-3.06,58.98,-231.57,45.24,3.28,,-147.17,-0.11,,45.24,,45.24,,40.67,0.35,-0.08,0.01,0.0,BSE: 500285
Jet Airways,64.4,,731.58,0.0,-50.65,87.02,37.57,199.84,,Air Transport Service,,-17.59,,,24.99,-16.7,0.0,22.01,3945.61,11.36,-1541.1,0.0,0.12,,3,5,0.01,-0.33,24.99,,38.76,3.28,,-118286.35,-11.7,,38.76,,38.76,,46.66,0.2,-0.02,28.15,0.0,NSE - BZ : JETAIRWAYS
