Company Name,Asset Type,Percentage Allocation,Fund Type
HDFC Bank Ltd.,Equity,5.99%,Aggressive Hybrid Fund
ICICI Bank Ltd.,Equity,5.88%,Aggressive Hybrid Fund
Infosys Ltd.,Equity,3.43%,Aggressive Hybrid Fund
Reliance Industries Ltd.,Equity,3.25%,Aggressive Hybrid Fund
Bharti Airtel Ltd.,Equity,2.28%,Aggressive Hybrid Fund
Sun Pharmaceuticals Ind Ltd.,Equity,2.24%,Aggressive Hybrid Fund
Axis Bank Ltd.,Equity,2.12%,Aggressive Hybrid Fund
State Bank Of India,Equity,2.07%,Aggressive Hybrid Fund
IRB Invit Fund,Others,2.05%,Aggressive Hybrid Fund
Larsen & Toubro Ltd.,Equity,1.73%,Aggressive Hybrid Fund
Eris Lifesciences Ltd.,Equity,1.61%,Aggressive Hybrid Fund
Coforge Ltd.,Equity,1.58%,Aggressive Hybrid Fund
Mahindra & Mahindra Ltd.,Equity,1.56%,Aggressive Hybrid Fund
Titan Company Ltd.,Equity,1.52%,Aggressive Hybrid Fund
Bharat Electronics Ltd.,Equity,1.43%,Aggressive Hybrid Fund
Bajaj Finance Ltd.,Equity,1.40%,Aggressive Hybrid Fund
United Spirits Ltd.,Equity,1.30%,Aggressive Hybrid Fund
Apollo Hospitals Enterprise Ltd.,Equity,1.24%,Aggressive Hybrid Fund
Ultratech Cement Ltd.,Equity,1.24%,Aggressive Hybrid Fund
Ltimindtree Ltd.,Equity,1.21%,Aggressive Hybrid Fund
7.8 HDFC Bank Ltd. May  3 2033,Debt,1.21%,Aggressive Hybrid Fund
Cholamandalam Investment & Finance Company Ltd.,Equity,1.20%,Aggressive Hybrid Fund
Tata Motors Ltd.,Equity,1.16%,Aggressive Hybrid Fund
Siemens Ltd.,Equity,1.13%,Aggressive Hybrid Fund
LIC Housing Finance Ltd.,Equity,1.06%,Aggressive Hybrid Fund
Maruti Suzuki India Ltd.,Equity,1.01%,Aggressive Hybrid Fund
Tata Consumer Products Ltd.,Equity,0.92%,Aggressive Hybrid Fund
Rolex Rings Ltd.,Equity,0.88%,Aggressive Hybrid Fund
Godrej Consumer Products Ltd.,Equity,0.88%,Aggressive Hybrid Fund
Sundram Fasteners Ltd.,Equity,0.87%,Aggressive Hybrid Fund
ITC Ltd.,Equity,0.82%,Aggressive Hybrid Fund
7.32 GOI Nov 13 2030,Debt,0.81%,Aggressive Hybrid Fund
Hindalco Industries Ltd.,Equity,0.79%,Aggressive Hybrid Fund
Net Receivables/(Payable),Others,0.78%,Aggressive Hybrid Fund
Honeywell Automation India Ltd.,Equity,0.77%,Aggressive Hybrid Fund
Endurance Technologies Ltd.,Equity,0.73%,Aggressive Hybrid Fund
Cyient Ltd.,Equity,0.72%,Aggressive Hybrid Fund
Ambuja Cements Ltd.,Equity,0.70%,Aggressive Hybrid Fund
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.69%,Aggressive Hybrid Fund
Kalpataru Projects International Ltd.,Equity,0.68%,Aggressive Hybrid Fund
CBLO(CCIL),Others,0.67%,Aggressive Hybrid Fund
Union Bank Of India,Equity,0.67%,Aggressive Hybrid Fund
7.7 TMF Holdings Ltd. Feb 25 2025,Debt,0.66%,Aggressive Hybrid Fund
Nestle India Ltd.,Equity,0.65%,Aggressive Hybrid Fund
Sanofi India Ltd.,Equity,0.65%,Aggressive Hybrid Fund
Clean Science & Technology Ltd.,Equity,0.65%,Aggressive Hybrid Fund
GOI,Debt,0.62%,Aggressive Hybrid Fund
Gland Pharma Ltd.,Equity,0.62%,Aggressive Hybrid Fund
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.61%,Aggressive Hybrid Fund
ABB India Ltd.,Equity,0.61%,Aggressive Hybrid Fund
7.17 GOI Apr 17 2030,Debt,0.61%,Aggressive Hybrid Fund
Polycab India Ltd.,Equity,0.60%,Aggressive Hybrid Fund
Interglobe Aviation Ltd.,Equity,0.57%,Aggressive Hybrid Fund
Rategain Travel Technologies Ltd.,Equity,0.57%,Aggressive Hybrid Fund
Gillette India Ltd.,Equity,0.57%,Aggressive Hybrid Fund
National Thermal Power Corporation Ltd.,Equity,0.56%,Aggressive Hybrid Fund
SRF Ltd.,Equity,0.56%,Aggressive Hybrid Fund
Fortis Healthcare Ltd.,Equity,0.55%,Aggressive Hybrid Fund
7.33 GOI Sep 22 2033,Debt,0.55%,Aggressive Hybrid Fund
7.26 GOI Feb  6 2033,Debt,0.54%,Aggressive Hybrid Fund
UNO Minda Ltd.,Equity,0.54%,Aggressive Hybrid Fund
Hindustan Unilever Ltd.,Equity,0.52%,Aggressive Hybrid Fund
5.83 State Bank Of India Oct 25 2030,Debt,0.52%,Aggressive Hybrid Fund
Avenue Supermarts Ltd.,Equity,0.50%,Aggressive Hybrid Fund
7.35 HDFC Bank Ltd. Feb 10 2025,Debt,0.47%,Aggressive Hybrid Fund
Go Fashion (India) Ltd.,Equity,0.45%,Aggressive Hybrid Fund
PI Industries Ltd.,Equity,0.45%,Aggressive Hybrid Fund
7.71 LIC Housing Finance Ltd. May  9 2033,Debt,0.43%,Aggressive Hybrid Fund
Voltas Ltd.,Equity,0.43%,Aggressive Hybrid Fund
Max Financial Services Ltd.,Equity,0.41%,Aggressive Hybrid Fund
7.86 Nexus Select Trust Jun 16 2026,Debt,0.40%,Aggressive Hybrid Fund
Tata Steel Ltd.,Equity,0.40%,Aggressive Hybrid Fund
Atul Ltd.,Equity,0.39%,Aggressive Hybrid Fund
Sobha Ltd.,Equity,0.39%,Aggressive Hybrid Fund
Fsn ECommerce Ventures Ltd.,Equity,0.39%,Aggressive Hybrid Fund
Zomato Ltd.,Equity,0.39%,Aggressive Hybrid Fund
7.44 Haryana SDL  Aug 30 2033,Debt,0.38%,Aggressive Hybrid Fund
Kotak Mahindra Bank Ltd.,Equity,0.37%,Aggressive Hybrid Fund
7.18 GOI Jul 24 2037,Debt,0.37%,Aggressive Hybrid Fund
