Company Name,Asset Type,Percentage Allocation,Portfolio Date,Scheme Name,Fund Type
HDFC Bank Ltd.,Equity,5.99%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
ICICI Bank Ltd.,Equity,5.88%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Infosys Ltd.,Equity,3.43%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Reliance Industries Ltd.,Equity,3.25%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Bharti Airtel Ltd.,Equity,2.28%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Sun Pharmaceuticals Ind Ltd.,Equity,2.24%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Axis Bank Ltd.,Equity,2.12%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
State Bank Of India,Equity,2.07%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
IRB Invit Fund,Others,2.05%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Larsen & Toubro Ltd.,Equity,1.73%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Eris Lifesciences Ltd.,Equity,1.61%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Coforge Ltd.,Equity,1.58%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Mahindra & Mahindra Ltd.,Equity,1.56%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Titan Company Ltd.,Equity,1.52%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Bharat Electronics Ltd.,Equity,1.43%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Bajaj Finance Ltd.,Equity,1.40%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
United Spirits Ltd.,Equity,1.30%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Apollo Hospitals Enterprise Ltd.,Equity,1.24%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Ultratech Cement Ltd.,Equity,1.24%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Ltimindtree Ltd.,Equity,1.21%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.8 HDFC Bank Ltd. May  3 2033,Debt,1.21%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Cholamandalam Investment & Finance Company Ltd.,Equity,1.20%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Tata Motors Ltd.,Equity,1.16%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Siemens Ltd.,Equity,1.13%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
LIC Housing Finance Ltd.,Equity,1.06%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Maruti Suzuki India Ltd.,Equity,1.01%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Tata Consumer Products Ltd.,Equity,0.92%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Rolex Rings Ltd.,Equity,0.88%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Godrej Consumer Products Ltd.,Equity,0.88%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Sundram Fasteners Ltd.,Equity,0.87%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
ITC Ltd.,Equity,0.82%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.32 GOI Nov 13 2030,Debt,0.81%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Hindalco Industries Ltd.,Equity,0.79%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Net Receivables/(Payable),Others,0.78%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Honeywell Automation India Ltd.,Equity,0.77%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Endurance Technologies Ltd.,Equity,0.73%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Cyient Ltd.,Equity,0.72%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Ambuja Cements Ltd.,Equity,0.70%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Crompton Greaves Consumer Electrcials Ltd.,Equity,0.69%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Kalpataru Projects International Ltd.,Equity,0.68%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
CBLO(CCIL),Others,0.67%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Union Bank Of India,Equity,0.67%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.7 TMF Holdings Ltd. Feb 25 2025,Debt,0.66%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Nestle India Ltd.,Equity,0.65%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Sanofi India Ltd.,Equity,0.65%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Clean Science & Technology Ltd.,Equity,0.65%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
GOI,Debt,0.62%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Gland Pharma Ltd.,Equity,0.62%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Shriram Finance Ltd.(Erstwhile Shriram Transport Finance Company Limited),Equity,0.61%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
ABB India Ltd.,Equity,0.61%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.17 GOI Apr 17 2030,Debt,0.61%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Polycab India Ltd.,Equity,0.60%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Interglobe Aviation Ltd.,Equity,0.57%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Rategain Travel Technologies Ltd.,Equity,0.57%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Gillette India Ltd.,Equity,0.57%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
National Thermal Power Corporation Ltd.,Equity,0.56%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
SRF Ltd.,Equity,0.56%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Fortis Healthcare Ltd.,Equity,0.55%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.33 GOI Sep 22 2033,Debt,0.55%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.26 GOI Feb  6 2033,Debt,0.54%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
UNO Minda Ltd.,Equity,0.54%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Hindustan Unilever Ltd.,Equity,0.52%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
5.83 State Bank Of India Oct 25 2030,Debt,0.52%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Avenue Supermarts Ltd.,Equity,0.50%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.35 HDFC Bank Ltd. Feb 10 2025,Debt,0.47%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Go Fashion (India) Ltd.,Equity,0.45%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
PI Industries Ltd.,Equity,0.45%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.71 LIC Housing Finance Ltd. May  9 2033,Debt,0.43%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Voltas Ltd.,Equity,0.43%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Max Financial Services Ltd.,Equity,0.41%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.86 Nexus Select Trust Jun 16 2026,Debt,0.40%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Tata Steel Ltd.,Equity,0.40%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Atul Ltd.,Equity,0.39%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Sobha Ltd.,Equity,0.39%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Fsn ECommerce Ventures Ltd.,Equity,0.39%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
Zomato Ltd.,Equity,0.39%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
7.44 Haryana SDL  Aug 30 2033,Debt,0.38%,31/12/2023,Aditya Birla Sun Life Equity Hybrid 95 Fund,Aggressive Hybrid Fund
