fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Bank of India Mutual Fund,Others,ELSS,141950,BANK OF INDIA Mid Cap Tax Fund Series 1 Direct Plan Growth
Bank of India Mutual Fund,Others,ELSS,144315,BANK OF INDIA Midcap Tax Fund Series 2 Direct Plan Growth
SBI Mutual Fund,Others,ELSS,136007,SBI Long Term Advantage Fund - Series III - Direct Plan - Growth
SBI Mutual Fund,Others,ELSS,140487,SBI Long Term Advantage Fund - Series IV - Direct Plan - Growth
SBI Mutual Fund,Others,ELSS,142138,SBI Long Term Advantage Fund - Series V - Direct Plan - Growth
SBI Mutual Fund,Others,ELSS,143178,SBI Long Term Advantage Fund - Series VI - Direct Plan - Growth
SBI Mutual Fund,Others,ELSS,126279,SBI Tax Advantage Fund - Series III - Direct Plan - Growth Option
Sundaram Mutual Fund,Others,ELSS,139711,Sundaram Long Term Micro Cap Tax Advantage Fund Series III Direct Plan - Growth
Sundaram Mutual Fund,Others,ELSS,139990,Sundaram Long Term Micro Cap Tax Advantage Fund Series IV Direct Plan - Growth
Sundaram Mutual Fund,Others,ELSS,141564,Sundaram Long Term Micro Cap Tax Advantage Fund Series VI Direct Plan - Growth
Sundaram Mutual Fund,Others,ELSS,141141,Sundaram Long Term Micro Cap Tax Advantage Fund Series V Direct Plan - Growth
Sundaram Mutual Fund,Others,ELSS,133324,Sundaram Long Term Tax Advantage Fund Series I Direct Plan - Growth
Sundaram Mutual Fund,Others,ELSS,142153,Sundaram Long Term Tax Advantage Fund Series III Direct Plan - Growth
Sundaram Mutual Fund,Others,ELSS,143079,Sundaram Long Term Tax Advantage Fund Series IV Direct Plan - Growth
Sundaram Mutual Fund,Others,ELSS,135682,Sundaram Long Term Tax Advantage Fund Series II Direct Plan - Growth
UTI Mutual Fund,Others,ELSS,135962,UTI Long Term Advantage Fund Series III - Direct Plan - Growth Option
UTI Mutual Fund,Others,ELSS,140046,UTI Long Term Advantage Fund Series IV - Direct Plan - Growth Option
UTI Mutual Fund,Others,ELSS,140454,UTI Long Term Advantage Fund Series V - Direct Plan - Growth Option
UTI Mutual Fund,Others,ELSS,141892,UTI Long Term Advantage Fund Series VI - Direct Plan - Growth Option
