fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,134385,Aditya Birla Sun Life Credit Risk Fund - Direct - IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,134388,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Bonus
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,134387,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,134386,Aditya Birla Sun Life Credit Risk Fund - Regular - IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,134384,Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Bonus
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,134383,Aditya Birla Sun Life Credit Risk Fund - Regular Plan - Growth
Axis Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,130314,Axis Credit Risk Fund - Direct Plan - Growth
Axis Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,130312,Axis Credit Risk Fund - Direct Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,130311,Axis Credit Risk Fund - Direct Plan - Weekly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,130309,Axis Credit Risk Fund - Regular Plan - Growth
Axis Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,130313,Axis Credit Risk Fund - Regular Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,130310,Axis Credit Risk Fund - Regular Plan - Weekly IDCW
IDFC Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,140605,IDFC Credit Risk Fund-Direct Plan-Half Yearly Dividend
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,140608,BANDHAN Credit Risk Fund - Regular Plan Annual IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,140609,BANDHAN Credit Risk Fund - Regular Plan Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,140611,BANDHAN Credit Risk Fund - Regular Plan Half Yearly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,140612,BANDHAN Credit Risk Fund - Regular Plan Periodic IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,140607,BANDHAN Credit Risk Fund - Regular Plan Quarterly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,140610,BANDHAN Credit Risk Fund-Direct Plan-Annual IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,140603,BANDHAN Credit Risk Fund-Direct Plan-Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,140606,BANDHAN Credit Risk Fund-Direct Plan-Periodic IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,140604,BANDHAN Credit Risk Fund-Direct Plan-Quarterly IDCW
Bank of India Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,133868,BANK OF INDIA Credit Risk  Fund - Direct Plan
Bank of India Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,133867,BANK OF INDIA Credit Risk Fund - Regular Plan
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,133520,Baroda BNP Paribas Credit Risk Fund -Direct- Monthly IDCW
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,133524,Baroda BNP Paribas Credit Risk Fund -Direct- Quarterly IDCW
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,133488,Baroda BNP Paribas Credit Risk Fund -Direct-Growth Option
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,133486,Baroda BNP Paribas Credit Risk Fund -Regular-Growth Option
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,133517,Baroda BNP Paribas Credit Risk Fund -Regular-Monthly IDCW
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,133518,Baroda BNP Paribas Credit Risk Fund -Regular-Quarterly IDCW
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,148333,Baroda BNP Paribas Credit Risk Fund- Direct- Growth Option- Segregated Portfolio- 1
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,148334,Baroda BNP Paribas Credit Risk Fund- Direct- Monthly IDCW Option- Segregated Portfolio- 1
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,148330,Baroda BNP Paribas Credit Risk Fund- Regular- Growth Option- Segregated Portfolio- 1
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,148331,Baroda BNP Paribas Credit Risk Fund- Regular- Monthly IDCW Option- Segregated Portfolio- 1
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,148332,Baroda BNP Paribas Credit Risk Fund- Regular- Quarterly IDCW Option- Segregated Portfolio- 1
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,148335,Baroda BNP Paribas Credit Risk Fund-Direct- Quarterly IDCW Option- Segregated Portfolio- 1
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,119084,DSP Credit Risk Fund - Direct Plan -  IDCW - Monthly
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,119082,DSP Credit Risk Fund - Direct Plan - Growth
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,119083,DSP Credit Risk Fund - Direct Plan - IDCW
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,119087,DSP Credit Risk Fund - Direct Plan - IDCW - Daily
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,119085,DSP Credit Risk Fund - Direct Plan - IDCW - Quarterly 
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,119086,DSP Credit Risk Fund - Direct Plan - IDCW - Weekly
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,101839,DSP Credit Risk Fund - Regular Plan - IDCW
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,101840,DSP Credit Risk Fund - Regular Plan - IDCW - Daily
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,117061,DSP Credit Risk Fund - Regular Plan - IDCW - Monthly
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,117062,DSP Credit Risk Fund - Regular Plan - IDCW - Quarterly 
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,101838,DSP Credit Risk Fund - Regular Plan - IDCW - Weekly
DSP Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,101837,DSP Credit Risk Fund - Regular Plan -Growth
Franklin Templeton Mutual Fund,Debt scheme,Debt Scheme - Credit Risk Fund,118553,Franklin India Credit Risk Fund - Direct - Growth
