fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,122645,Aditya Birla Sun Life Floating Rate Fund-Direct - daily IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,122648,Aditya Birla Sun Life Floating Rate Fund-Direct - weekly IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,122646,Aditya Birla Sun Life Floating Rate Fund-Direct Plan-Growth
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,122643,Aditya Birla Sun Life Floating Rate Fund-Regular - DAILY IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,122647,Aditya Birla Sun Life Floating Rate Fund-REGULAR - WEEKLY IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,122644,Aditya Birla Sun Life Floating Rate Fund-Regular Plan-Growth
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,122649,Aditya Birla Sun Life Floating Rate Fund-RETAIL - WEEKLY IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,122650,Aditya Birla Sun Life Floating Rate Fund-Retail Plan-Growth
Axis Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,149055,Axis Floater Fund - Direct Plan - Annual IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,149050,Axis Floater Fund - Direct Plan - Daily IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,149049,Axis Floater Fund - Direct Plan - Growth
Axis Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,149051,Axis Floater Fund - Direct Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,149052,Axis Floater Fund - Direct Plan - Quarterly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,149047,Axis Floater Fund - Regular Plan - Annual IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,149054,Axis Floater Fund - Regular Plan - Daily IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,149048,Axis Floater Fund - Regular Plan - Growth
Axis Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,149053,Axis Floater Fund - Regular Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,149046,Axis Floater Fund - Regular Plan - Quarterly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148717,BANDHAN FLOATING RATE FUND  - DIRECT PLAN ANNUAL IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148714,BANDHAN FLOATING RATE FUND  - DIRECT PLAN DAILY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148711,BANDHAN FLOATING RATE FUND  - DIRECT PLAN GROWTH
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148713,BANDHAN FLOATING RATE FUND  - DIRECT PLAN MONTHLY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148712,BANDHAN FLOATING RATE FUND  - DIRECT PLAN QUARTERLY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148716,BANDHAN FLOATING RATE FUND  - DIRECT PLAN WEEKLY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148718,BANDHAN FLOATING RATE FUND  - REGULAR PLAN ANNUAL IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148710,BANDHAN FLOATING RATE FUND  - REGULAR PLAN DAILY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148705,BANDHAN FLOATING RATE FUND  - REGULAR PLAN GROWTH
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148707,BANDHAN FLOATING RATE FUND  - REGULAR PLAN MONTHLY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148709,BANDHAN FLOATING RATE FUND  - REGULAR PLAN PERIODIC IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148706,BANDHAN FLOATING RATE FUND  - REGULAR PLAN QUARTERLY IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148708,BANDHAN FLOATING RATE FUND  - REGULAR PLAN WEEKLY IDCW
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,151735,Baroda BNP Paribas Floater Fund - Direct Plan - Growth Option
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,151736,Baroda BNP Paribas Floater Fund - Direct Plan - Weekly IDCW Option
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,151734,Baroda BNP Paribas Floater Fund - Regular Plan - Growth option
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,151733,Baroda BNP Paribas Floater Fund - Regular Plan - Weekly IDCW option
DSP Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148771,DSP Floater Fund - Direct Plan - Growth
DSP Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148769,DSP Floater Fund - Direct Plan - IDCW
DSP Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148768,DSP Floater Fund - Regular Plan - Growth
DSP Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,148770,DSP Floater Fund - Regular Plan - IDCW
Franklin Templeton Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,118508,Franklin India Floating Rate Fund - Direct - Growth
Franklin Templeton Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,118507,Franklin India Floating Rate Fund - Direct - IDCW 
Franklin Templeton Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,101048,Franklin India Floating Rate Fund - Growth Plan
Franklin Templeton Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,101044,Franklin India Floating Rate Fund - IDCW 
HDFC Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,106838,HDFC Floating Rate Debt Fund - Daily IDCW Option
HDFC Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,118961,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option
HDFC Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,118960,HDFC Floating Rate Debt Fund - Direct Plan - Monthly IDCW
HDFC Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,106841,HDFC Floating Rate Debt Fund - Growth Option
HDFC Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,106839,HDFC Floating Rate Debt Fund - Monthly IDCW Option
HDFC Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,106840,HDFC Floating Rate Debt Fund - Weekly IDCW Option
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Floater Fund,130899,ICICI Prudential Floating Interest Fund - Bonus
