fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,108646,BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Quarterly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,108753,BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,111343,BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Weekly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,108644,BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Monthly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131391,BANDHAN Government Securities Fund - Constant Maturity Plan - Regular Plan - Periodic IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,118387,BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,118390,BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Monthly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131390,BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Periodic IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,118388,BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Quarterly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,118389,BANDHAN Government Securities Fund - Constant Maturity Plan -Direct Plan-Weekly IDCW
DSP Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131301,DSP 10Y G-Sec Fund - Direct Plan - Growth
DSP Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131304,DSP 10Y G-Sec Fund - Direct Plan - IDCW
DSP Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131303,DSP 10Y G-Sec Fund - Direct Plan - IDCW - Monthly
DSP Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131302,DSP 10Y G-Sec Fund - Direct Plan - IDCW - Quarterly
DSP Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131297,DSP 10Y G-Sec Fund - Regular Plan - Growth
DSP Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131298,DSP 10Y G-Sec Fund - Regular Plan - IDCW
DSP Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131299,DSP 10Y G-Sec Fund - Regular Plan - IDCW - Monthly
DSP Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131300,DSP 10Y G-Sec Fund - Regular Plan - IDCW - Quarterly 
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131059,ICICI Prudential Constant Maturity Gilt Fund - Annual IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131056,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Annual IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131061,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Growth
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131055,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Half Yearly IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund with 10 year constant duration,131053,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Monthly IDCW
