fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,119606,Aditya Birla Sun Life Govenment Securities Fund -DIRECT - Quarterly IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,119605,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan
Axis Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,120447,Axis Gilt Fund - Direct Plan - Growth Option
Axis Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,120448,Axis Gilt Fund - Direct Plan - Half Yearly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,120449,Axis Gilt Fund - Direct Plan - Regular IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,116471,Axis Gilt Fund - Regular Plan - Growth Option
Axis Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,116472,Axis Gilt Fund - Regular Plan - Half Yearly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,116470,Axis Gilt Fund - Regular Plan - Regular IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,108558,BANDHAN Government Securities Fund - IP - Regular - Plan B - Half Yearly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,108559,BANDHAN Government Securities Fund - IP - Regular Plan - Annual IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,108557,BANDHAN Government Securities Fund - IP - Regular Plan - Quarterly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,131395,BANDHAN Government Securities Fund - IP - Regular -Plan B - Periodic IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,111525,BANDHAN Government Securities Fund - IP - Regular Plan - Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,111527,BANDHAN Government Securities Fund - IP - Regular Plan - IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,118467,BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Annual IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,118464,BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,118465,BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Half Yearly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,118463,BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,131394,BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Periodic IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Gilt Fund,118466,BANDHAN Government Securities Fund-  Investment Plan-Direct Plan-Quarterly IDCW
