fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Axis Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,128954,Axis Liquid Fund - Direct plan - Bonus Option
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,139344,Baroda BNP Paribas Liquid Fund - Plan C
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,101409,Baroda BNP Paribas LIQUID FUND-Defunct Plan-Daily IDCW Option
Franklin Templeton Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,102441,Franklin India Liquid Fund - Institution-Growth
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,100357,ICICI Prudential Liquid Fund -Quarterly IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,100359,ICICI Prudential Liquid Institutional Plus Fund - Div - Daily
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,120198,ICICI Prudential Liquid Fund - Direct Plan -  Annual IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,120187,ICICI Prudential Liquid Fund - Direct Plan -  Half Yearly IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,120189,ICICI Prudential Liquid Fund - Direct Plan - Monthly IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,120196,ICICI Prudential Liquid Fund - Direct Plan - Quarterly IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,130934,ICICI Prudential Liquid Fund - Direct Plan Bonus
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,104308,ICICI Prudential Liquid Fund - Half Yearly IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,103344,ICICI Prudential Liquid Fund - Institutional Option - I
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,139434,ICICI Prudential Liquid Fund - Unclaimed IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,139432,ICICI Prudential Liquid Fund - Unclaimed IDCW Investor Education
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,139433,ICICI Prudential Liquid Fund - Unclaimed Redemption
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,139431,ICICI Prudential Liquid Fund - Unclaimed Redemption Investor Education
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,103341,ICICI Prudential Liquid Fund -Monthly IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,112119,ICICI Prudential Liquid Fund-Annual IDCW
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,101748,ICICI Prudential Liquid Fund - Institutional - Daily - Div
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,101754,ICICI Prudential Liquid Fund Retail Daily Dividend
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,101750,ICICI Prudential Liquid Fund Retail Growth
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,101755,ICICI Prudential Liquid Fund Retail Monthly Dividend
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,101752,ICICI Prudential Liquid Fund Retail Weekly Dividend
ICICI Prudential Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,101751,ICICI Prudential Liquid Institutional Fund - Growth
ITI Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,147160,ITI Liquid Fund - Direct Plan - Fortnightly IDCW Option
JM Financial Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,139258,JM Liquid Fund Unclaimed Dividend (Direct) Growth Plan
JM Financial Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,139260,JM Liquid Fund Unclaimed Dividend IEF (Direct) Growth Plan
JM Financial Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,139257,JM Liquid Fund Unclaimed Redemption (Direct) Growth Plan
JM Financial Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,139259,JM Liquid Fund Unclaimed Redemption IEF (Direct) Growth Plan
Kotak Mahindra Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,100834,Kotak Liquid Regular Plan Weekly Reinvestment of Income Distribution cum capital withdrawal option Dividend
Kotak Mahindra Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,100830,Kotak Liquid-Institutional Plan  (Growth)
Kotak Mahindra Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,100832,Kotak Liquid-Institutional Plan (Weekly Dividend)
Kotak Mahindra Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,100828,Kotak Liquid-Regular (Dividend)
Kotak Mahindra Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,100829,Kotak Liquid-Regular (Growth)
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138306,DHFL Pramerica INSTA CASH FUND - Annual Bonus Option
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138305,DHFL Pramerica Insta Cash Fund - Direct Plan -  Annual Bonus Option
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138296,DHFL Pramerica Insta Cash Fund - Direct Plan - Annual Dividend
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138300,DHFL Pramerica Insta Cash Fund - Direct Plan - Quarterly Dividend
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138294,DHFL Pramerica Insta Cash Fund - Quarterly Dividend Option
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138292,DHFL Pramerica Insta Cash Fund- Annual Dividend Option
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138278,DHFL Pramerica Insta Cash Fund-DIVIDEND-WEEKLY DIVIDEND
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138283,DHFL Pramerica Insta Cash Fund-Institutional Plan-Daily Dividend
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138282,DHFL Pramerica Insta Cash Fund-Institutional Plan-Growth
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138304,DHFL Pramerica INSTA CASH FUND-Monthly Bonus Option
PGIM India Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138286,PGIM India INSTA CASH FUND - BONUS OPTION
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138280,DHFL Pramerica Insta Cash Fund-DIVIDEND-Daily Dividend
DHFL Pramerica Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,138281,DHFL Pramerica Insta Cash Fund-Growth-GROWTH
SBI Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,105278,SBI Liquid Fund - Institutional  - Weekly Dividend
Taurus Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,104240,Taurus Liquid Fund-Dividend
Taurus Mutual Fund,Debt scheme,Debt Scheme - Liquid Fund,104241,Taurus Liquid Fund-Growth
