fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,119523,Aditya Birla Sun Life Low duration Fund - Growth - Direct Plan
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,103192,Aditya Birla Sun Life Low Duration Fund - Growth Plan
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,103195,Aditya Birla Sun Life Low Duration Fund - Institutional Plan - Growth
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,119524,Aditya Birla Sun Life Low Duration Fund -Direct - daily IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,119522,Aditya Birla Sun Life Low Duration Fund -Direct - weekly IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,103191,Aditya Birla Sun Life Low Duration Fund -INSTITUTIONAL - DAILY IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,103194,Aditya Birla Sun Life Low Duration Fund - Institutional Plan - Weekly Dividend
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,113307,Aditya Birla Sun Life Low Duration Fund -Regular - DAILY IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,103193,Aditya Birla Sun Life Low Duration Fund -REGULAR - WEEKLY IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,128961,Axis Treasury Advantage Fund - Direct Plan - Bonus Option
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,120515,Axis Treasury Advantage Fund - Direct Plan - Daily IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,120513,Axis Treasury Advantage Fund - Direct Plan - Growth Option
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,120516,Axis Treasury Advantage Fund - Direct Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,120514,Axis Treasury Advantage Fund - Direct Plan - Weekly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,112215,Axis Treasury Advantage Fund - Regular Plan - Daily IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,112214,Axis Treasury Advantage Fund - Regular Plan - Growth Option
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,112217,Axis Treasury Advantage Fund - Regular Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,112216,Axis Treasury Advantage Fund - Regular Plan - Weekly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,112720,Axis Treasury Advantage Fund - Retail Plan - Daily IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,112717,Axis Treasury Advantage Fund - Retail Plan - Growth Option
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,112718,Axis Treasury Advantage Fund - Retail Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,112719,Axis Treasury Advantage Fund - Retail Plan - Weekly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,108633,BANDHAN Low Duration Fund - Regular Plan - Daily IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,108632,BANDHAN Low Duration Fund - Regular Plan - Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,108635,BANDHAN Low Duration Fund - Regular Plan - Monthly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,116020,BANDHAN Low Duration Fund - Regular Plan - Periodic IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,116413,BANDHAN Low Duration Fund - Regular Plan - Quarterly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,108634,BANDHAN Low Duration Fund - Regular Plan - Weekly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,118368,BANDHAN Low Duration Fund-Direct Plan-Daily IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,118371,BANDHAN Low Duration Fund-Direct Plan-Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,118372,BANDHAN Low Duration Fund-Direct Plan-Monthly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,118370,BANDHAN Low Duration Fund-Direct Plan-Periodic IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,118369,BANDHAN Low Duration Fund-Direct Plan-Quarterly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,118373,BANDHAN Low Duration Fund-Direct Plan-Weekly IDCW
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,150168,BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Daily IDCW Option
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,150169,BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Growth Option
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,150170,BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Monthly IDCW Option
Baroda BNP Paribas Mutual Fund,Debt scheme,Debt Scheme - Low Duration Fund,150171,BARODA BNP PARIBAS LOW DURATION Fund - Direct Plan - Weekly IDCW Option
