fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,111777,Aditya Birla Sun Life Income Fund (Discipline Advantage Plan)
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,133446,Aditya Birla Sun Life Income Fund - Direct - IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,119655,Aditya Birla Sun Life Income Fund - Direct - Quarterly IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,119657,Aditya Birla Sun Life Income Fund - Growth - Direct Plan
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,133445,Aditya Birla Sun Life Income Fund - Regular - IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,108766,BANDHAN Bond Fund - Income Plan - Regular Plan - Annual IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,108765,BANDHAN Bond Fund - Income Plan - Regular Plan - Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,108763,BANDHAN Bond Fund - Income Plan - Regular Plan - Half-yearly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,131387,BANDHAN Bond Fund - Income Plan - Regular Plan - Periodic IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,108764,BANDHAN Bond Fund - Income Plan - Regular Plan - Quarterly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,118393,BANDHAN Bond Fund - Income Plan-Direct Plan-Annual IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,118394,BANDHAN Bond Fund - Income Plan-Direct Plan-Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,118395,BANDHAN Bond Fund - Income Plan-Direct Plan-Half Yearly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,131386,BANDHAN Bond Fund - Income Plan-Direct Plan-Periodic IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,118396,BANDHAN Bond Fund - Income Plan-Direct Plan-Quarterly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,108768,BANDHAN Bond Fund - Short Term - Regular Plan - Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,108767,BANDHAN Bond Fund - Short Term - Regular Plan - Monthly IDCW
Bank of India Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,119395,BANK OF INDIA Conservative Hybrid  Fund-Direct Plan-Quarterly IDCW
BOI AXA Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,111718,BOI AXA Conservative Hybrid  Fund-ECO Plan-Quarterly Dividend
Bank of India Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,119393,BANK OF INDIA Conservative Hybrid Fund Fund-Direct Plan-Growth
Bank of India Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,119396,BANK OF INDIA Conservative Hybrid Fund-Direct Plan-Annual IDCW
Bank of India Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,119394,BANK OF INDIA Conservative Hybrid Fund-Direct Plan-Monthly IDCW
Bank of India Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,111715,BANK OF INDIA Conservative Hybrid Fund-ECO Plan-Growth
Bank of India Mutual Fund,Debt scheme,Debt Scheme - Medium to Long Duration Fund,111717,BANK OF INDIA Conservative Hybrid Fund-ECO Plan-Monthly IDCW
