fund_house,scheme_type,scheme_category,scheme_code,scheme_name
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,101973,Aditya Birla Sun Life Money Manager Fund - Daily IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,119513,Aditya Birla Sun Life Money Manager Fund - Direct - daily IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,119512,Aditya Birla Sun Life Money Manager Fund - Direct - weekly IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,101976,Aditya Birla Sun Life Money Manager Fund - Growth
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,119511,Aditya Birla Sun Life Money Manager Fund - Growth - Direct Plan
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,101972,Aditya Birla Sun Life Money Manager Fund - Retail - Daily IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,101970,Aditya Birla Sun Life Money Manager Fund - RETAIL - WEEKLY IDCW
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,101971,Aditya Birla Sun Life Money Manager Fund - Retail Growth
Aditya Birla Sun Life Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,101974,Aditya Birla Sun Life Money Manager Fund - WEEKLY IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,147576,Axis Money Market Fund - Direct Plan - Annual IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,147571,Axis Money Market Fund - Direct Plan - Daily IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,147567,Axis Money Market Fund - Direct Plan - Growth Option
Axis Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,147572,Axis Money Market Fund - Direct Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,147573,Axis Money Market Fund - Direct Plan - Quarterly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,147575,Axis Money Market Fund - Regular Plan - Annual IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,147577,Axis Money Market Fund - Regular Plan - Daily IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,147568,Axis Money Market Fund - Regular Plan - Growth Option
Axis Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,147578,Axis Money Market Fund - Regular Plan - Monthly IDCW
Axis Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,147574,Axis Money Market Fund - Regular Plan - Quarterly IDCW
Bajaj Finserv Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,151889,Bajaj Finserv Money Market Fund-Direct Plan-Growth
Bajaj Finserv Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,151890,Bajaj Finserv Money Market Fund-Direct Plan-IDCW
Bajaj Finserv Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,151894,Bajaj Finserv Money Market Fund-Direct Plan-Monthly-IDCW
Bajaj Finserv Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,151893,Bajaj Finserv Money Market Fund-Regular Plan-Growth
Bajaj Finserv Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,151891,Bajaj Finserv Money Market Fund-Regular Plan-IDCW
Bajaj Finserv Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,151892,Bajaj Finserv Money Market Fund-Regular Plan-Monthly-IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,108757,BANDHAN Money Manager Fund - Regular Plan - Monthly IDCW
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,108756,BANDHAN Money Manager Fund - Regular Plan - Growth
Bandhan Mutual Fund,Debt scheme,Debt Scheme - Money Market Fund,108650,BANDHAN Money Manager Fund - Regular Plan - Daily IDCW
